cell_id,system,stage,cell_label,abf_n_seeds,abf_mean_final_l2_F,equiv_margin_abs,estimated_n,uniform_n,oracle_n,estimated_final_l2_F_median,uniform_final_l2_F_median,oracle_final_l2_F_median,estimated_int_l2_F_median,uniform_int_l2_F_median,oracle_int_l2_F_median,estimated_final_l2_Fp_median,uniform_final_l2_Fp_median,oracle_final_l2_Fp_median,estimated_ancestor_ess_median,uniform_ancestor_ess_median,oracle_ancestor_ess_median,estimated_event_fraction_median,uniform_event_fraction_median,oracle_event_fraction_median,estimated_winrate_vs_abf,uniform_winrate_vs_abf,oracle_winrate_vs_abf,est_minus_uni_mean_diff,est_minus_uni_ci_lo,est_minus_uni_ci_hi,est_minus_uni_verdict,orc_minus_uni_mean_diff,orc_minus_uni_ci_lo,orc_minus_uni_ci_hi,orc_minus_uni_verdict,orc_minus_est_mean_diff,orc_minus_est_ci_lo,orc_minus_est_ci_hi,orc_minus_est_verdict,verdict_triple,classification,classification_note,oracle_direction_vs_estimated,oracle_effect_pct_of_abf
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0140848594849533,0.015851854138294,0.0137302857657666,15.725307877652885,15.898337845907935,15.337057000034306,0.0781725760434918,0.0810881547419626,0.0740172651764484,967.0,968.0,966.0,1.700000111668487e-06,1.6000001050997523e-06,1.8500001124266417e-06,0.4,0.0,0.4,-0.00198590648586586,-0.004391883961400321,-7.158450738041951e-05,UNDERPOWERED,-0.0022552875438079404,-0.004344715068094541,-2.864396536346042e-05,UNDERPOWERED,-0.0002693810579420801,-0.0010906904192591609,0.0005519283033750006,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-1.9434153925216122
twodim|prod|g0.01_eta0.075_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0146438478032414,0.0130859198095202,0.0137455754324046,15.921778448586403,15.756214292046971,15.181394680509827,0.0774316474438464,0.0722383285678289,0.0676269134261545,979.0,975.0,980.0,1.3125000862146407e-06,1.562500102636477e-06,1.2500000821091817e-06,0.6,0.8,0.6,0.00140864677128918,0.0005082569325048202,0.00249227116231468,UNDERPOWERED,0.0008726633688980797,-0.0005444349056928407,0.0029208720600464007,UNDERPOWERED,-0.0005359834023911002,-0.0022507182099740005,0.0019917302333130596,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-3.866784109842397
twodim|prod|g0.01_eta0.075_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.011973576338127,0.0126282059782907,0.0130452109200252,15.24662204164353,15.905025071244651,16.524523974745108,0.0672525303029562,0.0716255176140616,0.0736435555170813,987.0,983.0,989.0,1.0833334044946242e-06,1.500000098531018e-06,9.170854885572528e-07,0.8,0.4,0.6,-0.00163719147218938,-0.0033170250981610595,2.9639349503800262e-05,UNDERPOWERED,-9.278418270213979e-05,-0.0036886275567309,0.0025854178944619,UNDERPOWERED,0.0015444072894872402,-0.00109056588088396,0.0049222656301288,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,11.141930028938498
twodim|prod|g0.01_eta0.1_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.1_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0153287393553663,0.0124428100369284,0.0120160719464822,15.308105612786209,15.018559212157191,17.148057341628512,0.067995297350599,0.0640032257830025,0.0716220896159128,970.0,970.0,972.0,1.500000098531018e-06,1.5002513509898562e-06,1.4002513489685952e-06,0.2,0.8,0.6,0.0010419034021238599,-0.0011278511955451005,0.0032055261107863803,UNDERPOWERED,-0.00024288958148036035,-0.004057437394863979,0.003048962854308959,UNDERPOWERED,-0.00128479298360422,-0.003491010431162961,0.0013537133668914598,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-9.268975627369713
twodim|prod|g0.01_eta0.1_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.1_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0126346805196996,0.0136843340108792,0.0125647274540896,15.186212133361918,15.7791594184053,15.34262599516976,0.0778846762271893,0.0770579591388132,0.0727396801629292,982.0,978.0,983.0,1.1250000738982636e-06,1.3750000903200998e-06,1.1250000682139216e-06,0.8,0.4,0.8,-0.0005277214332166998,-0.0024742119273602993,0.0016627714588091599,UNDERPOWERED,-0.0011154483236221191,-0.0026860474939824188,0.0005545637926781012,UNDERPOWERED,-0.0005877268904054194,-0.0010889082843699796,-8.654549644085928e-05,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-4.240080925282949
twodim|prod|g0.01_eta0.1_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.1_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0128807559940222,0.0133700979436962,0.0129399886157139,15.784878845185442,15.386854078372703,16.298121138107664,0.0733729826086592,0.0699740181384166,0.0696379536124258,987.0,987.0,991.0,1.0833334044946242e-06,1.2500000821091817e-06,7.50000049265509e-07,0.8,0.6,0.8,-0.0007355264329617798,-0.0014242115078908595,-5.070741382697909e-05,UNDERPOWERED,-0.00023667796545722014,-0.001734038968460801,0.0018154770900571406,UNDERPOWERED,0.0004988484675045597,-0.0014419410834173012,0.0028935423943829202,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,3.5988788435622863
twodim|prod|g0.01_eta0.15_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.15_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0128111205903069,0.0149904885622154,0.0132393517008933,14.964203000469976,15.758412230885211,15.650087797005629,0.0728256278541433,0.0721592351332743,0.0669548174987036,973.0,972.0,970.0,1.350000088677916e-06,1.4002513444211218e-06,1.50025135553733e-06,0.8,0.4,0.4,-0.0018161015117199,-0.0049408647051129,0.0005178381868444403,UNDERPOWERED,-0.00042581945545957996,-0.00430567076984318,0.0037480715164758594,UNDERPOWERED,0.00139028205626032,-0.0013192559550904604,0.0043096416166870195,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,10.03001312981643
twodim|prod|g0.01_eta0.15_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.15_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0130693463065426,0.0137575801931174,0.0145503828916933,15.867338270268888,15.787572690401497,16.11924975772413,0.0800074684233293,0.0788059984547849,0.068340345378143,983.0,985.0,982.0,1.0625000697928043e-06,1.0000000656873453e-06,1.1875000780037226e-06,0.6,0.4,0.4,-0.0010537326458096602,-0.00210643827255732,5.65992653038791e-05,UNDERPOWERED,9.778853844260027e-05,-0.00232797192957664,0.0025235490064618405,UNDERPOWERED,0.0011515211842522606,-0.001331449032780059,0.003464294842078801,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,8.307503175563772
twodim|prod|g0.01_eta0.15_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.15_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0145437255072085,0.0122297077593906,0.0128921208754343,15.36911851359396,15.490481692416331,15.717260871293876,0.0771958556989335,0.0748867155024857,0.0679715854014133,990.0,991.0,992.0,8.337521497499741e-07,7.50000049265509e-07,6.670854721354165e-07,0.4,1.0,0.4,0.0020975637480332597,0.00089187047725366,0.003396855447351159,DIFFERENT,0.00141515739761674,0.00012955346232821976,0.00313452081721616,UNDERPOWERED,-0.0006824063504165194,-0.0014792989474729993,0.00011448624663996064,UNDERPOWERED,DIFFERENT/UNDERPOWERED/UNDERPOWERED,U,underpowered:DIFFERENT/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-4.9231338516723335
twodim|prod|g0.02_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.075_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0135624183641672,0.0119994818496955,0.0122249455669792,15.836929160689932,15.66534359049766,15.3689954147899,0.0764418054645717,0.075285254995606,0.0679348451631996,941.0,933.0,934.0,3.200000205652032e-06,3.6502514922176487e-06,3.4500002175263944e-06,0.8,0.8,0.8,0.0007275780076798997,-0.0006425120519560606,0.00209766806731586,UNDERPOWERED,0.0006852123482787801,-0.0010170826255345808,0.0030342709287715817,UNDERPOWERED,-4.236565940111958e-05,-0.0015922237581589397,0.0016954548649579008,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-0.3056416632388699
twodim|prod|g0.02_eta0.075_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.075_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.013021369383148,0.0149872960602496,0.0125661652468716,14.777090896066005,17.284815273084014,14.7631146767667,0.0751653133325394,0.0787056282416613,0.0731311559141505,958.0,957.0,964.0,2.625000161060598e-06,2.875000177482434e-06,2.4375001544285626e-06,0.4,0.4,0.8,0.00036470300458951965,-0.003502150958630999,0.004663974492690799,UNDERPOWERED,-0.00215885130351722,-0.00345954434431714,-0.00097149170766616,DIFFERENT,-0.0025235543081067397,-0.006083668803032139,0.0006412960693409197,UNDERPOWERED,UNDERPOWERED/DIFFERENT/UNDERPOWERED,U,underpowered:UNDERPOWERED/DIFFERENT/UNDERPOWERED,oracle_BETTER,-18.20586170276808
