cell_id,system,stage,cell_label,contrast,metric,n_pairs,mean_diff,median_diff,ci95_lo,ci95_hi,ci_width,abf_mean_final_l2_F,equiv_margin_abs,equiv_band_width,ci_width_over_band,ci_wider_than_band,mean_diff_pct_of_abf,equivalence_verdict,frac_pairs_A_lower
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,est_minus_uni,final_l2_F,5,-0.00198590648586586,-0.0014994779164046977,-0.004391883961400321,-7.158450738041951e-05,0.004320299454019902,0.013861218706956618,0.000693060935347831,0.001386121870695662,3.1168251113819054,True,-14.327069847539311,UNDERPOWERED,0.8
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,est_minus_uni,int_l2_F,5,-0.8605071650467103,-1.013957493013944,-1.5364599436376196,0.02195100122822744,1.558410944865847,0.013861218706956618,0.000693060935347831,0.001386121870695662,1124.2957620196246,True,-6208.019534493328,,0.8
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,est_minus_uni,final_l2_Fp,5,-0.0022207595559850814,0.0005752881578865998,-0.013794750781085241,0.006591453985607556,0.020386204766692798,0.013861218706956618,0.000693060935347831,0.001386121870695662,14.707368231958883,True,-16.021387461915847,,0.4
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,orc_minus_uni,final_l2_F,5,-0.0022552875438079404,-0.0025813696287950005,-0.004344715068094541,-2.864396536346042e-05,0.004316071102731081,0.013861218706956618,0.000693060935347831,0.001386121870695662,3.113774621105247,True,-16.270485240060925,UNDERPOWERED,0.8
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,orc_minus_uni,int_l2_F,5,-0.5439034481856464,0.18902820335042314,-1.7202566677569062,0.6091147970518509,2.329371464808757,0.013861218706956618,0.000693060935347831,0.001386121870695662,1680.4954268845784,True,-3923.922273246249,,0.4
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,orc_minus_uni,final_l2_Fp,5,-0.0030138559038756438,-0.007070889565514202,-0.008860657653485446,0.0028329458457341584,0.011693603499219603,0.013861218706956618,0.000693060935347831,0.001386121870695662,8.436201568157106,True,-21.74308022687111,,0.6
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,orc_minus_est,final_l2_F,5,-0.0002693810579420801,-0.0001426807193550001,-0.0010906904192591609,0.0005519283033750006,0.0016426187226341615,0.013861218706956618,0.000693060935347831,0.001386121870695662,1.1850463926449482,True,-1.9434153925216122,UNDERPOWERED,0.6
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,orc_minus_est,int_l2_F,5,0.3166037168610639,-0.5172633816288901,-0.5820565683154797,1.241609245237355,1.8236658135528347,0.013861218706956618,0.000693060935347831,0.001386121870695662,1315.6605144954387,True,2284.097261247079,,0.6
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,orc_minus_est,final_l2_Fp,5,-0.0007930963478905622,-0.0035780356803268992,-0.007863027424626084,0.008659528186899617,0.0165225556115257,0.013861218706956618,0.000693060935347831,0.001386121870695662,11.919987672680914,True,-5.721692764955263,,0.8
twodim|prod|g0.01_eta0.075_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0.2_fe5,est_minus_uni,final_l2_F,5,0.00140864677128918,0.0006565896923840988,0.0005082569325048202,0.00249227116231468,0.0019840142298098596,0.013861218706956618,0.000693060935347831,0.001386121870695662,1.4313418406811007,True,10.162503031441338,UNDERPOWERED,0.0
