cell_id,n_runs,est_log_q_range_kT,est_max_rel_dev,recon_oracle_log_q_range_kT,oracle_over_estimated_shape_ratio,system,stage,cell_label,contrast,metric,n_pairs,mean_diff,median_diff,ci95_lo,ci95_hi,ci_width,abf_mean_final_l2_F,equiv_margin_abs,equiv_band_width,ci_width_over_band,ci_wider_than_band,mean_diff_pct_of_abf,equivalence_verdict,frac_pairs_A_lower
alk|b1|butane_b1_s2.3_full_dispersed,16,0.0005833828300473571,0.00033273900585684135,,,alkanes_torsion,production/b1,butane_b1_s2.3_full_dispersed,est_minus_uni,final_l2_F,16,2.7905665509350697e-05,5.760074442090479e-05,-4.956133924300232e-05,9.637505937560216e-05,0.00014593639861860448,0.27074805607351504,0.013537402803675753,0.027074805607351506,0.005390118057910598,False,0.010306875666643232,EQUIVALENT,0.3125
alk|b1|butane_b1_s2.3_full_trans,16,0.0005941789183633918,0.00036759085358328836,,,alkanes_torsion,production/b1,butane_b1_s2.3_full_trans,est_minus_uni,final_l2_F,16,0.00013438858571733145,-0.0001362058165816915,-0.0003024547900919174,0.0005961170924923264,0.0008985718825842438,0.2733315116201579,0.013666575581007895,0.02733315116201579,0.032874800174264834,False,0.049166883437899385,EQUIVALENT,0.5625
alk|b2|butane_b0.5_s2.3_full_trans,12,0.0007328226797547529,0.0004265848937929917,,,alkanes_torsion,production/b2,butane_b0.5_s2.3_full_trans,est_minus_uni,final_l2_F,12,7.813244758552347e-05,-2.7381178606233902e-05,-3.4961726107069625e-05,0.0002319169818161634,0.000266878707923233,0.5162576953470343,0.025812884767351715,0.05162576953470343,0.00516948629199288,False,0.015134388947558825,EQUIVALENT,0.5833333333333334
alk|b2|butane_b2_s2.3_full_trans,12,0.0006620113286825795,0.00037176540144412407,,,alkanes_torsion,production/b2,butane_b2_s2.3_full_trans,est_minus_uni,final_l2_F,12,-4.452882015896822e-05,-7.2984962663461e-05,-0.00018049696784422394,8.216602822408691e-05,0.0002626629960683108,0.1432668893374746,0.007163344466873731,0.014326688933747462,0.018333824185265222,False,-0.031081026722146278,EQUIVALENT,0.5833333333333334
alk|p1|pentane_b1_s2.3_full_dispersed,16,0.0007666634743392144,0.0004527216271276724,,,alkanes_torsion,production/p1,pentane_b1_s2.3_full_dispersed,est_minus_uni,final_l2_F,16,0.000532901557752789,0.0005704384988740874,-0.0001005291567206583,0.001229512335629846,0.0013300414923505045,0.2562330420131519,0.012811652100657595,0.02562330420131519,0.05190749334671038,False,0.2079753468038038,EQUIVALENT,0.3125
alk|p1|pentane_b1_s2.3_full_trans,16,0.0007648611176837351,0.000399717922778986,,,alkanes_torsion,production/p1,pentane_b1_s2.3_full_trans,est_minus_uni,final_l2_F,16,5.315240909346819e-06,-1.6395543917580024e-05,-0.00022929324504660932,0.0002444128565989836,0.00047370610164559294,0.2863637446202218,0.01431818723101109,0.02863637446202218,0.016542111581681763,False,0.0018561151714215568,EQUIVALENT,0.5
alk|p1|pentane_b2_s2.3_full_trans,16,0.0007187706144807742,0.00040854042896948384,,,alkanes_torsion,production/p1,pentane_b2_s2.3_full_trans,est_minus_uni,final_l2_F,16,0.0001640267019553613,0.00022153412536241035,-9.603665262527225e-05,0.000430592709519892,0.0005266293621451643,0.19500509816306982,0.009750254908153492,0.019500509816306983,0.027005927901678706,False,0.0841140582992331,EQUIVALENT,0.4375
eb|stage0_reproduce,5,0.012670568384102522,0.008308447940705843,34.37453031675504,2712.9430404940626,entropic_bottleneck,stage0_reproduce,stage0_reproduce,est_minus_uni,final_l2_F,5,-0.0059988084835949805,-0.004558553378278304,-0.011833998233039258,-0.00016361873415070283,0.011670379498888555,0.20543437953589283,0.010271718976794643,0.020543437953589285,0.5680830796312524,False,-2.920060652529139,UNDERPOWERED,0.8
edbema|phi0.5|ema0.00025,20,0.041794464523565215,0.03300743511271531,1.5536362625733595,37.17325440782628,entropy_dominant_bottleneck_ema_tuning,ema_sweep,"phi=0.5, target_ema_rate=0.00025",est_minus_uni,final_l2_F,20,0.0009016069254224072,0.0017621742064614417,-0.0009390463447835022,0.0026601916968508684,0.0035992380416343707,0.028558963182436826,0.0014279481591218414,0.002855896318243683,1.2602831617668206,True,3.1570016028343666,UNDERPOWERED,0.35
edbema|phi0.5|ema0.0005,20,0.014102720286295698,0.010686432233608212,1.1749339506034233,83.3125756415352,entropy_dominant_bottleneck_ema_tuning,ema_sweep,"phi=0.5, target_ema_rate=0.0005",est_minus_uni,final_l2_F,20,-5.466362809257094e-06,-0.0003230963610861143,-0.001565491527230466,0.0015208158909733557,0.0030863074182038213,0.0285589356235016,0.0014279467811750802,0.0028558935623501603,1.080680127190752,True,-0.01914063913768109,UNDERPOWERED,0.5
