method,target_type,gamma,eta,burnin_fraction,fr_every,n_rows,witness_median,witness_p90,witness_max,witness_final_median,quantity,source
abf_fr_estimated,estimated,0.01,0.075,0.0,5,505,4.515402183602468e-06,0.0002293600373737216,1.2555703147267596,1.8712947030957716e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.01,0.075,0.2,5,505,5.010797620001034e-06,0.0002609184546118359,1.2564040612644098,3.996573754196098e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.01,0.075,0.4,5,505,4.747539280900576e-06,0.00024517517714041983,1.2565131517196402,9.369666320938053e-07,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.01,0.1,0.0,5,505,5.547792334296975e-06,0.00025617616133725713,1.2573710023992026,1.8026540049009832e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.01,0.1,0.2,5,505,5.59763960539944e-06,0.000263108935202536,1.2575537712863232,3.893717658600554e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.01,0.1,0.4,5,505,5.655178715400361e-06,0.00023720945539613687,1.2574172253042675,6.299192802299708e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.01,0.15,0.0,5,505,5.701930644200909e-06,0.0001974725102844521,1.2596822980042164,3.2593260634976307e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.01,0.15,0.2,5,505,4.930112788497504e-06,0.00028538943573497847,1.2603799750975453,7.129610228598371e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.01,0.15,0.4,5,505,6.0535265503022795e-06,0.0002443245178500588,1.2595068780599792,3.863810092499809e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.02,0.075,0.0,5,505,4.177591076400672e-06,0.00025388697414069957,1.2542445767221195,1.6744311329836004e-07,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.02,0.075,0.2,5,505,3.684489252999551e-06,0.0002011398040569852,1.257387277913011,3.1424996081025336e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
abf_fr_estimated,estimated,0.02,0.075,0.4,5,505,5.993854013501554e-06,0.0002409381744707868,1.2551862928882132,2.985266933902553e-06,"|L2(p_hat,q_target) - L2(p_hat,uniform)|  == LOWER BOUND on L2(q_target, uniform)",/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_runs_long.csv
