system,A,B,C,U
alkanes_torsion,9,0,0,0
entropic_bottleneck,0,0,0,1
entropy_dominant_bottleneck,0,2,0,3
entropy_dominant_bottleneck_ema_tuning,0,0,3,21
metastability_toy_2D,0,0,0,37
pentane_R15_distance_CV,1,0,0,0
slow_transverse_ORPHAN,0,0,0,33
wca_phase_diagram,0,0,2,25
wca_production,0,0,0,1
wca_representative,0,0,0,6
