cell_id,system,stage,cell_label,config,source,pair_key,notes,abf_n_seeds,abf_mean_final_l2_F,abf_median_final_l2_F,equiv_margin_abs,equiv_margin_frac_of_abf,estimated_n,estimated_n_matched_vs_abf,estimated_final_l2_F_mean,estimated_final_l2_F_median,estimated_int_l2_F_mean,estimated_int_l2_F_median,estimated_final_l2_Fp_mean,estimated_final_l2_Fp_median,estimated_ancestor_ess_median,estimated_event_fraction_median,estimated_winrate_vs_abf,estimated_n_wins_vs_abf,estimated_minus_abf_mean,estimated_minus_abf_ci_lo,estimated_minus_abf_ci_hi,estimated_gain_pct_vs_abf_median,uniform_n,uniform_n_matched_vs_abf,uniform_final_l2_F_mean,uniform_final_l2_F_median,uniform_int_l2_F_mean,uniform_int_l2_F_median,uniform_final_l2_Fp_mean,uniform_final_l2_Fp_median,uniform_ancestor_ess_median,uniform_event_fraction_median,uniform_winrate_vs_abf,uniform_n_wins_vs_abf,uniform_minus_abf_mean,uniform_minus_abf_ci_lo,uniform_minus_abf_ci_hi,uniform_gain_pct_vs_abf_median,oracle_n,oracle_n_matched_vs_abf,oracle_final_l2_F_mean,oracle_final_l2_F_median,oracle_int_l2_F_mean,oracle_int_l2_F_median,oracle_final_l2_Fp_mean,oracle_final_l2_Fp_median,oracle_ancestor_ess_median,oracle_event_fraction_median,oracle_winrate_vs_abf,oracle_n_wins_vs_abf,oracle_minus_abf_mean,oracle_minus_abf_ci_lo,oracle_minus_abf_ci_hi,oracle_gain_pct_vs_abf_median,abf_ancestor_ess_median,abf_event_fraction_median,ancestor_ess_kind,event_fraction_kind,est_minus_uni_n_pairs,est_minus_uni_mean_diff,est_minus_uni_ci_lo,est_minus_uni_ci_hi,est_minus_uni_pct_of_abf,est_minus_uni_verdict,orc_minus_uni_n_pairs,orc_minus_uni_mean_diff,orc_minus_uni_ci_lo,orc_minus_uni_ci_hi,orc_minus_uni_pct_of_abf,orc_minus_uni_verdict,orc_minus_est_n_pairs,orc_minus_est_mean_diff,orc_minus_est_ci_lo,orc_minus_est_ci_hi,orc_minus_est_pct_of_abf,orc_minus_est_verdict,classification,classification_note,verdict_triple,oracle_direction_vs_estimated,oracle_effect_pct_of_abf
twodim|prod|g0.01_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0_fe5,gamma=0.01 eta=0.075 burnin=0 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.014227066325267278,0.0140848594849533,15.289969793965659,15.725307877652885,0.0771140872876227,0.0781725760434918,967.0,1.700000111668487e-06,0.4,2,0.00036584761831066003,-0.0008365308887432601,0.00156822612536458,-2.2410943035249655,5,5,0.01621297281113314,0.015851854138294,16.150476959012366,15.898337845907935,0.07933484684360778,0.0810881547419626,968.0,1.6000001050997523e-06,0.0,0,0.00235175410417652,0.0011236021783107004,0.003621118792510701,-14.770379839247516,5,5.0,0.013957685267325201,0.0137302857657666,15.606573510826724,15.337057000034306,0.07632099093973213,0.0740172651764484,966.0,1.8500001124266417e-06,0.4,2.0,9.646656036857993e-05,-0.0011878040674569601,0.0014959173117852001,-1.1895648488467307,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,-0.00198590648586586,-0.004391883961400321,-7.158450738041951e-05,-14.327069847539311,UNDERPOWERED,5,-0.0022552875438079404,-0.004344715068094541,-2.864396536346042e-05,-16.270485240060925,UNDERPOWERED,5,-0.0002693810579420801,-0.0010906904192591609,0.0005519283033750006,-1.9434153925216122,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-1.9434153925216122
twodim|prod|g0.01_eta0.075_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0.2_fe5,gamma=0.01 eta=0.075 burnin=0.2 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.01471366431940492,0.0146438478032414,15.913332982509932,15.921778448586403,0.07614031925889124,0.0774316474438464,979.0,1.3125000862146407e-06,0.6,3,0.0008524456124483004,-0.00027884419579219944,0.0028408969227954406,0.3939243910561709,5,5,0.01330501754811574,0.0130859198095202,15.850396302248996,15.756214292046971,0.0727804038478348,0.0722383285678289,975.0,1.562500102636477e-06,0.8,4,-0.0005562011588408796,-0.002427839102321679,0.0013577854862569805,3.559288294367048,5,5.0,0.014177680917013819,0.0137455754324046,15.396406031966373,15.181394680509827,0.06714287123994692,0.0676269134261545,980.0,1.2500000821091817e-06,0.6,3.0,0.0003164622100572001,-0.0021121119057953,0.0027450363259097004,7.120949358228825,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,0.00140864677128918,0.0005082569325048202,0.00249227116231468,10.162503031441338,UNDERPOWERED,5,0.0008726633688980797,-0.0005444349056928407,0.0029208720600464007,6.29571892159894,UNDERPOWERED,5,-0.0005359834023911002,-0.0022507182099740005,0.0019917302333130596,-3.866784109842397,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-3.866784109842397
twodim|prod|g0.01_eta0.075_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.075_bi0.4_fe5,gamma=0.01 eta=0.075 burnin=0.4 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.01248554783624902,0.011973576338127,14.862953225483434,15.24662204164353,0.0671422945638666,0.0672525303029562,987.0,1.0833334044946242e-06,0.8,4,-0.0013756708707075998,-0.0023810210139742997,-0.0003546280307091148,11.757045701089831,5,5,0.0141227393084384,0.0126282059782907,15.938907724484338,15.905025071244651,0.07577355336487537,0.0716255176140616,983.0,1.500000098531018e-06,0.4,2,0.0002615206014817802,-0.0020014993546744403,0.0024803625312266805,-3.5787153726632708,5,5.0,0.01402995512573626,0.0130452109200252,16.332638453599014,16.524523974745108,0.07085286445619443,0.0736435555170813,989.0,9.170854885572528e-07,0.6,3.0,0.00016873641877964037,-0.00237169761072734,0.00322738150972826,3.8593049789250267,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,-0.00163719147218938,-0.0033170250981610595,2.9639349503800262e-05,-11.811309718154236,UNDERPOWERED,5,-9.278418270213979e-05,-0.0036886275567309,0.0025854178944619,-0.6693796892157369,UNDERPOWERED,5,0.0015444072894872402,-0.00109056588088396,0.0049222656301288,11.141930028938498,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,11.141930028938498
twodim|prod|g0.01_eta0.1_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.1_bi0_fe5,gamma=0.01 eta=0.1 burnin=0 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.014786241236079162,0.0153287393553663,15.187614624561263,15.308105612786209,0.07020036960174014,0.067995297350599,970.0,1.500000098531018e-06,0.2,1,0.0009250225291225402,-0.0016316445912881998,0.0029213009376244203,-12.175737995579624,5,5,0.0137443378339553,0.0124428100369284,15.692424614189644,15.018559212157191,0.07281181217888998,0.0640032257830025,970.0,1.5002513509898562e-06,0.8,4,-0.00011688087300131961,-0.0021016891064495795,0.0027557628136736802,9.37070065142168,5,5.0,0.01350144825247494,0.0120160719464822,16.414775775668232,17.148057341628512,0.07742050610953778,0.0716220896159128,972.0,1.4002513489685952e-06,0.6,3.0,-0.00035977045448167997,-0.002302315086309679,0.0018192617018573595,6.88009733440173,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,0.0010419034021238599,-0.0011278511955451005,0.0032055261107863803,7.516679623566961,UNDERPOWERED,5,-0.00024288958148036035,-0.004057437394863979,0.003048962854308959,-1.7522960038027522,UNDERPOWERED,5,-0.00128479298360422,-0.003491010431162961,0.0013537133668914598,-9.268975627369713,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-9.268975627369713
twodim|prod|g0.01_eta0.1_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.1_bi0.2_fe5,gamma=0.01 eta=0.1 burnin=0.2 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.013576971379668578,0.0126346805196996,15.66824712970353,15.186212133361918,0.07615683102655761,0.0778846762271893,982.0,1.1250000738982636e-06,0.8,4,-0.00028424732728804004,-0.0020630208729676006,0.0023579072213056403,8.332200873254997,5,5,0.01410469281288528,0.0136843340108792,15.523538399081797,15.7791594184053,0.07400371771676847,0.0770579591388132,978.0,1.3750000903200998e-06,0.4,2,0.0002434741059286597,-0.0008693375600827197,0.001356285771940039,-6.511837045010073,5,5.0,0.01298924448926316,0.0125647274540896,15.231294971316919,15.34262599516976,0.07264553456962977,0.0727396801629292,983.0,1.1250000682139216e-06,0.8,4.0,-0.0008719742176934595,-0.0021681956796200403,0.0013296260419193811,11.929830557819773,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,-0.0005277214332166998,-0.0024742119273602993,0.0016627714588091599,-3.8071791836878592,UNDERPOWERED,5,-0.0011154483236221191,-0.0026860474939824188,0.0005545637926781012,-8.047260108970807,UNDERPOWERED,5,-0.0005877268904054194,-0.0010889082843699796,-8.654549644085928e-05,-4.240080925282949,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-4.240080925282949
twodim|prod|g0.01_eta0.1_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.1_bi0.4_fe5,gamma=0.01 eta=0.1 burnin=0.4 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.013105952099568798,0.0128807559940222,15.564021382440355,15.784878845185442,0.07438065066143953,0.0733729826086592,987.0,1.0833334044946242e-06,0.8,4,-0.0007552666073878195,-0.0022469244492421595,0.001027908534327061,3.855487820263897,5,5,0.01384147853253058,0.0133700979436962,15.740831240954975,15.386854078372703,0.07314330600375998,0.0699740181384166,987.0,1.2500000821091817e-06,0.6,3,-1.974017442603962e-05,-0.0014757856017526393,0.0012470653539151603,0.05645363207893478,5,5.0,0.01360480056707336,0.0129399886157139,16.364765869005637,16.298121138107664,0.07197645700400161,0.0696379536124258,991.0,7.50000049265509e-07,0.8,4.0,-0.00025641813988325977,-0.002120307864433059,0.0023098738163418405,6.667015041541083,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,-0.0007355264329617798,-0.0014242115078908595,-5.070741382697909e-05,-5.306361933331566,UNDERPOWERED,5,-0.00023667796545722014,-0.001734038968460801,0.0018154770900571406,-1.7074830897692788,UNDERPOWERED,5,0.0004988484675045597,-0.0014419410834173012,0.0028935423943829202,3.5988788435622863,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,3.5988788435622863
twodim|prod|g0.01_eta0.15_bi0_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.15_bi0_fe5,gamma=0.01 eta=0.15 burnin=0 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.01298369606502868,0.0128111205903069,15.324187239003743,14.964203000469976,0.0736259642000722,0.0728256278541433,973.0,1.350000088677916e-06,0.8,4,-0.0008775226419279397,-0.0028500774986519595,0.001689386248893501,13.43507414903488,5,5,0.01479979757674858,0.0149904885622154,15.540346959524395,15.758412230885211,0.07158632415091062,0.0721592351332743,972.0,1.4002513444211218e-06,0.4,2,0.0009385788697919603,-0.0019201374753566192,0.003971820075390681,-3.8278303385608043,5,5.0,0.014373978121288999,0.0132393517008933,15.297226632089124,15.650087797005629,0.06865222351447382,0.0669548174987036,970.0,1.50025135553733e-06,0.4,2.0,0.0005127594143323804,-0.0004949882323781397,0.0017738624320269801,-0.9027938482933857,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,-0.0018161015117199,-0.0049408647051129,0.0005178381868444403,-13.102033451131115,UNDERPOWERED,5,-0.00042581945545957996,-0.00430567076984318,0.0037480715164758594,-3.0720203213146853,UNDERPOWERED,5,0.00139028205626032,-0.0013192559550904604,0.0043096416166870195,10.03001312981643,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,10.03001312981643
twodim|prod|g0.01_eta0.15_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.15_bi0.2_fe5,gamma=0.01 eta=0.15 burnin=0.2 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.013066854685545939,0.0130693463065426,15.76857311519349,15.867338270268888,0.07784465108685887,0.0800074684233293,983.0,1.0625000697928043e-06,0.6,3,-0.00079436402141068,-0.0022410318018663794,0.0005422271416393998,4.76394306303261,5,5,0.0141205873313556,0.0137575801931174,15.790001174491005,15.787572690401497,0.07473272585516938,0.0788059984547849,985.0,1.0000000656873453e-06,0.4,2,0.00025936862439898017,-0.0012506431741499588,0.0020510708507588196,-0.5058948232045634,5,5.0,0.0142183758697982,0.0145503828916933,15.8859569942751,16.11924975772413,0.07268886460350174,0.068340345378143,982.0,1.1875000780037226e-06,0.4,2.0,0.0003571571628415805,-0.0012190643210054793,0.0017731716959797608,-4.439700378855331,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,-0.0010537326458096602,-0.00210643827255732,5.65992653038791e-05,-7.6020201981288755,UNDERPOWERED,5,9.778853844260027e-05,-0.00232797192957664,0.0025235490064618405,0.7054829774348955,UNDERPOWERED,5,0.0011515211842522606,-0.001331449032780059,0.003464294842078801,8.307503175563772,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,8.307503175563772
twodim|prod|g0.01_eta0.15_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.01_eta0.15_bi0.4_fe5,gamma=0.01 eta=0.15 burnin=0.4 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.01479343441790312,0.0145437255072085,15.226607142608529,15.36911851359396,0.07585452429953843,0.0771958556989335,990.0,8.337521497499741e-07,0.4,2,0.0009322157109464997,-0.0011012650125908994,0.002785048554869979,-9.81947750741136,5,5,0.01269587066986986,0.0122297077593906,15.492997294076684,15.490481692416331,0.07621840546328769,0.0748867155024857,991.0,7.50000049265509e-07,1.0,5,-0.0011653480370867597,-0.00208511377231834,-0.0005182084639428798,4.63922756874677,5,5.0,0.0141110280674866,0.0128921208754343,15.604531180308204,15.717260871293876,0.07321328925254338,0.0679715854014133,992.0,6.670854721354165e-07,0.4,2.0,0.0002498093605299803,-0.0015475568869484598,0.00226297306141082,-1.9288628402567392,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,0.0020975637480332597,0.00089187047725366,0.003396855447351159,15.132606968971219,DIFFERENT,5,0.00141515739761674,0.00012955346232821976,0.00313452081721616,10.209473117298884,UNDERPOWERED,5,-0.0006824063504165194,-0.0014792989474729993,0.00011448624663996064,-4.9231338516723335,UNDERPOWERED,U,underpowered:DIFFERENT/UNDERPOWERED/UNDERPOWERED,DIFFERENT/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-4.9231338516723335
twodim|prod|g0.02_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.075_bi0_fe5,gamma=0.02 eta=0.075 burnin=0 fr_every=5,/home/zheyuanlai/ABF-Fisher-Rao/results/two_dim_xi_x/production_gpu/production_gpu_final_summary.csv,seed,"ABF arm has a single config (gamma=0) and is reused by all 36 FR configs; ancestor ESS not stored, n_unique_ancestors used as proxy.",5,0.013861218706956618,0.013688331632008,0.000693060935347831,0.05,5,5,0.01326694444960542,0.0135624183641672,15.335404880234838,15.836929160689932,0.07159721516866205,0.0764418054645717,941.0,3.200000205652032e-06,0.8,4,-0.0005942742573511999,-0.00128014328039818,0.00036026233824810046,5.927431596227228,5,5,0.01253936644192552,0.0119994818496955,16.241117690654242,15.66534359049766,0.07416526121027381,0.075285254995606,933.0,3.6502514922176487e-06,0.8,4,-0.0013218522650310996,-0.00238145433910436,-0.000154592555293279,11.56612706417849,5,5.0,0.0132245787902043,0.0122249455669792,15.797657792847499,15.3689954147899,0.07012646578232765,0.0679348451631996,934.0,3.4500002175263944e-06,0.8,4.0,-0.0006366399167523195,-0.0018049423196657398,0.0009560956986852803,8.419441452158132,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction,5,0.0007275780076798997,-0.0006425120519560606,0.00209766806731586,5.249019029724605,UNDERPOWERED,5,0.0006852123482787801,-0.0010170826255345808,0.0030342709287715817,4.943377366485734,UNDERPOWERED,5,-4.236565940111958e-05,-0.0015922237581589397,0.0016954548649579008,-0.3056416632388699,UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-0.3056416632388699
