cell_id,role,seed,pair_key,final_l2_F,int_l2_F,final_l2_Fp,ancestor_ess,event_fraction,ancestor_ess_kind,event_fraction_kind
twodim|prod|g0.01_eta0.075_bi0_fe5,abf,0,0,0.0135688751960505,14.939722122714867,0.0667982474712529,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,abf,1,1,0.0147994357580381,16.52712671330062,0.0765595874596965,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,abf,2,2,0.0121918928351795,14.84501309462817,0.061198680665756,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,abf,3,3,0.013688331632008,15.91035585335706,0.0717832788274096,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,abf,4,4,0.015057558113507,17.771971931967684,0.0722165638836819,1000.0,0.0,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,estimated,0,0,0.0138729664851216,15.759007896706398,0.0844326058353126,962.0,2.0000001313746906e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,estimated,1,1,0.0166749887771402,15.90374519582595,0.0701761412621302,967.0,1.700000111668487e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,estimated,2,2,0.0140848594849533,14.884380352893992,0.0781725760434918,971.0,1.5500001018153853e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,estimated,3,3,0.0118361655369209,14.177407646749067,0.0683998759471184,973.0,1.4500000952466508e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,estimated,4,4,0.0146663513422004,15.725307877652885,0.0843892373500605,964.0,1.900000124805956e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,oracle,0,0,0.0137302857657666,15.241744515077508,0.0731852872902635,967.0,1.700000111668487e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,oracle,1,1,0.0154154699213712,15.337057000034306,0.087186470422753,966.0,1.800000113689748e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,oracle,2,2,0.0148776881965751,16.442200685767478,0.0740172651764484,966.0,1.9500001189953765e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,oracle,3,3,0.0124944979434141,15.916379009784045,0.0664047301394622,965.0,1.8500001124266417e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,oracle,4,4,0.013270484509499,15.095486343470274,0.0808112016697336,961.0,1.95000012354285e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|g0.01_eta0.075_bi0_fe5,uniform,0,0,0.0155730496024206,17.64590843678301,0.083857317677426,961.0,2.000000126827217e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
