stage,method,physics_tag,beta,h,M,seed,n_replicas,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,ess_fraction
production,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,1024,155.1606984314886,155.1606984314886,295,0.02734375,0.02734375,0.1515241195620006
production,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,1,1024,159.26123936816523,159.26123936816523,298,0.0224609375,0.0234375,0.15552855407047386
production,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,2,1024,195.77595220313668,193.6786110084965,308,0.013671875,0.015625,0.19118745332337567
production,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,1024,182.6787456445993,182.6787456445993,307,0.013671875,0.0146484375,0.178397212543554
production,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,1024,172.34976988823144,172.34976988823144,296,0.0185546875,0.0185546875,0.168310322156476
production,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,1024,167.29036375239312,167.29036375239312,299,0.0224609375,0.0234375,0.1633694958519464
production,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,1024,165.07808564231738,165.07808564231738,298,0.0224609375,0.0234375,0.16120906801007556
production,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,1024,159.99023497101007,159.99023497101007,308,0.025390625,0.025390625,0.15624046383887702
production,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1024,184.93403880070548,184.93403880070548,323,0.0205078125,0.0205078125,0.18059964726631395
production,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,1024,193.89349112426035,193.89349112426035,336,0.0146484375,0.0166015625,0.1893491124260355
production,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1024,194.83017465626162,194.83017465626162,326,0.0166015625,0.0166015625,0.1902638424377555
production,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,1024,187.51359084406295,187.51359084406295,319,0.0185546875,0.01953125,0.18311874105865522
production,fr_estimated,b1_h6_w2_n10_a1.5,1.0,6.0,100,0,1024,242.95088044485635,239.40091324200912,401,0.015625,0.015625,0.23725671918443003
production,fr_estimated,b1_h6_w2_n10_a1.5,1.0,6.0,100,1,1024,249.77989518818484,249.77989518818484,396,0.013671875,0.013671875,0.24392567889471176
production,fr_estimated,b1_h6_w2_n10_a1.5,1.0,6.0,100,2,1024,233.32799287939474,233.32799287939474,399,0.0146484375,0.015625,0.22785936804628393
production,fr_estimated,b1_h6_w2_n10_a1.5,1.0,6.0,100,3,1024,227.06279774794282,227.06279774794282,385,0.017578125,0.017578125,0.22174101342572541
production,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1024,243.74151557415155,243.74151557415155,378,0.009765625,0.0126953125,0.23802882380288237
production,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1024,238.6381429221666,238.6381429221666,378,0.01171875,0.0146484375,0.23304506144742831
production,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1024,208.79649542015133,208.79649542015133,352,0.017578125,0.017578125,0.20390282755874153
production,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1024,203.527950310559,203.2124031007752,360,0.025390625,0.025390625,0.19875776397515527
production,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1024,226.27880880448856,226.27880880448856,379,0.0224609375,0.0224609375,0.22097539922313336
production,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,1,1024,215.04840032813783,215.04840032813783,371,0.0146484375,0.0166015625,0.2100082034454471
production,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,2,1024,220.2890756302521,220.2890756302521,383,0.015625,0.0166015625,0.21512605042016808
production,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,3,1024,210.3884430176565,210.3884430176565,369,0.017578125,0.017578125,0.20545746388443017
production,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,0,1024,195.48396718866516,192.39926605504587,360,0.0185546875,0.01953125,0.19090231170768082
production,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,1,1024,192.68210216832048,192.68210216832048,353,0.0166015625,0.017578125,0.18816611539875047
production,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,2,1024,222.34435962680237,222.34435962680237,375,0.015625,0.0185546875,0.2171331636980492
production,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,3,1024,225.01630901287552,225.01630901287552,379,0.0126953125,0.013671875,0.21974248927038625
production,fr_estimated,b2_h4_w2_n14_a1.5,2.0,4.0,196,0,1024,209.04625199362042,209.04625199362042,355,0.017578125,0.0185546875,0.20414673046251994
