run_id,stage,name,method,seed,n_steps,n_replicas,beta,h,w,n_dim,M,a,beta_h,physics_tag,fr_rate,target_ema_rate,max_event_fraction,fr_every,fr_start_steps,score_clip,config_hash,core_version,had_nan,device,cuda_visible_devices,total_replacement_events,l2_f,l2_fp,integrated_l2_f,l2_f_compact,l2_f_transition,l2_f_stretched,l2_fp_compact,l2_fp_transition,l2_fp_stretched,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_fr_application,clones_per_fr_application,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,runtime_seconds,wall_seconds
production__abf__b1_h1_w2_n10_a1.5__seed0__N1024__T120000__4ab1103bded9,production,abf,abf,0,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,b1_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.0983255474718814,0.3379741262749507,41.73843826180162,0.14278655076671615,0.04982670870370419,0.0964339403682045,0.38711329861928806,0.4033627958591755,0.09671787017924459,0.12860025786775803,nan,0.3135323202197283,772646,772048,1544694,772048,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,193.98859707731754,194.02024685684592
production__abf__b1_h1_w2_n10_a1.5__seed1__N1024__T120000__df929f9725f4,production,abf,abf,1,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,b1_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.10284767044380866,0.35827909733644375,37.27577528732918,0.14835018715043055,0.05405073939191494,0.1007342418496985,0.39757329202541675,0.4364526557035763,0.08942850460015196,0.12273280328009886,nan,0.3121178193569942,777646,777048,1554694,777048,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,187.6864669751376,187.7140109250322
production__abf__b1_h1_w2_n10_a1.5__seed2__N1024__T120000__2adca047dfd9,production,abf,abf,2,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,b1_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.10315123959832545,0.3578036830002999,46.392987606172966,0.1491974468663476,0.054387896701706386,0.10028751303288555,0.40738598790835284,0.42967455624100187,0.08570488445349071,0.12670971818944327,nan,0.3268898607708847,778421,777826,1556247,777826,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,187.66593173891306,187.69720308016986
production__abf__b1_h1_w2_n10_a1.5__seed3__N1024__T120000__3207f3cfe3be,production,abf,abf,3,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,b1_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.09771581331817727,0.34390076678977116,42.867428434706454,0.1418417381165459,0.0513638657605009,0.09442234530148733,0.3867335441419629,0.4185531523856872,0.07017792511814952,0.18204210744378926,nan,0.27733870276324885,780969,780346,1561315,780346,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,187.05929785221815,187.06297745369375
production__abf__b1_h2_w2_n10_a1.5__seed0__N1024__T120000__2721f1109b65,production,abf,abf,0,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,b1_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.09239884189654113,0.3349269876090359,37.78489731406954,0.13166915904980028,0.047245021339337966,0.09371432703001435,0.3455979061855544,0.4199853593127643,0.11964131179802875,0.13429682369397972,nan,0.5038466532634901,780382,779792,1560174,779792,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,197.43592707905918,197.44019811041653
production__abf__b1_h2_w2_n10_a1.5__seed1__N1024__T120000__f87312a7ffb8,production,abf,abf,1,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,b1_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.09848450204996467,0.3509168509318755,43.11839066115224,0.13946595787292648,0.047247598421276446,0.10331091409817356,0.3803537298548879,0.42305844522883246,0.14613609478984166,0.12329089937044936,nan,0.4726618445863025,778823,778245,1557068,778245,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,190.38527321163565,190.41326016187668
production__abf__b1_h2_w2_n10_a1.5__seed2__N1024__T120000__47bd372cecea,production,abf,abf,2,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,b1_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.08974311813109472,0.32504892671431374,37.98909673582804,0.1269279829238404,0.04687028299614298,0.09145948394077637,0.3246055186128858,0.4208303043168322,0.06949015345425213,0.1445822260569792,nan,0.4692969848171751,781757,781163,1562920,781163,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,185.94614723417908,185.97454105317593
production__abf__b1_h2_w2_n10_a1.5__seed3__N1024__T120000__59ea81143b93,production,abf,abf,3,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,b1_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.09122162893076358,0.33311278670539596,41.60845651230639,0.12938254664711368,0.04744143170433394,0.09271958186527408,0.3407836118444322,0.41938867561825066,0.12024131315285208,0.1555034433737458,nan,0.47249573973011727,779153,778533,1557686,778533,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,185.14367730170488,185.14743988309056
production__abf__b1_h4_w2_n10_a1.5__seed0__N1024__T120000__16982537e208,production,abf,abf,0,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,b1_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.09029130418765274,0.35048320001624483,50.55853214120057,0.1284756673648239,0.043281863442928885,0.09386991637740562,0.42949297450240514,0.39353158015789447,0.11820651294171743,0.09781242694374717,nan,0.8006507856074291,781239,780663,1561902,780663,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,192.84850599896163,192.8524300614372
production__abf__b1_h4_w2_n10_a1.5__seed1__N1024__T120000__d84694fa04da,production,abf,abf,1,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,b1_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.09489908617322972,0.3372872723411761,51.59255652659891,0.13171012254887546,0.04263557331432712,0.10474857721779922,0.4006249419949844,0.3877975416401344,0.11976591513148081,0.13511375555476476,nan,0.7857126998539172,780726,780130,1560856,780130,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,185.5231479294598,185.52660212200135
production__abf__b1_h4_w2_n10_a1.5__seed2__N1024__T120000__9bf0625fd6be,production,abf,abf,2,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,b1_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.09596504669783451,0.3614259960428922,49.187651789960576,0.13435311068505415,0.04389650127053365,0.10408756110415147,0.42575465676024066,0.41220759005704605,0.1519739563013049,0.12289059139028781,nan,0.7536991266722206,783634,783032,1566666,783032,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,193.1940021365881,193.19770835805684
production__abf__b1_h4_w2_n10_a1.5__seed3__N1024__T120000__14d2bf19bc11,production,abf,abf,3,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,b1_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.0960965197221633,0.35622564612523505,49.30920721701041,0.1358532732721275,0.04594909766432796,0.10121320266979862,0.44704783710637014,0.39364902891433085,0.11359274215966492,0.12552292322767505,nan,0.7745405536842157,785616,785020,1570636,785020,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,186.11546361166984,186.11894302256405
