stage,physics_tag,method,n_steps,n_replicas,beta,h,M,beta_h,n_pairs,n_wins,win_rate,R_final_median,R_integrated_median,median_gain_pct_F,mean_gain_pct_F,median_gain_pct_intF
production,b1_h1_w2_n10_a1.5,fr_estimated,120000,1024,1.0,1.0,100,1.0,4,4,1.0,2.0053282333661713,1.3031160642989046,49.86585996225365,49.23847161948853,23.23897435407378
production,b1_h1_w2_n10_a1.5,fr_oracle,120000,1024,1.0,1.0,100,1.0,4,4,1.0,1.9761693231624708,1.372126887768987,49.37474303615244,48.0591995650713,27.07316906276096
production,b1_h1_w2_n10_a1.5,fr_uniform,120000,1024,1.0,1.0,100,1.0,4,4,1.0,1.9438163861249116,1.3569557501856555,48.49088013460302,49.24122158735572,26.182706406348803
production,b1_h2_w2_n10_a1.5,fr_estimated,120000,1024,1.0,2.0,100,2.0,4,4,1.0,1.9216757767264956,1.2130867631390883,47.960380859067826,48.37635685055227,17.337442627466245
production,b1_h2_w2_n10_a1.5,fr_oracle,120000,1024,1.0,2.0,100,2.0,4,4,1.0,1.912797813921891,1.2409064329722583,47.67528893327771,48.32829366737543,19.41360843268908
production,b1_h2_w2_n10_a1.5,fr_uniform,120000,1024,1.0,2.0,100,2.0,4,4,1.0,2.279458509634721,1.2840726326080656,56.08412358818979,55.77724987621362,22.118021735602255
production,b1_h4_w2_n10_a1.5,fr_estimated,120000,1024,1.0,4.0,100,4.0,4,4,1.0,2.0637777771586916,1.3574685695237578,51.27007532460806,51.226908925008296,26.194204187439205
production,b1_h4_w2_n10_a1.5,fr_oracle,120000,1024,1.0,4.0,100,4.0,4,4,1.0,1.8223053216816096,1.2167122454970554,44.78893187495922,41.85922411356209,17.804898239342947
production,b1_h4_w2_n10_a1.5,fr_uniform,120000,1024,1.0,4.0,100,4.0,4,4,1.0,2.06429590585334,1.3346707997060858,51.52667401050354,50.761540078784215,24.972160439563474
production,b1_h6_w2_n10_a1.5,fr_estimated,120000,1024,1.0,6.0,100,6.0,4,4,1.0,1.8812727329263401,1.1866945313319262,46.82797246539407,43.26131985909512,15.730581220890937
production,b1_h6_w2_n10_a1.5,fr_oracle,120000,1024,1.0,6.0,100,6.0,4,4,1.0,1.586628409573422,1.1136106855439163,36.53753180465931,36.22760118893214,10.200641373619309
production,b1_h6_w2_n10_a1.5,fr_uniform,120000,1024,1.0,6.0,100,6.0,4,4,1.0,1.835794724005551,1.1148124574588003,45.52762776273234,43.07269714302282,10.29149907138044
production,b2_h1_w2_n10_a1.5,fr_estimated,120000,1024,2.0,1.0,100,2.0,4,1,0.25,0.9388689721208576,1.1451080468064765,-6.528554483313325,-4.727900676009312,12.640375661081567
production,b2_h1_w2_n10_a1.5,fr_oracle,120000,1024,2.0,1.0,100,2.0,4,3,0.75,1.1806433727807892,1.0530874497698626,14.976028516730542,13.559538953421537,4.610483513621563
production,b2_h1_w2_n10_a1.5,fr_uniform,120000,1024,2.0,1.0,100,2.0,4,0,0.0,0.7959119113980777,1.0469680807113324,-25.684898440868416,-29.726570373971047,4.480548330831307
production,b2_h2_w2_n10_a1.5,fr_estimated,120000,1024,2.0,2.0,100,4.0,4,0,0.0,0.7761762690019791,0.9858354597316143,-29.023698872988483,-32.98680311948091,-1.4600497114806499
production,b2_h2_w2_n10_a1.5,fr_oracle,120000,1024,2.0,2.0,100,4.0,4,4,1.0,1.645720761674282,1.1066956611468821,38.99183978675026,38.66091713953632,9.635727309806127
production,b2_h2_w2_n10_a1.5,fr_uniform,120000,1024,2.0,2.0,100,4.0,4,2,0.5,0.9407752872769073,1.0785698337992393,-7.365689764078599,-11.0383901635914,7.047345380311395
production,b2_h4_w2_n10_a1.5,fr_estimated,120000,1024,2.0,4.0,100,8.0,4,0,0.0,0.6192277119358127,0.9306200953948797,-61.49238621813576,-62.33535818223092,-7.4602161804313205
production,b2_h4_w2_n10_a1.5,fr_oracle,120000,1024,2.0,4.0,100,8.0,4,4,1.0,1.4054434521234607,0.9778272530723624,28.807694340758836,24.04743680788539,-2.277810328989441
production,b2_h4_w2_n10_a1.5,fr_uniform,120000,1024,2.0,4.0,100,8.0,4,0,0.0,0.6378371523424728,0.9368990236275653,-56.84103455451117,-63.84221692363874,-6.769469533392035
production,b2_h4_w2_n14_a1.5,fr_estimated,120000,1024,2.0,4.0,196,8.0,4,0,0.0,0.5435453513717858,0.8616399338082692,-84.1214036328356,-74.47591132907559,-16.38954395066069
production,b2_h4_w2_n14_a1.5,fr_oracle,120000,1024,2.0,4.0,196,8.0,4,4,1.0,1.302024576411292,1.045878625127139,22.997168807460177,23.060502511249954,4.382387195402477
production,b2_h4_w2_n14_a1.5,fr_uniform,120000,1024,2.0,4.0,196,8.0,4,0,0.0,0.5502146559130098,0.8462534660758472,-81.76606883011318,-79.80421623483792,-18.17274959076474
production,b2_h4_w2_n7_a1.5,fr_estimated,120000,1024,2.0,4.0,49,8.0,4,3,0.75,1.3268765244766585,1.0952599819372115,24.375576320067353,15.774480813754007,8.587947218410173
production,b2_h4_w2_n7_a1.5,fr_oracle,120000,1024,2.0,4.0,49,8.0,4,2,0.5,1.0398407031031685,1.0721543667757647,0.5986948397833043,1.76566697724098,6.728827593020872
production,b2_h4_w2_n7_a1.5,fr_uniform,120000,1024,2.0,4.0,49,8.0,4,3,0.75,1.2395994051531085,1.1184653461933638,17.362215744163976,17.15550332090071,10.590814637371182
production,b2_h6_w2_n10_a1.5,fr_estimated,120000,1024,2.0,6.0,100,12.0,4,4,1.0,1.257312243142938,0.9809816729534828,20.425444177378964,20.89293054250276,-1.9441618329177848
production,b2_h6_w2_n10_a1.5,fr_oracle,120000,1024,2.0,6.0,100,12.0,4,4,1.0,1.4721262627419063,0.9861302926767095,32.068107476985176,32.710584524752655,-1.4079935018626037
production,b2_h6_w2_n10_a1.5,fr_uniform,120000,1024,2.0,6.0,100,12.0,4,4,1.0,1.3166140653990015,0.9819812110424653,23.989372374590005,23.274333055279634,-1.8351512956989846
production,b4_h1_w2_n10_a1.5,fr_estimated,120000,1024,4.0,1.0,100,4.0,4,0,0.0,0.1753865579615146,0.7955555758230327,-488.78057434744767,-466.25351983927436,-25.698451787443368
production,b4_h1_w2_n10_a1.5,fr_oracle,120000,1024,4.0,1.0,100,4.0,4,0,0.0,0.5699521999787682,1.0088483480304538,-81.84917052576048,-82.04343244384448,0.8599721926374739
production,b4_h1_w2_n10_a1.5,fr_uniform,120000,1024,4.0,1.0,100,4.0,4,0,0.0,0.20214750340203386,0.8118687556311469,-410.84012086468766,-399.7909434615707,-23.330657975769412
production,b4_h2_w2_n10_a1.5,fr_estimated,120000,1024,4.0,2.0,100,8.0,4,0,0.0,0.3033089687206746,0.8192991377574199,-229.76750121730845,-239.08500909575793,-22.056933929396557
production,b4_h2_w2_n10_a1.5,fr_oracle,120000,1024,4.0,2.0,100,8.0,4,0,0.0,0.7974742420573211,0.9788349760066005,-25.48632350209929,-30.00836018609075,-2.1697670062474383
production,b4_h2_w2_n10_a1.5,fr_uniform,120000,1024,4.0,2.0,100,8.0,4,0,0.0,0.3027117354925916,0.8187988390246468,-230.40931344220775,-240.11954384013373,-22.137773267975007
production,b4_h4_w2_n10_a1.5,fr_estimated,120000,1024,4.0,4.0,100,16.0,4,0,0.0,0.39062566399631593,0.8975553584327433,-156.01262135634073,-148.93891901750578,-11.413878557861931
production,b4_h4_w2_n10_a1.5,fr_oracle,120000,1024,4.0,4.0,100,16.0,4,1,0.25,0.9105745261261375,1.0079111293468794,-9.88095258344934,-6.519523734026356,0.7796302400478878
production,b4_h4_w2_n10_a1.5,fr_uniform,120000,1024,4.0,4.0,100,16.0,4,0,0.0,0.3869878989474598,0.8942611271201967,-158.40617544818264,-144.9320071145614,-11.82433596325615
production,b4_h6_w2_n10_a1.5,fr_estimated,120000,1024,4.0,6.0,100,24.0,4,0,0.0,0.5914296975421793,0.9502099738568965,-69.10378187321972,-67.0525854969549,-5.241971955685564
production,b4_h6_w2_n10_a1.5,fr_oracle,120000,1024,4.0,6.0,100,24.0,4,3,0.75,1.0765132202671273,1.0209800905368387,7.053150033183477,6.514382539449871,2.0489146814414063
production,b4_h6_w2_n10_a1.5,fr_uniform,120000,1024,4.0,6.0,100,24.0,4,0,0.0,0.5904246708321426,0.94865801664038,-69.46594847694327,-70.13195690410993,-5.420973478588881
