stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.20000000298023224,-0.8034506142139435,-13.799487113952637,0.6663662791252136,nan,44192271.0,-1.0534225702285767,-10.859052658081055,0.8812768135833271
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.19119496643543243,-0.9165470004081726,-11.889531373977661,0.6653884202241898,nan,45981004.0,-1.1344455480575562,-9.816811561584473,0.9556528870451712
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.18238992989063263,-1.012872189283371,-9.990067481994629,0.6625008434057236,nan,47308614.0,-1.2154685258865356,-8.77457046508789,1.0363059897200146
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.17358490824699402,-1.0934771597385406,-8.318771362304688,0.6578384786844254,nan,48287923.0,-1.2964913845062256,-7.732330322265625,1.123765742630337
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.1647798717021942,-1.1602018475532532,-6.837255120277405,0.6516166031360626,nan,49025898.0,-1.352218508720398,-6.592520713806152,1.1881677800115114
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.1559748500585556,-1.214581459760666,-5.514705061912537,0.6441168785095215,nan,49609580.0,-1.402392864227295,-5.431296348571777,1.2493042488587236
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.1471698135137558,-1.2579061686992645,-4.326184153556824,0.6356694549322128,nan,50104547.0,-1.452567458152771,-4.270069599151611,1.3135867716559593
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.138364776968956,-1.2912689745426178,-3.2519359588623047,0.6266320049762726,nan,50553463.0,-1.4839993715286255,-3.2564666271209717,1.3555310586374376
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.12955975532531738,-1.31560617685318,-2.27608859539032,0.6173675060272217,nan,50982630.0,-1.5048885345458984,-2.325901746749878,1.3841447858260862
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.12075471878051758,-1.331728458404541,-1.3859668970108032,0.6082223057746887,nan,51405649.0,-1.525777816772461,-1.3953361511230469,1.4133626849120504
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.11194968223571777,-1.3403455913066864,-0.5713626444339752,0.5995059609413147,nan,51827184.0,-1.5361969470977783,-0.5730165243148804,1.428165678165669
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.10314465314149857,-1.3420858979225159,0.1760682612657547,0.5914744734764099,nan,52249737.0,-1.5343248844146729,0.1222308874130249,1.42549456352141
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.09433962404727936,-1.3375108540058136,0.8631183952093124,0.5843181014060974,nan,52673453.0,-1.532452940940857,0.8174782991409302,1.4228286143078777
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.08553458750247955,-1.3271277844905853,1.4953231811523438,0.5781547427177429,nan,53097249.0,-1.525779366493225,1.4663487672805786,1.4133648752312478
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.07672955840826035,-1.3114001750946045,2.0771042108535767,0.5730285346508026,nan,53520763.0,-1.5067591667175293,1.995964527130127,1.386736434847928
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.06792452931404114,-1.2907567024230957,2.6119006276130676,0.5689148008823395,nan,53943071.0,-1.487739086151123,2.5255801677703857,1.360609848652213
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.05911949649453163,-1.265599548816681,3.1023720502853394,0.5657292455434799,nan,54362987.0,-1.4674173593521118,3.0422394275665283,1.3332389608258823
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.050314463675022125,-1.2363094687461853,3.550651490688324,0.5633417367935181,nan,54778007.0,-1.4353818893432617,3.442294120788574,1.2912049091824847
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.04150943458080292,-1.203249603509903,3.958662986755371,0.561591848731041,nan,55187668.0,-1.403346300125122,3.8423495292663574,1.2504959483911753
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.03270440176129341,-1.166765958070755,4.32833993434906,0.5603063106536865,nan,55590458.0,-1.3713107109069824,4.242404937744141,1.2110704550626386
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.023899370804429054,-1.1271876692771912,4.661587238311768,0.5593151450157166,nan,55985568.0,-1.3303309679031372,4.545230865478516,1.1624442485784303
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.015094339847564697,-1.0848289132118225,4.959889769554138,0.5584662109613419,nan,56372723.0,-1.2885735034942627,4.839602947235107,1.1149030324395608
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.006289307959377766,-1.0399933159351349,5.224205493927002,0.5576368868350983,nan,56752424.0,-1.2468159198760986,5.133974552154541,1.0693060119526918
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.002515723230317235,-0.9929778426885605,5.455015301704407,0.5567413121461868,nan,57124560.0,-1.1999257802963257,5.359297752380371,1.020323477180577
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.011320754885673523,-0.944076418876648,5.652598142623901,0.5557343363761902,nan,57489940.0,-1.151232123374939,5.560362339019775,0.9718304290886626
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.02012578584253788,-0.8935791701078415,5.817487835884094,0.5546105653047562,nan,57848413.0,-1.1025385856628418,5.7614264488220215,0.9256422268163169
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.028930816799402237,-0.8417697995901108,5.950640797615051,0.5534006208181381,nan,58199570.0,-1.051440715789795,5.9090189933776855,0.879531980791943
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.03773584961891174,-0.7889231592416763,6.0530946254730225,0.5521638989448547,nan,58542142.0,-0.9984540939331055,6.0145978927612305,0.8341417101147376
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.04654087871313095,-0.7353063225746155,6.1255844831466675,0.5509799271821976,nan,58875659.0,-0.9454676508903503,6.120177268981934,0.7910940502061381
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.05534591153264046,-0.6811819076538086,6.168390512466431,0.5499385595321655,nan,59197891.0,-0.8918243050575256,6.1924262046813965,0.7497752652197653
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.06415094435214996,-0.6268128454685211,6.181155323982239,0.5491301119327545,nan,59505900.0,-0.8371092081069946,6.210293769836426,0.7098533634147315
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.07295597344636917,-0.5724671483039856,6.163077116012573,0.5486367344856262,nan,59796828.0,-0.782394289970398,6.228160858154297,0.6720572297172204
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.08176100999116898,-0.5184221565723419,6.112862229347229,0.5485246628522873,nan,60068665.0,-0.7278236150741577,6.228581428527832,0.6363653354767429
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.09056603908538818,-0.464966744184494,6.0291513204574585,0.5488390475511551,nan,60318999.0,-0.6738299131393433,6.15921688079834,0.6029167474924738
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.09937106817960739,-0.412402018904686,5.91054368019104,0.5496001690626144,nan,60545276.0,-0.6198359727859497,6.089851379394531,0.5712261455400941
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.1081760972738266,-0.36104126274585724,5.755688905715942,0.5508020967245102,nan,60743510.0,-0.5659145712852478,6.018078804016113,0.5412405293795493
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.1169811338186264,-0.3112097606062889,5.56317400932312,0.5524129569530487,nan,60910430.0,-0.5155476927757263,5.828371524810791,0.514655066753881
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.1257861703634262,-0.2632457911968231,5.331508755683899,0.5543770641088486,nan,61040667.0,-0.46518072485923767,5.638663291931152,0.48937542492959113
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.13459119200706482,-0.21750295162200928,5.058642864227295,0.5566182136535645,nan,61131160.0,-0.4148138165473938,5.448955535888672,0.4653375362845932
production,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,0.14339622855186462,-0.17435620725154877,4.741825342178345,0.5590438842773438,nan,61178273.0,-0.3705885112285614,5.139273643493652,0.44520627826509057
