stage,method,physics_tag,beta,h,M,seed,n_steps,t,l2_f,l2_fp,repl_cumulative,frac_compact,frac_transition,frac_stretched,ancestor_ess,max_ancestor_frac
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,0.0,0.7004342865759184,4.660075138587612,0.0,1.0,0.0,0.0,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,5.0,0.848248148122256,2.325582950476617,0.0,0.5322265625,0.21875,0.2490234375,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,10.0,0.5304367209287728,1.4805057044670578,0.0,0.318359375,0.259765625,0.421875,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,15.0,0.35791425304759666,1.0218356162736524,0.0,0.21484375,0.2783203125,0.5068359375,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,20.0,0.7691930449296344,9.30600104111928,0.0,0.1640625,0.2998046875,0.5361328125,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,25.0,0.24760336725021437,0.9096011838744058,0.0,0.1455078125,0.3193359375,0.53515625,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,30.0,0.21189991513740986,0.7523294533827659,0.0,0.1982421875,0.3125,0.4892578125,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,35.0,0.1903217178216535,0.6566372710843434,0.0,0.208984375,0.3173828125,0.4736328125,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,40.0,0.18136329843173016,0.6369035407625722,0.0,0.21875,0.3291015625,0.4521484375,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,45.0,0.16240200122792842,0.5627273297265571,0.0,0.2294921875,0.322265625,0.4482421875,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,50.0,0.15233710262514216,0.530034358483103,0.0,0.2373046875,0.3076171875,0.455078125,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,55.0,0.15209894146875197,0.527923139008825,0.0,0.2314453125,0.3095703125,0.458984375,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,60.0,0.14897174918630543,0.501330669357701,0.0,0.2412109375,0.2978515625,0.4609375,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,65.0,0.14380110681675218,0.486298899270128,0.0,0.23046875,0.310546875,0.458984375,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,70.0,0.14413182828745508,0.4888378896738701,0.0,0.24609375,0.3115234375,0.4423828125,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,75.0,0.14041404598705964,0.4783796197242519,0.0,0.244140625,0.2939453125,0.4619140625,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,80.0,0.13645503817765728,0.45945877663264545,0.0,0.255859375,0.3115234375,0.4326171875,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,85.0,0.1328625774724841,0.45031634704864254,0.0,0.24609375,0.3212890625,0.4326171875,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,90.0,0.1305252733746794,0.44020810826880313,0.0,0.234375,0.318359375,0.447265625,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,95.0,0.13015414238384967,0.4379925770852487,0.0,0.234375,0.33203125,0.43359375,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,100.0,0.12777551425692266,0.4332151509587598,0.0,0.259765625,0.326171875,0.4140625,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,105.0,0.1264706503999463,0.4282910437808941,0.0,0.267578125,0.3095703125,0.4228515625,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,110.0,0.12533521729779337,0.4289364045205772,0.0,0.2568359375,0.328125,0.4150390625,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,115.0,0.12220330445159483,0.41728201764243084,0.0,0.2705078125,0.3154296875,0.4140625,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,120.0,0.11922390863113658,0.41011114045890984,0.0,0.240234375,0.3310546875,0.4287109375,nan,nan
production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,125.0,0.11606220246968349,0.3955121746796424,0.0,0.244140625,0.33984375,0.416015625,nan,nan
