seed,method,int_eF_equilibrium,final_eF_equilibrium,int_eF_km_equilibrium,final_eF_km_equilibrium,int_eF_uniform8,final_eF_uniform8,int_eF_km_uniform8,final_eF_km_uniform8,int_eF_uniform10,final_eF_uniform10,int_eF_km_uniform10,final_eF_km_uniform10,int_egradF_equilibrium,final_egradF_equilibrium,int_egradF_uniform8,final_egradF_uniform8,int_egradF_uniform10,final_egradF_uniform10
0,abf,48.09556183011363,0.5695233522787861,2054.7927810412266,25.70869050665029,58.877611914003275,0.6785341592183551,3454.850725218468,43.19553331327375,58.23055545074461,0.6730899262536806,4362.028345355874,54.53490601497326,1818.091834668035,22.71074574657979,1950.3621457483614,24.37030840006945,1983.8334787781857,24.78878720495033
1,abf,47.15306630596233,0.5676967591511554,2055.9002148183345,25.721936594104964,56.64020978403556,0.6606694302218233,3454.7190025508035,43.19728180301471,55.99955288805877,0.6548259821222369,4361.964833314525,54.53715346590447,1818.0057162749467,22.712730327766657,1949.627876410963,24.36270478530141,1983.0837394530681,24.781918974085542
2,abf,47.47376717564829,0.5719460496437521,2056.196068522935,25.722685274605062,57.83380325521408,0.6732085894484167,3453.3390035199773,43.18721953082804,57.229029722177984,0.6676157500208194,4360.4793712957435,54.52579276922958,1818.0394983819174,22.71501447582748,1950.1348105584634,24.36900868067193,1983.541538398059,24.786832570228633
3,abf,47.29817971789741,0.5685547604611386,2055.254597139835,25.709512288101056,57.14154678850646,0.6709129382481084,3455.328630860622,43.19795050321343,56.67405774906764,0.6663511953223754,4362.814549767417,54.53845632652428,1817.2983090301059,22.70543638611222,1949.9264872273725,24.36468502796269,1983.4146334493585,24.785089853967385
4,abf,47.23726081992372,0.5639785284265361,2054.6039741403015,25.71086041561261,57.19902113215066,0.6583556958365847,3454.6494424249277,43.198086295842856,56.8027651164611,0.6545228942598493,4361.9442739988235,54.538996525733594,1817.3151316214899,22.70628325257049,1949.4925038051374,24.361798742087313,1983.0092071788115,24.781853604933833
5,abf,47.40968801239102,0.5680200143300385,2054.694969427088,25.713592404580037,57.65260190478887,0.666713491422509,3453.1719075039287,43.18099773834638,57.02463709884243,0.6601056861500947,4360.214541119627,54.51968659929301,1817.4598555000603,22.706758463127375,1949.4723853570756,24.363515674296988,1983.201578680905,24.784142189076498
6,abf,46.865238280828464,0.5682064124343319,2055.2293376245125,25.708526314579043,56.36694664250878,0.6687702438353141,3454.5604106535084,43.18600995927356,55.971517973707265,0.6645061289461518,4361.740923033982,54.525040973883385,1818.012846222899,22.712803933226116,1949.527414982602,24.36465214708921,1983.2999512026893,24.783840483227443
7,abf,46.539137417777276,0.5613690609597831,2054.0923157929988,25.69815902870721,57.10327140589824,0.6653800056744629,3454.144826512572,43.192139846320835,56.65593281690139,0.6610362367330426,4361.700665966868,54.534138003582314,1817.7711096244693,22.71241398795808,1950.0036332586549,24.36806905661703,1983.478574280498,24.78704437564256
8,abf,46.69894918307283,0.5640436691215781,2054.4862953318157,25.703330090413864,57.02956619953552,0.6661613634083213,3454.6807252460085,43.193256514099694,56.534155080330606,0.6606615463109778,4362.295515646141,54.53348445793434,1817.686453602205,22.710266860871243,1949.8658847671768,24.366006555011644,1983.4360702762033,24.785530277595743
9,abf,47.384370759716234,0.5651749521819251,2053.6876819243544,25.689874360702795,58.22064806149054,0.6747417073776111,3454.4608811141725,43.19420193310756,57.82142336196049,0.6713492022627575,4361.799817854132,54.53599716930462,1817.455733352037,22.706543011892794,1949.6144507918839,24.363878932342537,1983.1130105684974,24.78333718366315
10,abf,46.86288012085938,0.5646103471991465,2053.3878347675886,25.69946762273963,56.97704851930174,0.6687713782043986,3453.701309511116,43.18361555074461,56.51127125786067,0.6644655386465966,4361.050091589855,54.52136323151331,1817.0546644885262,22.7076032131166,1949.577154914231,24.363338677778696,1983.2198390342824,24.785048914071062
11,abf,47.53378823131822,0.5679879959058014,2054.7910210948608,25.70989195750057,58.542799898096646,0.6736658761783689,3454.7036880058254,43.19860740796712,57.908862371671106,0.6672165410843728,4361.6301343387295,54.53771856301738,1817.8719137813691,22.708507420118554,1949.8364937492356,24.36328965250598,1983.383072018039,24.784025857874155
12,abf,46.767009737179016,0.5632053126544848,2054.241233276396,25.700152341831007,57.405190331028734,0.6656803473070215,3453.6288941584644,43.18869103553848,56.86732807998354,0.6598823078469711,4360.974534000314,54.529241189130055,1817.4743925313999,22.707823602123575,1949.7912098451106,24.364727411306763,1983.2795444172118,24.782785094972844
13,abf,47.68662957399703,0.5688712465828739,2053.3263708126415,25.701350441980555,58.28848459640156,0.6718819246020171,3452.5696938410265,43.18486900469277,57.75215838863386,0.6667098230042512,4359.983753631928,54.5242590089042,1817.2129513587015,22.707086630015322,1949.5886100660377,24.36540422561116,1982.9897642286578,24.78332092250653
14,abf,46.85328623689761,0.5652919028805646,2054.784949477784,25.70728582315671,57.60578924914006,0.671895791458262,3453.8529393463346,43.18260819223798,57.07412612247445,0.6660208163177047,4360.82662835862,54.51909175589511,1817.4279864495215,22.708226278490294,1949.9229499861103,24.36774721881058,1983.516358586959,24.785956193883795
15,abf,47.224821674087764,0.5709298634165043,2056.410394780543,25.721705407541698,56.52545115876842,0.6642076854074215,3456.341384414488,43.207489556077086,56.084136536362834,0.659453434100746,4363.515414608355,54.54451466938488,1818.5421952197541,22.720100604756862,1949.912557316945,24.368255249157638,1983.413363161982,24.786675852297638
0,fr_uniform,47.81502945376444,0.5672838387308329,2054.372675388674,25.70710641492809,58.59644811646531,0.6711578359995821,3453.843048823164,43.18353147012624,58.13545728881519,0.6666437772340601,4361.0307112779765,54.5251708101876,1817.69082162485,22.707680777100258,1949.8829705233265,24.365293051750882,1983.394388158245,24.78454383576819
1,fr_uniform,47.49891213682564,0.5672046699990094,2055.0929770714392,25.713036121305766,57.57911782106476,0.664837345311898,3454.1736990891345,43.190706759299445,57.125037705401766,0.6608373191152074,4361.599728865549,54.52868964295525,1817.6430740388155,22.709541620884497,1949.679584058758,24.3657973005443,1983.1724069525867,24.784439645841502
2,fr_uniform,47.2251820346044,0.5682497605352028,2056.387331045185,25.726228198424852,58.20029120166528,0.6746629489228484,3453.631725944758,43.18899385421911,57.829582784207474,0.6700567052161619,4360.9368427913305,54.52654095539759,1817.5730077325086,22.7067597377366,1949.6708856552114,24.363787466762002,1983.5112364980025,24.78632831116461
3,fr_uniform,47.05135631358908,0.564228835605907,2055.2449599542642,25.71238148708577,56.245313170436404,0.6571662233719393,3454.644804761252,43.19549725569751,55.721300035092554,0.6519521624007365,4362.276978484404,54.5368598130188,1817.0267690193036,22.70195413859561,1949.6859953680355,24.36443246279984,1983.0941933134852,24.78240260749608
4,fr_uniform,47.236839016198644,0.5685384730879881,2053.332722311045,25.681973588298728,57.079749951482185,0.6717137757751278,3453.736151924294,43.181068289255236,56.59481044365219,0.6667121861982148,4360.732974957279,54.51776764567546,1817.5710374720602,22.707680974950794,1949.7052337330665,24.364341902106204,1983.2510582337638,24.78491014262655
5,fr_uniform,47.57507065048398,0.5703652490774622,2054.7216777327358,25.710574670703195,57.991393638630726,0.6758280166410547,3453.0314939944283,43.18464075299684,57.35507353575346,0.6703814286662824,4360.235540864125,54.5232241225699,1817.5089254692807,22.71117170320201,1949.4165159039653,24.363649736759207,1983.2126475809318,24.785549441033947
6,fr_uniform,46.77355744333205,0.5702242253188234,2056.4370096563507,25.72326481804564,56.90600797448487,0.6727251312521721,3454.3133611270573,43.18930462219715,56.485251035250684,0.6673682568197645,4361.42790915465,54.52693918541176,1818.4483391620388,22.718226168584646,1949.9000134189982,24.367950209092026,1983.395098070986,24.785627833998017
7,fr_uniform,46.73102202510821,0.564535418594511,2054.1790828376943,25.700427810221797,57.30098302811544,0.664680212096061,3453.808093324845,43.19035868828609,56.69204781390331,0.6585718219448746,4361.284412693063,54.53123523584728,1817.2563537657527,22.705436270828717,1949.7280286944635,24.364565166096877,1983.4130980223802,24.785109379318737
8,fr_uniform,46.69418890518917,0.5642892042669774,2055.0025453014377,25.703458405835004,56.798976386655866,0.6679121724900192,3454.7854353578055,43.19340495970286,56.42461436986072,0.6639845441069296,4362.320049643735,54.53334418502411,1817.39947027105,22.707061012279798,1949.5985678797085,24.36384516319332,1983.227061445492,24.784209230640133
9,fr_uniform,46.83473783320103,0.5631864980887566,2054.387637799521,25.70456264018686,57.18301593730435,0.6693707419851838,3454.7450776943238,43.198992773661836,56.82530800338475,0.6660439507806554,4361.847330417479,54.53536930086525,1817.5341746358602,22.705568220901462,1949.6793557231008,24.362464455857374,1983.3629954548996,24.783524644086167
10,fr_uniform,46.74087056048716,0.5617401577712828,2053.232761038644,25.6930388994176,57.3820124181056,0.6664839368167566,3453.6310289446656,43.1881863445117,56.970355398104516,0.6629341219916505,4361.141404617329,54.52985683924176,1817.11685817681,22.70496984669201,1949.6473123819837,24.365610505976335,1983.3183679865003,24.786088520865434
11,fr_uniform,47.06932411805826,0.5668291111908863,2055.7824432582956,25.715458226829618,57.10116862458069,0.6669455537672533,3454.40727806943,43.19603711974001,56.45746931096379,0.6612155513613043,4361.300159585156,54.53202512844922,1817.9329541201798,22.711410074086146,1950.036268021572,24.365970719679986,1983.477933850636,24.785555371698756
12,fr_uniform,47.046745244029964,0.5653426415635143,2054.3804348124686,25.708669064792698,57.865965879843245,0.6721069450802734,3453.8585353153944,43.19080948392586,57.29236414691872,0.6669051689818067,4361.355572595589,54.53148860653895,1817.0852970344233,22.704753196835203,1949.656281535998,24.363934107641732,1983.1503138877063,24.78272376650326
13,fr_uniform,46.46615565266274,0.557239543697163,2054.350026162068,25.70822893359321,56.2464780370786,0.656194878016198,3453.4271995122326,43.18283553391335,55.94711669386902,0.6533768348774502,4360.840878037381,54.522490272686134,1817.4256481981197,22.70534935979734,1949.5405803184376,24.36224931860234,1982.9736270160547,24.781079756189136
14,fr_uniform,46.78591330201922,0.5625195390883757,2054.995694365853,25.714093730326123,58.00287141508319,0.6678979952370594,3454.114164514166,43.19298394764478,57.563774634869254,0.6631410114582738,4360.971645224774,54.52875197396951,1817.462150822321,22.706854286715927,1949.8159798252263,24.365059965842807,1983.380345017376,24.784476946063773
15,fr_uniform,47.992736470983175,0.5730879509447373,2055.527202144004,25.720539307231324,58.170493626680766,0.674652251702286,3456.002847301802,43.20217018134327,57.70377175133624,0.6697251690265758,4362.99414055647,54.538486554563455,1818.434144011798,22.717650814584076,1949.9086892719351,24.36789041927423,1983.5987242837577,24.78904987513854
