seed,method,int_eF_equilibrium,final_eF_equilibrium,int_eF_km_equilibrium,final_eF_km_equilibrium,int_eF_uniform8,final_eF_uniform8,int_eF_km_uniform8,final_eF_km_uniform8,int_eF_uniform10,final_eF_uniform10,int_eF_km_uniform10,final_eF_km_uniform10,int_egradF_equilibrium,final_egradF_equilibrium,int_egradF_uniform8,final_egradF_uniform8,int_egradF_uniform10,final_egradF_uniform10
0,abf,48.09556183011363,0.5695233522787861,22.55330496102984,0.2164841901925161,58.877611914003275,0.6785341592183551,30.819646792330005,0.29705419356079465,58.23055545074461,0.6730899262536806,30.251925700964584,0.2936455912479423,669.9172384648211,8.334785450352854,669.4870975380611,8.344772489199514,671.1746434886675,8.367314748913754
1,abf,47.15306630596233,0.5676967591511554,20.75654523312678,0.2120074402993494,56.64020978403556,0.6606694302218233,27.994646558956113,0.27508319909581647,55.99955288805877,0.6548259821222369,27.429529044857986,0.2704699407207396,669.7527047695995,8.33927215610299,667.8982518819319,8.328431627134751,669.6236472759145,8.352324806764592
2,abf,47.47376717564829,0.5719460496437521,21.1211850839785,0.2177670897457469,57.83380325521408,0.6732085894484167,29.796610836720006,0.29253038482289584,57.229029722177984,0.6676157500208194,29.29527152239599,0.288847076412859,669.7445080162042,8.343792713012297,669.0258228676413,8.342183697352556,670.4498564720352,8.362029336812569
3,abf,47.29817971789741,0.5685547604611386,21.40873795284942,0.216981538485398,57.14154678850646,0.6709129382481084,28.93604000799394,0.28986047814245924,56.67405774906764,0.6663511953223754,28.6615194024266,0.2888640586168543,668.4252564727735,8.325537563629444,668.7553319807596,8.33474285684865,670.4044525187384,8.359359346725654
4,abf,47.23726081992372,0.5639785284265361,21.44296497305171,0.20884326176806173,57.19902113215066,0.6583556958365847,29.013038491821582,0.27228096207808167,56.8027651164611,0.6545228942598493,28.688873139463723,0.2699991079548611,668.0799971667477,8.324271110930328,667.3330190455699,8.324032023641402,669.1646255867865,8.349644325166956
5,abf,47.40968801239102,0.5680200143300385,21.45293134082155,0.21263686119342848,57.65260190478887,0.666713491422509,29.47189405233782,0.28328072046259933,57.02463709884243,0.6601056861500947,28.958135113828234,0.27856075010223186,668.6708075137138,8.329274505497152,667.7521170010779,8.33181655047559,669.8477618737427,8.357145716232324
6,abf,46.865238280828464,0.5682064124343319,20.457814886930976,0.2148466929673307,56.36694664250878,0.6687702438353141,27.722688621273406,0.28629042378225283,55.971517973707265,0.6645061289461518,27.475899055577763,0.28471986074185324,669.4909674646623,8.337848164435172,667.7133141633228,8.331280853589439,669.7744102905053,8.355332980525453
7,abf,46.539137417777276,0.5613690609597831,20.34534865197282,0.21020396776312658,57.10327140589824,0.6653800056744629,28.951076303467836,0.2877536254065767,56.65593281690139,0.6610362367330426,28.656187495633155,0.2852504285147102,668.849833895225,8.335787288906529,668.7063191242178,8.338873405075425,670.4505859673791,8.362518133550912
8,abf,46.69894918307283,0.5640436691215781,20.450439414785606,0.21035259399416567,57.02956619953552,0.6661613634083213,28.7887800750617,0.2853195877232749,56.534155080330606,0.6606615463109778,28.335683506121196,0.28130813649845704,668.6944762119808,8.331554679174126,668.569375931236,8.336343465557814,670.5509853624819,8.361714330126123
9,abf,47.384370759716234,0.5651749521819251,22.03927045809463,0.2206776639159987,58.22064806149054,0.6747417073776111,30.52703821618661,0.30060271210345885,57.82142336196049,0.6713492022627575,30.27156508591649,0.2992438436519957,668.4984166082493,8.325386936458806,668.0167577507124,8.331118348968417,669.709313874628,8.355314089091726
