seed,method,occ_C7eq,first_hit_ps_C7eq,entries_C7eq,occ_C5,first_hit_ps_C5,entries_C5,occ_C7ax,first_hit_ps_C7ax,entries_C7ax
0,abf,0.14101683063271606,0.0,50875,0.06734664351851852,0.0,50951,0.056773244598765434,4.4030000000000005,0
1,abf,0.14484471450617284,0.0,51278,0.06539954668209877,0.0,51334,0.05654417438271605,4.311,0
2,abf,0.14363305362654322,0.0,51569,0.0661108699845679,0.0,51761,0.05648389274691358,4.473,0
3,abf,0.1454173900462963,0.0,52311,0.0672923900462963,0.0,52403,0.05611014660493827,4.121,0
4,abf,0.14249373070987653,0.0,51456,0.06646653163580248,0.0,51570,0.05736400462962963,4.038,0
5,abf,0.14418764467592593,0.0,51452,0.06653886959876543,0.0,51429,0.05641758294753087,4.268,0
6,abf,0.14473017939814814,0.0,51392,0.06739486882716049,0.0,51575,0.056019724151234566,4.433,0
7,abf,0.14529682677469136,0.0,51388,0.06474247685185185,0.0,51134,0.05740620177469136,4.144,0
8,abf,0.14586950231481483,0.0,51880,0.06496551890432099,0.0,51912,0.05706862461419753,4.494,0
9,abf,0.14374156057098766,0.0,51476,0.0667920524691358,0.0,51565,0.05636935763888889,4.3100000000000005,0
10,abf,0.14448905285493827,0.0,51752,0.06633994020061729,0.0,52123,0.05709876543209876,3.977,0
11,abf,0.14304229359567902,0.0,50742,0.06545380015432099,0.0,50921,0.056140287422839504,4.557,0
12,abf,0.14544753086419754,0.0,51172,0.06570698302469136,0.0,51432,0.057370032793209874,4.307,0
13,abf,0.14306037808641975,0.0,51102,0.06501977237654322,0.0,51148,0.05603780864197531,4.447,0
14,abf,0.14320505401234568,0.0,51499,0.06574918016975309,0.0,51850,0.05671899112654321,4.398,0
15,abf,0.14510392554012347,0.0,52081,0.06614101080246913,0.0,52066,0.05718918788580247,4.487,0
0,fr_uniform,0.14317491319444445,0.0,50966,0.06722005208333333,0.0,51029,0.056098090277777776,4.4030000000000005,0
1,fr_uniform,0.14427806712962962,0.0,51577,0.06602647569444445,0.0,51732,0.05708068094135803,4.311,0
2,fr_uniform,0.14491102430555555,0.0,51613,0.0661892361111111,0.0,51585,0.05740017361111111,4.473,0
3,fr_uniform,0.14551384066358025,0.0,52107,0.06665943287037036,0.0,52289,0.05624879436728395,4.121,1
4,fr_uniform,0.14478443287037038,0.0,51813,0.06636405285493827,0.0,51817,0.05510947145061729,4.038,0
5,fr_uniform,0.14316285686728394,0.0,52149,0.06703317901234568,0.0,52232,0.05728563850308642,4.268,0
6,fr_uniform,0.14676167052469136,0.0,51301,0.06527295524691358,0.0,51206,0.05539882330246913,4.433,1
7,fr_uniform,0.1447000385802469,0.0,51128,0.06460985725308642,0.0,51158,0.05791859567901234,4.144,0
8,fr_uniform,0.1455741222993827,0.0,52091,0.06644241898148148,0.0,52106,0.05596547067901234,4.494,0
9,fr_uniform,0.1452907986111111,0.0,51895,0.06615306712962964,0.0,52105,0.05626085069444445,4.3100000000000005,0
10,fr_uniform,0.14314477237654322,0.0,51972,0.06554422260802469,0.0,52198,0.05687572337962963,3.977,0
11,fr_uniform,0.14550178433641975,0.0,51316,0.06579740547839506,0.0,51463,0.056640625,4.557,1
12,fr_uniform,0.14428409529320987,0.0,51463,0.0664966724537037,0.0,51520,0.05698423032407408,4.307,0
13,fr_uniform,0.14416353202160495,0.0,51399,0.06684630594135803,0.0,51426,0.05513358410493827,4.447,0
14,fr_uniform,0.14375361689814814,0.0,51342,0.06511019483024691,0.0,51511,0.057454427083333336,4.398,0
15,fr_uniform,0.14339795524691357,0.0,51953,0.06591194058641975,0.0,52022,0.05758704668209876,4.487,0
