step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,fr_active,tv_to_unconstrained,mass_ess_unconstrained,row,seed
10000,A6c,0.0,31,False,0.0,0.0017732173227270674,0,0.0,False,0.5000000028761746,True,0.2626485553947226,0.07849562452987216,0,5200
10000,A6c,0.12352905872716109,32,False,0.0,0.0016634911659286532,0,0.0,False,0.5000000046207541,True,0.26125773133726127,0.08450392070515755,1,5201
10000,A6c,0.2110738350661125,32,False,0.0,0.0019233891588585645,0,0.0,False,0.5000000021652494,True,0.26146951259749623,0.10112331420176186,2,5202
10000,A6c,0.0,31,False,0.0,0.0018501211421460058,0,0.0,False,0.5000000028775238,True,0.2565870654680493,0.1039551910750319,3,5203
10000,A6c,0.0,30,False,0.0,0.0022457254275997617,0,0.0,False,0.5000000017814435,True,0.25717271433454963,0.0911538468485471,4,5204
10000,A6c,0.12380579262090814,32,False,0.0,0.0017043120859525458,0,0.0,False,0.500000001033235,True,0.25573484280319253,0.08495230762876686,5,5205
10000,A6c,0.0,31,False,0.0,0.002088360534094863,0,0.0,False,0.5000000046579715,True,0.2568220969359055,0.1060169159526414,6,5206
10000,A6c,0.15173954752221588,32,False,0.0,0.0017640391685131366,0,0.0,False,0.5000000027261652,True,0.2577418266952573,0.07935346496930755,7,5207
10000,A6c,0.14782864530330475,32,False,0.0,0.001791400876109115,0,0.0,False,0.5000000036403105,True,0.2605135156710025,0.08647963313468436,8,5208
10000,A6c,0.07435873480720574,32,False,0.0,0.0017563476383785103,0,0.0,False,0.5000000002464974,True,0.2584667674510468,0.08627007422865278,9,5209
10000,A6c,0.20786912630194568,32,False,0.0,0.0019015268083121724,0,0.0,False,0.5000000016042968,True,0.2626910832853955,0.09278028676376249,10,5210
10000,A6c,0.10822928604095235,32,False,0.0,0.0019164951282843448,0,0.0,False,0.500000003199334,True,0.27601225305166877,0.06888561218462415,11,5211
10000,A6c,0.0,31,False,0.0,0.001718345960933839,0,0.0,False,0.500000004204095,True,0.2844015943372782,0.06409355054422541,12,5212
10000,A6c,0.16099029457820202,32,False,0.0,0.0018876537629106856,0,0.0,False,0.5000000039109079,True,0.2566831435788497,0.09842117601928739,13,5213
10000,A6c,0.15973393100348882,32,False,0.0,0.001519104345004387,0,0.0,False,0.5000000012058032,True,0.24806619000051874,0.10860224359217155,14,5214
10000,A6c,0.11930609367933491,32,False,0.0,0.0016289877717236422,0,0.0,False,0.5000000056848471,True,0.27429730468220687,0.06926763566015365,15,5215
10500,A6c,0.0,31,False,0.0,0.0018646940197679985,0,0.0,False,0.5000000032954401,True,0.2617754821778071,0.08047853647062193,0,5200
10500,A6c,0.0,31,False,0.0,0.0016648578178228108,0,0.0,False,0.5000000014465436,True,0.26013526973202317,0.086154777361901,1,5201
10500,A6c,0.2624724827489599,32,False,0.0,0.001651231674309635,0,0.0,False,0.5000000001906378,True,0.2553695068635871,0.10315422460398142,2,5202
10500,A6c,0.0,31,False,0.0,0.001826909786063808,0,0.0,False,0.5000000031037433,True,0.254992465135719,0.10378945202088154,3,5203
10500,A6c,0.33072027261133163,32,False,0.0,0.0022859916355944354,0,0.0,False,0.5000000017479854,True,0.25728341667292337,0.09175055197102665,4,5204
10500,A6c,0.0,31,False,0.0,0.0016361761273364478,0,0.0,False,0.5000000032070504,True,0.25593921729685193,0.08652367982688236,5,5205
10500,A6c,0.33711083344137427,32,False,0.0,0.0019272941041584622,0,0.0,False,0.5000000034353117,True,0.25428016675251514,0.10885057452517824,6,5206
10500,A6c,0.30631272725665437,32,False,0.0,0.0016916588554350682,0,0.0,False,0.5000000045295248,True,0.25600954671812026,0.08089469194181918,7,5207
10500,A6c,0.0,31,False,0.0,0.0017035525703342678,0,0.0,False,0.5000000011506764,True,0.2594996104178162,0.08782035660565743,8,5208
