phi,method,n_seeds,n_pairs,med_final_l2_f,iqr_final_l2_f,se_final_l2_f,med_final_l2_fp,med_int_l2_f,med_final_ess,med_repl_fraction,med_score_std,med_final_cross,med_final_occ,median_gain_pct_final_l2_f,mean_gain_pct_final_l2_f,win_rate_final_l2_f,median_gain_pct_int_l2_f,win_rate_int_l2_f
0.5,abf,20,,0.028453049667578854,0.0017643761557214269,0.000475840132022964,0.07185437944776746,2.4097022702278466,512.0,0.0,0.0,109498.5,0.0849609375,0.0,0.0,,0.0,
0.5,fr_oracle,20,20,0.024642480036667903,0.0013803381144525256,0.0002883752944824044,0.07331541717755588,1.4518519616648338,116.5,0.00581689453125,0.10949741940876428,106856.0,0.08203125,11.053300329752233,12.069303916953778,0.95,38.997049944055966,1.0
0.5,fr_uniform,20,20,0.032909829050776815,0.003631526524112031,0.0006880949590767054,0.08397166767845732,1.9826489101242617,117.5,0.005658691406249999,0.10295411369886089,126448.0,0.099609375,-13.651042969040112,-14.400140990386522,0.1,20.815237079458306,0.95
0.75,abf,20,,0.023053892825042766,0.0035288966352080876,0.0006193749408245575,0.07237948715933275,2.583563213042498,512.0,0.0,0.0,115389.0,0.0869140625,0.0,0.0,,0.0,
0.75,fr_oracle,20,20,0.014027515058912667,0.0020343180346352133,0.00028217828462249995,0.06922458944272447,1.1617093243447225,113.0,0.005693481445312501,0.1058948946939186,119388.0,0.091796875,37.439194171775945,37.976995177386726,1.0,52.269317612653055,1.0
0.75,fr_uniform,20,20,0.025976688625424453,0.0037327406159207155,0.0006075156157188935,0.08599723635698897,1.899932823315329,119.0,0.005569091796875,0.10164716977459648,127364.0,0.0986328125,-15.069888261057041,-13.82792144927277,0.25,25.16677588722644,1.0
0.9,abf,20,,0.03149118390260745,0.002625169230940097,0.0007085806050661704,0.13605489839513416,3.0009849445088577,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.9,fr_oracle,20,20,0.017518484526553177,0.0009656259374828079,0.00020989154324461374,0.12619942605231954,1.358681264742032,110.5,0.0059276123046875,0.11030055040793263,142457.0,0.10546875,41.58390918486265,43.045744724086994,1.0,53.453812397010225,1.0
0.9,fr_uniform,20,20,0.02829649092778765,0.006529934287173158,0.0011084727875625368,0.14397888934970915,2.179984224502295,120.5,0.0055523681640625,0.1009273154375285,125607.5,0.09765625,12.474596990840624,8.213429358035423,0.75,26.331233891886697,1.0
