target_ema_rate,phi,method,n_seeds,n_pairs,med_final_l2_f,iqr_final_l2_f,se_final_l2_f,med_final_l2_fp,med_int_l2_f,med_final_ess,med_repl_fraction,med_score_std,med_final_cross,med_final_occ,median_gain_pct_final_l2_f,mean_gain_pct_final_l2_f,win_rate_final_l2_f,median_gain_pct_int_l2_f,win_rate_int_l2_f
0.0005,0.9,abf,20,,0.03149118393569948,0.0026251692420669326,0.000708580606802338,0.13605489839737442,3.00098494452876,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.0005,0.9,fr_estimated,20,20,0.02682644628125789,0.0031483009563879477,0.0005869632079994835,0.15617276513639675,2.1755347743202447,118.5,0.0061258544921875,0.12147570910908255,136347.5,0.0986328125,11.832138340804498,12.405485404371026,1.0,25.481404276469544,0.95
0.001,0.5,abf,20,,0.028453195489634264,0.0017643157802517302,0.0004758415608253956,0.07185447372623613,2.409703096588215,512.0,0.0,0.0,109497.5,0.0849609375,0.0,0.0,,0.0,
0.001,0.5,fr_estimated,20,20,0.0325718656676355,0.003347781731010132,0.0006507438664853028,0.08678177959133879,2.2209294042970997,118.5,0.0090655517578125,0.19393949414977363,119946.0,0.095703125,-14.04582972387131,-12.858342594834905,0.15,10.321355209613596,0.75
0.001,0.75,abf,20,,0.023053996400694443,0.0035288953444890837,0.0006193751101264217,0.07237939790455913,2.5835633217257783,512.0,0.0,0.0,115388.0,0.0869140625,0.0,0.0,,0.0,
0.001,0.75,fr_estimated,20,20,0.029158810548496297,0.0040123543769560385,0.0008208853887866986,0.09814898908792696,2.0949437731807565,114.0,0.0068521728515625,0.13813956247506437,125088.0,0.1015625,-22.615846358427184,-23.007091845969708,0.15,18.922366714117405,1.0
0.001,0.9,abf,20,,0.031491183930674585,0.002625169227269509,0.0007085806030984396,0.13605489840108992,3.0009849445111474,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.001,0.9,fr_estimated,20,20,0.02622409948963917,0.004893134535143732,0.0007845315071515242,0.15191583288281596,2.006639800282054,113.5,0.0058331298828125,0.11259887026741375,129304.5,0.09765625,19.598695836862525,16.42162418549763,0.85,32.21397776789517,1.0
0.002,0.5,abf,20,,0.02845309864936408,0.0017644158829650154,0.00047584153100089,0.07185437783299392,2.4097040018655926,512.0,0.0,0.0,109497.5,0.0849609375,0.0,0.0,,0.0,
0.002,0.5,fr_estimated,20,20,0.031940526414209844,0.002904268818366307,0.000489773078504756,0.08266119086447232,1.9957025827239065,120.5,0.006865234375,0.13779303496065895,124418.5,0.1005859375,-11.569348918584243,-12.198776816760553,0.15,18.468583743164274,0.95
0.002,0.75,abf,20,,0.023053987623511425,0.0035289293202358206,0.000619375058858478,0.07237947882754951,2.583563189601807,512.0,0.0,0.0,115389.0,0.0869140625,0.0,0.0,,0.0,
0.002,0.75,fr_estimated,20,20,0.02600927165579279,0.003185088183650542,0.0006326535060470858,0.08878786730994054,1.9795098292979278,119.0,0.0059866943359375,0.11592834600585014,126708.5,0.1015625,-12.5834470861121,-15.952351481433903,0.15,24.59997603785632,0.95
0.002,0.9,abf,20,,0.0314911838992329,0.0026251692337332586,0.000708580802970682,0.13605489839666962,3.0009849445060715,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.002,0.9,fr_estimated,20,20,0.026592033120825344,0.005005313317862584,0.0007816439446977838,0.1454669305018144,2.0490799462759055,116.0,0.0056358642578125,0.10587842130807777,126031.5,0.095703125,17.135204630640047,15.298774366901764,0.9,28.82324609463908,1.0
0.005,0.5,abf,20,,0.028453128166238753,0.0017643380107227324,0.00047584239808503296,0.07185441263165139,2.4097061418506325,512.0,0.0,0.0,109497.5,0.0849609375,0.0,0.0,,0.0,
0.005,0.5,fr_estimated,20,20,0.031326297844360876,0.0037948184425010863,0.0006106402010988997,0.08220065697869468,1.9537330791179282,116.0,0.005745849609375,0.10789878993039595,126548.0,0.09375,-8.890295447545725,-11.891851921761187,0.15,17.866799182045344,0.95
0.005,0.75,abf,20,,0.023053966685291173,0.003528899316415396,0.0006193736067060602,0.07237952581157014,2.5835633607033612,512.0,0.0,0.0,115388.0,0.0869140625,0.0,0.0,,0.0,
0.005,0.75,fr_estimated,20,20,0.026066541721121023,0.00505614002066012,0.0007113361567693713,0.08997334102331056,1.9408029502953013,116.0,0.0055989990234375005,0.1039753821519569,127011.5,0.099609375,-12.403187649518664,-14.063216404181338,0.15,25.79016216624295,1.0
0.005,0.9,abf,20,,0.03149118393459925,0.002625169239961797,0.0007085806208342424,0.13605489839635337,3.0009849445060697,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.005,0.9,fr_estimated,20,20,0.025523258430189762,0.004784728857392378,0.0007512565502387104,0.14214762793687474,2.141907747985161,119.0,0.005567138671874999,0.1023745133803852,125373.5,0.0966796875,18.02431915302636,15.327473647122691,0.9,29.26606246514079,1.0
0.01,0.5,abf,20,,0.02845310081335263,0.0017643219011106125,0.0004758432705023169,0.07185434610196105,2.4097063497548983,512.0,0.0,0.0,109497.5,0.0849609375,0.0,0.0,,0.0,
0.01,0.5,fr_estimated,20,20,0.031542934273909216,0.0048004602055022015,0.0006474039532395683,0.08457138246183635,1.8104159233939288,119.0,0.0056546630859375,0.10407438498952731,126779.5,0.099609375,-11.462579486739562,-11.476955467507477,0.2,23.266730944411883,0.95
0.01,0.75,abf,20,,0.02305391300412946,0.0035289010843165478,0.0006193750377936796,0.07237952423864541,2.5835638189205383,512.0,0.0,0.0,115389.0,0.0869140625,0.0,0.0,,0.0,
0.01,0.75,fr_estimated,20,20,0.026817781694377305,0.005409419327791626,0.0009478105695349423,0.08843197287428747,2.0660662473745184,116.5,0.0055753173828125,0.10222336197054077,126662.0,0.099609375,-23.771832541718975,-21.572623674228545,0.1,20.956161800352653,1.0
0.01,0.9,abf,20,,0.0314911839338013,0.002625169238919485,0.000708580819675667,0.1360548983969619,3.0009849445092915,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.01,0.9,fr_estimated,20,20,0.026464987434078848,0.004875107658399061,0.0008071949679767185,0.14193433681744477,2.052359223662137,120.5,0.0055687255859375,0.10180637243346327,125145.5,0.0947265625,17.483318542284877,15.1597648917828,0.75,31.7851259131645,1.0
0.02,0.5,abf,20,,0.02845320010398573,0.001764311179031565,0.0004758271625600149,0.07185439466857656,2.409703521022069,512.0,0.0,0.0,109497.5,0.0849609375,0.0,0.0,,0.0,
0.02,0.5,fr_estimated,20,20,0.03237110482238399,0.0027073148657106583,0.000532422235730352,0.08347264349689493,1.954983990571677,121.0,0.0056585693359375005,0.10359481583465707,126798.0,0.1005859375,-12.608184192016708,-13.63573616392408,0.15,20.844823917137145,0.95
0.02,0.75,abf,20,,0.02305397780469804,0.0035288998437426784,0.0006193767842793226,0.07237943910496893,2.583563200834546,512.0,0.0,0.0,115389.0,0.0869140625,0.0,0.0,,0.0,
0.02,0.75,fr_estimated,20,20,0.02614438895161283,0.006697640135895008,0.000839657637938802,0.08930355724221742,1.9457846978875741,117.0,0.005578125,0.1017326678344212,126535.5,0.095703125,-10.302898389696916,-13.384960641585758,0.2,24.618906915624088,0.95
0.02,0.9,abf,20,,0.031491183927705314,0.0026251692370472465,0.0007085808085758262,0.13605489839795853,3.0009849445059023,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.02,0.9,fr_estimated,20,20,0.0267430852432533,0.004423501799152615,0.0008540427233373194,0.1426553963520344,2.0769053223967204,117.0,0.0055633544921875,0.10132560006742036,125668.0,0.0986328125,10.213953944677685,12.200262238346662,0.9,28.99618054875551,1.0
0.05,0.5,abf,20,,0.028453029271211884,0.001764210795003704,0.0004758372566520725,0.07185449600323537,2.409704309481117,512.0,0.0,0.0,109496.5,0.0849609375,0.0,0.0,,0.0,
0.05,0.5,fr_estimated,20,20,0.03126453205851375,0.004450769108660321,0.0006225526057146819,0.081570585303709,1.9307430437290904,122.0,0.005666015625,0.10322433198179518,126691.0,0.099609375,-6.855177061732315,-9.343442382177056,0.15,21.25446799295592,1.0
0.05,0.75,abf,20,,0.023053998818861332,0.0035289191961099947,0.0006193728615733066,0.07237949614717014,2.5835633929759747,512.0,0.0,0.0,115389.0,0.0869140625,0.0,0.0,,0.0,
0.05,0.75,fr_estimated,20,20,0.024802583973339815,0.0034081431457789017,0.0005946549079956197,0.08665408058620488,1.839515129581004,116.0,0.00558251953125,0.10161574865482323,127326.5,0.1025390625,-9.77989338420679,-9.328886007780822,0.35,31.088762596045513,0.95
0.05,0.9,abf,20,,0.03149118392811079,0.0026251692218446886,0.0007085807955495115,0.13605489839322626,3.00098494450751,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.05,0.9,fr_estimated,20,20,0.029061912049505454,0.006970167517202554,0.001062692527451998,0.14253708674245608,2.2131255572404447,120.0,0.0055599365234375,0.10103467343190586,125070.0,0.09765625,8.77257929213673,7.739398536587968,0.6,23.436018822342643,0.95
