target_ema_rate,phi,method,n_seeds,n_pairs,med_final_l2_f,iqr_final_l2_f,se_final_l2_f,med_final_l2_fp,med_int_l2_f,med_final_ess,med_repl_fraction,med_score_std,med_final_cross,med_final_occ,median_gain_pct_final_l2_f,mean_gain_pct_final_l2_f,win_rate_final_l2_f,median_gain_pct_int_l2_f,win_rate_int_l2_f
0.00025,0.5,abf,20,,0.02845299715775685,0.0017644772624413746,0.0004758356431497711,0.07185434658149037,2.4097067904682894,512.0,0.0,0.0,109498.5,0.0849609375,0.0,0.0,,0.0,
0.00025,0.5,fr_estimated,20,20,0.03416634914769752,0.004928607195424081,0.0007208719512496243,0.08212906769551054,3.700201081232311,99.5,0.01990673828125,0.43859513707442166,101200.0,0.1015625,-24.452321873542864,-17.961297564934757,0.2,-53.974822409587716,0.0
0.00025,0.75,abf,20,,0.023053988109994726,0.00352889201260213,0.0006193713086275934,0.07237983149950865,2.583563417553477,512.0,0.0,0.0,115388.0,0.0869140625,0.0,0.0,,0.0,
0.00025,0.75,fr_estimated,20,20,0.03199045273100562,0.006237101403124758,0.0008657824164228228,0.10393586916870348,2.7589264662578725,110.5,0.01285693359375,0.26153986488191205,116288.5,0.0986328125,-39.475587122210335,-41.752490488988784,0.0,-6.778459196024057,0.35
0.00025,0.9,abf,20,,0.03149118390270131,0.0026251692317449185,0.0007085806066084285,0.13605489839758783,3.0009849445058654,512.0,0.0,0.0,115946.0,0.0966796875,0.0,0.0,,0.0,
0.00025,0.9,fr_estimated,20,20,0.03418095741469436,0.004786388350775335,0.0007929647230200785,0.1708969407957202,2.586867897362032,117.0,0.0068536376953124995,0.1367318866776061,150633.5,0.1005859375,-8.299125959224078,-7.946546662315737,0.25,11.780763871947382,0.95
0.0005,0.5,abf,20,,0.02845301900371656,0.0017642838615465235,0.0004758343033443266,0.07185441492957573,2.4097026636134995,512.0,0.0,0.0,109498.5,0.0849609375,0.0,0.0,,0.0,
0.0005,0.5,fr_estimated,20,20,0.03253952493182244,0.0023948917195757494,0.0005493433839748172,0.08523708084795246,2.751362038135812,110.5,0.012898559570312499,0.27972293886750743,113446.5,0.1005859375,-14.790570745714636,-14.520932475010909,0.1,-13.440604828886539,0.15
0.0005,0.75,abf,20,,0.023053690516485058,0.0035289221168669713,0.0006193751449217104,0.07237949772425456,2.583563246445035,512.0,0.0,0.0,115389.0,0.0869140625,0.0,0.0,,0.0,
0.0005,0.75,fr_estimated,20,20,0.028935765680249376,0.005640783319100048,0.0007674342674211166,0.09938247838047201,2.1443573029615792,115.5,0.0089786376953125,0.1844306879602064,122327.5,0.09765625,-22.09404871436191,-25.840448850348015,0.1,16.911282282205867,0.85
