cell,kind,n_criteria_fired,verdict,norm_final_l2_F,final_quarter_decrease,c1_normL2_gt_5pct,c2_error_plateau,c3_low_support_20pct,c4_missing_roundtrips,c5_conditional_biased,c3_missing_basins,c4_basin_occ_tv_hi,c5_missing_roundtrips
dist_pentane_b1_trans,dist,1,intermediate,,,False,False,False,False,True,,,
joint2d_pentane_b1_dispersed,joint2d,1,intermediate,,,False,False,,,,False,True,False
