kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,dist_cond_tv_weighted,dist_cond_kl_weighted,dist_cond_basin_err_weighted,dist_cond_support_fraction,cell,F_range_thermal,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_application,final_neff_frac,final_n_kernels,final_l2_F_reweight,final_l2_F_eqw,meanforce_vec_err,basin_occupancy_tv,n_basins_visited,gram_lam_min_min,curl_pre_final,cond_tv_weighted,cond_kl_weighted,cond_basin_err_weighted,cond_support_fraction
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__abf__dispersed__b1__N128__T1200__ns2__ba56159fa2c0,23.597745277918875,0,0.6478215601120153,0.6660408564680551,,,0.8735498115596768,0.6686892477435191,,,4881,972,,,,0,,,,,,,,,,joint2d_pentane_b1_dispersed,,,,,,,,,0.5445594961045889,2.668132687534849,0.1623434812271875,9.0,1.9559676253517475,7.667273179107728,0.3680736737270982,0.702797538279595,0.13668591212171602,1.0
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__abf__dispersed__b1__N128__T1200__ns2__ba56159fa2c0,23.597745277918875,1,0.6649250081336067,0.6674646815556979,,,0.8773115990165038,0.6666272488595705,,,4906,1059,,,,0,,,,,,,,,,joint2d_pentane_b1_dispersed,,,,,,,,,0.5419151519410346,2.6324463883745928,0.17866097498499012,9.0,1.9147864458219392,9.81768889663868,0.4093697185358692,0.8584904702012541,0.14324164975820944,1.0
joint2d,pentane,fr_estimated,fr_estimated,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__fr_estimated__dispersed__b1__N128__T1200__ns2__a6ae749be682,21.61252727266401,0,0.6502360488133169,0.6661615809031202,,,0.8735498115596768,0.6686892477435191,,,4886,965,,,,2,124.12121212121212,124.12121212121212,0.015625,,,,,,,joint2d_pentane_b1_dispersed,,0.00012913223140495868,0.000390625,121.0,0.01652892561983471,,,,0.5485571913825236,2.667158074551038,0.1654548264206956,9.0,1.9559676253517475,7.669649757626926,0.3678423791013068,0.7048512200932481,0.13940693652526404,1.0
joint2d,pentane,fr_estimated,fr_estimated,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__fr_estimated__dispersed__b1__N128__T1200__ns2__a6ae749be682,21.61252727266401,1,0.6663218811425318,0.6675345252061442,,,0.8773115990165038,0.6666272488595705,,,4910,1055,,,,1,126.03076923076924,126.03076923076924,0.015625,,,,,,,joint2d_pentane_b1_dispersed,,6.456611570247934e-05,0.0001953125,121.0,0.008264462809917356,,,,0.5448185437390093,2.6328376332072274,0.17949001680771168,9.0,1.9147864458219392,9.817788206988384,0.4094137557575448,0.8587364520677319,0.1437561271231066,1.0
joint2d,pentane,fr_oracle,fr_oracle,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__fr_oracle__dispersed__b1__N128__T1200__ns2__fa410a80ad0b,21.743301666341722,0,0.6478215601120153,0.6660408564680551,,,0.8735498115596768,0.6686892477435191,,,4881,972,,,,0,128.0,128.0,0.0078125,,,,,,,joint2d_pentane_b1_dispersed,,0.0,0.0,121.0,0.0,,,,0.5445594961045889,2.668132687534849,0.1623434812271875,9.0,1.9559676253517475,7.667273179107728,0.3680736737270982,0.702797538279595,0.13668591212171602,1.0
joint2d,pentane,fr_oracle,fr_oracle,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__fr_oracle__dispersed__b1__N128__T1200__ns2__fa410a80ad0b,21.743301666341722,1,0.6649250081336067,0.6674646815556979,,,0.8773115990165038,0.6666272488595705,,,4906,1059,,,,0,128.0,128.0,0.0078125,,,,,,,joint2d_pentane_b1_dispersed,,0.0,0.0,121.0,0.0,,,,0.5419151519410346,2.6324463883745928,0.17866097498499012,9.0,1.9147864458219392,9.81768889663868,0.4093697185358692,0.8584904702012541,0.14324164975820944,1.0
joint2d,pentane,fr_uniform,fr_uniform,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__fr_uniform__dispersed__b1__N128__T1200__ns2__1f57f9cf869c,21.72997083235532,0,0.6502360488133169,0.6661615809031202,,,0.8735498115596768,0.6686892477435191,,,4886,965,,,,2,124.12121212121212,124.12121212121212,0.015625,,,,,,,joint2d_pentane_b1_dispersed,,0.00012913223140495868,0.000390625,121.0,0.01652892561983471,,,,0.5485571913825236,2.667158074551038,0.1654548264206956,9.0,1.9559676253517475,7.669649757626926,0.3678423791013068,0.7048512200932481,0.13940693652526404,1.0
joint2d,pentane,fr_uniform,fr_uniform,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__fr_uniform__dispersed__b1__N128__T1200__ns2__1f57f9cf869c,21.72997083235532,1,0.6663218811425318,0.6675345252061442,,,0.8773115990165038,0.6666272488595705,,,4910,1055,,,,1,126.03076923076924,126.03076923076924,0.015625,,,,,,,joint2d_pentane_b1_dispersed,,6.456611570247934e-05,0.0001953125,121.0,0.008264462809917356,,,,0.5448185437390093,2.6328376332072274,0.17949001680771168,9.0,1.9147864458219392,9.817788206988384,0.4094137557575448,0.8587364520677319,0.1437561271231066,1.0
joint2d,pentane,opes,opes,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__opes__dispersed__b1__N128__T1200__ns2__274796e149f1,20.662547600455582,0,0.9073829854515102,0.7429027600173215,,,0.96623513420601,0.9093303951503929,,,2843,0,,,,0,,,,,,,,,,joint2d_pentane_b1_dispersed,,,,,,0.6472872847923974,539.0,1.2304800321465788,0.6733207602032285,3.1049138398929155,0.171538957862847,9.0,,,0.2751271651773042,0.3495819064744864,0.19222020578454224,1.0
joint2d,pentane,opes,opes,dispersed,1.0,2.3,False,smoke,1200,128,smoke__joint2d__pentane__opes__dispersed__b1__N128__T1200__ns2__274796e149f1,20.662547600455582,1,1.0409702700582713,1.0738828922819066,,,1.9226861400365987,1.3961190613023922,,,2498,0,,,,0,,,,,,,,,,joint2d_pentane_b1_dispersed,,,,,,0.7119175016822563,528.0,1.2126036209486502,0.5184049859734973,3.2769670485465756,0.18200743871036762,9.0,,,0.25858787097473207,0.33076437558179184,0.1642461969281615,1.0
