cell,name,final_l2_F,integrated_l2_F,n_transitions,n_round_trips,final_ancestor_ess,fr_event_fraction,n_basins_visited,basin_occupancy_tv,cond_tv_weighted,dist_cond_tv_weighted,low_support_fraction,final_neff_frac
dist_pentane_b1_trans,abf,4.926438902718729,3.775320688143629,7856.5,8.0,,,,,,0.32380546484165157,0.0,
dist_pentane_b1_trans,fr_estimated,4.932245756858748,3.776046544911132,7824.5,8.5,123.25067873303168,8.632596685082873e-05,,,,0.32390047111593917,0.0,
dist_pentane_b1_trans,fr_oracle,4.929684149478977,3.7757263439886604,7833.5,9.0,124.14971297359358,8.632596685082873e-05,,,,0.32370272318556437,0.0,
dist_pentane_b1_trans,fr_uniform,4.929684149478977,3.7757263439886604,7833.5,9.0,124.14971297359358,8.632596685082873e-05,,,,0.32370272318556437,0.0,
dist_pentane_b1_trans,opes,2.6970474905356245,2.4872747590314725,1434.0,0.0,,,,,,0.22939973001819647,0.3131868131868132,0.9465649222221459
joint2d_pentane_b1_dispersed,abf,0.6563732841228109,0.6667527690118765,4893.5,1015.5,,,9.0,0.1705022281060888,0.38872169613148366,,,
joint2d_pentane_b1_dispersed,fr_estimated,0.6582789649779244,0.6668480530546321,4898.0,1010.0,125.07599067599068,9.684917355371901e-05,9.0,0.17247242161420362,0.3886280674294258,,,
joint2d_pentane_b1_dispersed,fr_oracle,0.6563732841228109,0.6667527690118765,4893.5,1015.5,128.0,0.0,9.0,0.1705022281060888,0.38872169613148366,,,
joint2d_pentane_b1_dispersed,fr_uniform,0.6582789649779244,0.6668480530546321,4898.0,1010.0,125.07599067599068,9.684917355371901e-05,9.0,0.17247242161420362,0.3886280674294258,,,
joint2d_pentane_b1_dispersed,opes,0.9741766277548907,0.908392826149614,2670.5,0.0,,,9.0,0.1767731982866073,0.2668575180760181,,,0.6796023932373269
