cell,kind,molecule,beta,init_mode,name,method,final_l2_F_med,integrated_l2_F_med,final_l2_Fp_med,integrated_l2_Fp_med,early_l2_F_med,mid_l2_F_med,low_support_fraction_med,median_support_med,n_transitions_med,n_round_trips_med,fd_compact_med,fd_intermediate_med,fd_extended_med,total_replacements_med,final_ancestor_ess_med,min_ancestor_ess_med,final_max_ancestor_frac_med,final_frac_compact_med,final_frac_extended_med,dist_cond_tv_weighted_med,dist_cond_kl_weighted_med,dist_cond_basin_err_weighted_med,dist_cond_support_fraction_med,fr_event_fraction_med,max_fr_event_fraction_med,n_fr_applications_med,deaths_per_application_med,final_neff_frac_med,final_n_kernels_med,final_l2_F_reweight_med,final_l2_F_eqw_med,meanforce_vec_err_med,basin_occupancy_tv_med,n_basins_visited_med,gram_lam_min_min_med,curl_pre_final_med,cond_tv_weighted_med,cond_kl_weighted_med,cond_basin_err_weighted_med,cond_support_fraction_med,n_seeds
dist_pentane_b1_trans,dist,pentane,1.0,trans,abf,abf,4.926438902718729,3.775320688143629,14.75357661486831,12.172692427253333,5.956291630378983,5.427537395987276,0.0,10154.623154462388,7856.5,8.0,307.0,77.0,0.0,0.0,,,,0.22265625,0.171875,0.32380546484165157,3.199465111713943,0.25540916531071695,0.8,,,,,,,,,,,,,,,,,,2
dist_pentane_b1_trans,dist,pentane,1.0,trans,fr_estimated,fr_estimated,4.932245756858748,3.776046544911132,14.767716432433897,12.17445990444903,5.956291630378983,5.427537395987276,0.0,10154.933638472256,7824.5,8.5,307.0,77.0,0.0,2.0,123.25067873303168,123.25067873303168,0.01953125,0.2265625,0.17578125,0.32390047111593917,3.2066613552421392,0.25546350600616324,0.8,8.632596685082873e-05,0.00015625,181.0,0.011049723756906077,,,,,,,,,,,,,,2
dist_pentane_b1_trans,dist,pentane,1.0,trans,fr_oracle,fr_oracle,4.929684149478977,3.7757263439886604,14.758854125418104,12.173352116072056,5.956291630378983,5.427537395987276,0.0,10173.104650869951,7833.5,9.0,307.0,77.0,0.0,2.0,124.14971297359358,124.14971297359358,0.015625,0.2265625,0.17578125,0.32370272318556437,3.200769078083302,0.2561120829438778,0.8,8.632596685082873e-05,0.00015625,181.0,0.011049723756906077,,,,,,,,,,,,,,2
dist_pentane_b1_trans,dist,pentane,1.0,trans,fr_uniform,fr_uniform,4.929684149478977,3.7757263439886604,14.758854125418104,12.173352116072056,5.956291630378983,5.427537395987276,0.0,10173.104650869951,7833.5,9.0,307.0,77.0,0.0,2.0,124.14971297359358,124.14971297359358,0.015625,0.2265625,0.17578125,0.32370272318556437,3.200769078083302,0.2561120829438778,0.8,8.632596685082873e-05,0.00015625,181.0,0.011049723756906077,,,,,,,,,,,,,,2
dist_pentane_b1_trans,dist,pentane,1.0,trans,opes,opes,2.6970474905356245,2.4872747590314725,9.28796029881989,9.917857064967079,4.34951833110731,2.9951846339769377,0.3131868131868132,2496.463750584317,1434.0,0.0,-1.0,-1.0,-1.0,0.0,,,,0.0,0.859375,0.22939973001819647,0.7517468306616766,0.18685510107961228,0.8,,,,,0.9465649222221459,97.5,2.258850697536385,,,,,,,,,,,2
joint2d_pentane_b1_dispersed,joint2d,pentane,1.0,dispersed,abf,abf,0.6563732841228109,0.6667527690118765,,,0.8754307052880903,0.6676582483015447,,,4893.5,1015.5,,,,0.0,,,,,,,,,,,,,,,,,0.5432373240228117,2.6502895379547207,0.1705022281060888,9.0,1.9353770355868434,8.742481037873205,0.38872169613148366,0.7806440042404246,0.13996378093996273,1.0,2
joint2d_pentane_b1_dispersed,joint2d,pentane,1.0,dispersed,fr_estimated,fr_estimated,0.6582789649779244,0.6668480530546321,,,0.8754307052880903,0.6676582483015447,,,4898.0,1010.0,,,,1.5,125.07599067599068,125.07599067599068,0.015625,,,,,,,9.684917355371901e-05,0.00029296875000000004,121.0,0.012396694214876033,,,,0.5466878675607665,2.6499978538791327,0.17247242161420362,9.0,1.9353770355868434,8.743718982307655,0.3886280674294258,0.7817938360804899,0.1415815318241853,1.0,2
joint2d_pentane_b1_dispersed,joint2d,pentane,1.0,dispersed,fr_oracle,fr_oracle,0.6563732841228109,0.6667527690118765,,,0.8754307052880903,0.6676582483015447,,,4893.5,1015.5,,,,0.0,128.0,128.0,0.0078125,,,,,,,0.0,0.0,121.0,0.0,,,,0.5432373240228117,2.6502895379547207,0.1705022281060888,9.0,1.9353770355868434,8.742481037873205,0.38872169613148366,0.7806440042404246,0.13996378093996273,1.0,2
joint2d_pentane_b1_dispersed,joint2d,pentane,1.0,dispersed,fr_uniform,fr_uniform,0.6582789649779244,0.6668480530546321,,,0.8754307052880903,0.6676582483015447,,,4898.0,1010.0,,,,1.5,125.07599067599068,125.07599067599068,0.015625,,,,,,,9.684917355371901e-05,0.00029296875000000004,121.0,0.012396694214876033,,,,0.5466878675607665,2.6499978538791327,0.17247242161420362,9.0,1.9353770355868434,8.743718982307655,0.3886280674294258,0.7817938360804899,0.1415815318241853,1.0,2
joint2d_pentane_b1_dispersed,joint2d,pentane,1.0,dispersed,opes,opes,0.9741766277548907,0.908392826149614,,,1.4444606371213045,1.1527247282263926,,,2670.5,0.0,,,,0.0,,,,,,,,,,,,,,0.6796023932373269,533.5,1.2215418265476146,0.5958628730883628,3.1909404442197458,0.1767731982866073,9.0,,,0.2668575180760181,0.3401731410281391,0.17823320135635187,1.0,2
