step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,chi2,row,seed,hold_max,n_clones,cooldown_until
11000,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,5.003737549610414,10,5210,,,
11000,A4b,0.14172210562734994,32,True,0.5479821256385481,0.0,48,128.0,False,,5.200602871779343,11,5211,24.0,48.0,11024.0
11000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,8.129566942719116,12,5212,,,
11000,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,4.271702938638422,13,5213,,,
11000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,6.928795672277439,14,5214,,,
11000,A4b,0.12783280274743625,32,True,0.5751041567698175,0.0,50,168.0,False,,5.433495228862111,15,5215,17.0,50.0,11017.0
11500,A4b,0.21595664823444946,32,True,0.4547502445573409,0.0,41,92.0,False,,3.9081868971671603,0,5200,25.0,41.0,11525.0
11500,A4b,0.20661741869717207,32,True,0.6805258415362949,0.0,53,230.0,False,,5.404817057942058,1,5201,41.0,53.0,11541.0
11500,A4b,0.20990653533780762,32,True,0.7226389710163567,0.0,53,286.0,False,,5.106085102960103,2,5202,30.0,53.0,11530.0
11500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,5.057535398289832,3,5203,,,
11500,A4b,0.21958193831932094,32,True,0.6481058049280358,0.0,54,214.0,False,,6.145825358851675,4,5204,79.0,54.0,11579.0
11500,A4b,0.25057120868917016,32,True,0.589120448705511,0.0,48,162.0,False,,4.703770968614719,5,5205,27.0,48.0,11527.0
11500,A4b,0.16787583931037023,32,True,0.5816588981957405,0.0,52,162.0,False,,5.41170738260582,6,5206,22.0,52.0,11522.0
11500,A4b,0.22868673589828845,32,True,0.5710028761960662,0.0,47,136.0,False,,4.3531079805927675,7,5207,28.0,47.0,11528.0
11500,A4b,0.19628532415842181,32,True,0.6444269732401731,0.0,50,204.0,False,,5.493130072541837,8,5208,21.0,50.0,11521.0
11500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,5.039160018202888,9,5209,,,
11500,A4b,0.22052211996011908,32,True,0.5825303876628887,0.0,48,148.0,False,,4.876229275218246,10,5210,27.0,48.0,11527.0
11500,A4b,0.0927410760001901,32,True,0.5312706205987751,0.0,39,120.0,False,,3.5536896293070077,11,5211,33.0,39.0,11533.0
11500,A4b,0.11343887358568043,32,True,0.68605620897178,0.0,49,228.0,False,,5.02966652474454,12,5212,18.0,49.0,11518.0
11500,A4b,0.16484983428724495,32,True,0.6506916598404009,0.0,50,216.0,False,,5.547627613758128,13,5213,29.0,50.0,11529.0
11500,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,6.673992445463033,14,5214,,,
11500,A4b,0.19371978104810292,32,True,0.5377882984743222,0.0,48,136.0,False,,4.415568736590529,15,5215,22.0,48.0,11522.0
12000,A4b,0.21499087388373406,32,True,0.47975062404785573,0.0,42,100.0,False,,4.284906429677134,0,5200,32.0,42.0,12032.0
12000,A4b,0.0,31,True,0.6195241859712765,0.0,56,188.0,False,,5.973775512485188,1,5201,40.0,56.0,12040.0
12000,A4b,0.17870197904014806,32,True,0.625363831426186,0.0,48,188.0,False,,5.027112809951916,2,5202,31.0,48.0,12031.0
12000,A4b,0.0,31,True,0.4613339030094238,0.0,40,98.0,False,,3.895398687334171,3,5203,30.0,40.0,12030.0
