stage,method,physics_tag,beta,h,M,seed,n_steps,t,l2_f,l2_fp,repl_cumulative,frac_compact,frac_transition,frac_stretched,ancestor_ess,max_ancestor_frac
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,0.0,0.7004342865759184,4.660075138587612,0.0,1.0,0.0,0.0,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,5.0,0.8602951986551755,2.3679460131176873,0.0,0.5107421875,0.2431640625,0.24609375,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,10.0,0.4939006701091191,1.3813005540174028,0.0,0.310546875,0.2392578125,0.4501953125,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,15.0,0.3166430983140702,0.9311114885355534,0.0,0.1982421875,0.27734375,0.5244140625,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,20.0,0.7992516917108257,7.220609215565246,0.0,0.1474609375,0.31640625,0.5361328125,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,25.0,0.2649007383801208,0.7771397728861488,0.0,0.150390625,0.330078125,0.51953125,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,30.0,0.22447352349129465,0.6545540702737707,0.0,0.212890625,0.2880859375,0.4990234375,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,35.0,0.21573961221842883,0.6342651106672026,0.0,0.212890625,0.3369140625,0.4501953125,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,40.0,0.19841126797894326,0.5782844600992132,0.0,0.23046875,0.294921875,0.474609375,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,45.0,0.17826285278845416,0.5335092655681979,0.0,0.2177734375,0.3154296875,0.466796875,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,50.0,0.16779666115358988,0.5039685047014905,0.0,0.2119140625,0.3349609375,0.453125,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,55.0,0.16610485027894,0.5179729469396714,0.0,0.2685546875,0.3154296875,0.416015625,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,60.0,0.1489775177542763,0.469976574036135,0.0,0.2431640625,0.3193359375,0.4375,nan,nan
pilot,abf,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,120000,65.0,0.1439432946523661,0.47080978639695725,0.0,0.248046875,0.3310546875,0.4208984375,nan,nan
