run_id,stage,name,method,seed,n_steps,n_replicas,beta,h,w,n_dim,M,a,beta_h,physics_tag,fr_rate,target_ema_rate,max_event_fraction,fr_every,fr_start_steps,score_clip,config_hash,core_version,had_nan,device,cuda_visible_devices,total_replacement_events,l2_f,l2_fp,integrated_l2_f,l2_f_compact,l2_f_transition,l2_f_stretched,l2_fp_compact,l2_fp_transition,l2_fp_stretched,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_fr_application,clones_per_fr_application,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,runtime_seconds,wall_seconds
pilot__abf__b1_h4_w2_n10_a1.5__seed2__N1024__T120000__f606d757f67e,pilot,abf,abf,2,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,b1_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.09669753473370449,0.34334185472203266,46.305938278565094,0.1359478066594932,0.04411453655642016,0.10422606616961237,0.42681133294423496,0.3787281865516037,0.12534997905139733,0.129829318642012,nan,0.7728569817517206,776638,776044,1552682,776044,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.2771722637117,243.2805818337947
pilot__abf__b1_h4_w2_n10_a1.5__seed3__N1024__T120000__0610dbd1f18c,pilot,abf,abf,3,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,b1_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.08960183024373151,0.3173010547829868,45.577303409021894,0.12473303529863368,0.043236035728552856,0.09663730711096395,0.3843383797435142,0.36284543695659627,0.1073641211588982,0.13916205298044404,nan,0.7460635957730386,784616,784003,1568619,784003,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,244.31837079580873,244.32172539830208
pilot__abf__b2_h1_w2_n10_a1.5__seed0__N1024__T120000__c9b07e8c0935,pilot,abf,abf,0,120000,1024,2.0,1.0,2.0,10,100,1.5,2.0,b2_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.015272472811953056,0.07940846628971539,14.478446605038206,0.023143092895124073,0.007729337816775485,0.013537470500218838,0.11740186701388512,0.06624063159034684,0.02556844939547056,0.0849120601590115,nan,0.5184443862035412,503467,502902,1006369,502902,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.44676097016782,243.45018776040524
pilot__abf__b2_h1_w2_n10_a1.5__seed1__N1024__T120000__aca9d98ed52e,pilot,abf,abf,1,120000,1024,2.0,1.0,2.0,10,100,1.5,2.0,b2_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.014313765766867296,0.06862023795419359,12.760924187225829,0.020250490487432868,0.004045088413228734,0.01652398995382244,0.09659094336857145,0.05253454045500682,0.04925917437432873,0.08751865600925637,nan,0.5469842822091725,511025,510477,1021502,510477,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.59834383055568,243.6016626022756
pilot__abf__b2_h1_w2_n10_a1.5__seed2__N1024__T120000__1d80a5fce8d0,pilot,abf,abf,2,120000,1024,2.0,1.0,2.0,10,100,1.5,2.0,b2_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.010614330243044829,0.06948876690080001,13.587076870094037,0.016551193059363745,0.006451184088537675,0.00750362992985575,0.10628511786950647,0.05277437875963299,0.025804125796728715,0.11028454471058485,nan,0.4971223144075292,513897,513342,1027239,513342,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.30027082003653,243.30373652186245
pilot__abf__b2_h1_w2_n10_a1.5__seed3__N1024__T120000__8a131a98f8b2,pilot,abf,abf,3,120000,1024,2.0,1.0,2.0,10,100,1.5,2.0,b2_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.013013400652202512,0.07139564835116714,14.089331303663752,0.019870876717903264,0.0066299102137388445,0.011177183416414164,0.10771079362055568,0.058002214205418776,0.0161892639257608,0.09092115834226062,nan,0.5242740548639291,506902,506333,1013235,506333,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.471384068951,243.47470016870648
pilot__abf__b2_h2_w2_n10_a1.5__seed0__N1024__T120000__73d2aa7cf6fa,pilot,abf,abf,0,120000,1024,2.0,2.0,2.0,10,100,1.5,4.0,b2_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.013092341643792246,0.06850418403919586,15.274127205591796,0.01759739921511139,0.0028404747179059044,0.016426808075384033,0.09110740350522609,0.051781703103082534,0.05780098892000438,0.05538722410548037,nan,0.8374401554863161,502801,502263,1005064,502263,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,244.09190895035863,244.09533010981977
pilot__abf__b2_h2_w2_n10_a1.5__seed1__N1024__T120000__0b1293945b0a,pilot,abf,abf,1,120000,1024,2.0,2.0,2.0,10,100,1.5,4.0,b2_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.007750780299828702,0.05984101421622183,14.537014573108888,0.010215759235083803,0.001502147465452462,0.009994728294323832,0.08175096400551309,0.03488673716147299,0.06000659548861689,0.07539777450853924,nan,0.8095539084714997,502902,502355,1005257,502355,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.7376224892214,243.7409652294591
pilot__abf__b2_h2_w2_n10_a1.5__seed2__N1024__T120000__985f9440406f,pilot,abf,abf,2,120000,1024,2.0,2.0,2.0,10,100,1.5,4.0,b2_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.013237556370633403,0.061458166628182286,13.73153138988361,0.01701404420770197,0.004547572743076038,0.016843239729235664,0.07378561155631581,0.05358097879304861,0.05644205155542569,0.1028270722309573,nan,0.8041892512716597,495198,494629,989827,494629,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,241.50328769069165,241.50666855089366
pilot__abf__b2_h2_w2_n10_a1.5__seed3__N1024__T120000__2540c87f9158,pilot,abf,abf,3,120000,1024,2.0,2.0,2.0,10,100,1.5,4.0,b2_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.012526727806548931,0.0737459423714346,15.424599815661342,0.016954341442125192,0.0038669309335566063,0.015214629305471333,0.09421240683167076,0.055218386580078466,0.06807865408697619,0.10857774097383034,nan,0.8007910852153584,499764,499202,998966,499202,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.41213014815003,243.415487379767
