stage,method,physics_tag,beta,h,M,seed,n_replicas,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,ess_fraction
pilot,fr_estimated,b4_h4_w2_n10_a1.5,4.0,4.0,100,0,1024,144.03516483516484,142.93565976008725,256,0.0185546875,0.0224609375,0.14065934065934066
pilot,fr_estimated,b4_h4_w2_n10_a1.5,4.0,4.0,100,1,1024,158.92331009396787,157.6806015037594,299,0.0185546875,0.0205078125,0.1551985450136405
pilot,fr_estimated,b4_h4_w2_n10_a1.5,4.0,4.0,100,2,1024,147.5205402363534,147.5205402363534,285,0.025390625,0.025390625,0.14406302757456388
pilot,fr_estimated,b4_h4_w2_n10_a1.5,4.0,4.0,100,3,1024,162.2680284741566,162.2680284741566,301,0.017578125,0.01953125,0.15846487155679356
pilot,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,1024,160.82453987730062,160.82453987730062,283,0.0205078125,0.021484375,0.1570552147239264
pilot,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,1,1024,156.6441589483119,156.6441589483119,282,0.021484375,0.021484375,0.15297281147296085
pilot,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,2,1024,156.3638532657322,156.3638532657322,271,0.01953125,0.01953125,0.1526990754548166
pilot,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,1024,155.4367032315446,155.4367032315446,279,0.0166015625,0.01953125,0.15179365549955529
pilot,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,1024,175.87655149278766,175.87655149278766,313,0.0205078125,0.0205078125,0.17175444481717544
pilot,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,1024,182.10767627648488,182.10767627648488,299,0.013671875,0.01953125,0.17783952761375477
pilot,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,1024,183.76726253066948,183.76726253066948,304,0.0166015625,0.0166015625,0.17946021731510692
pilot,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,1024,203.84447900466563,203.84447900466563,317,0.0126953125,0.0185546875,0.19906687402799378
pilot,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1024,190.09717186366933,190.09717186366933,322,0.021484375,0.021484375,0.18564176939811458
pilot,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,1024,180.85132804415315,180.85132804415315,316,0.015625,0.017578125,0.1766126250431183
pilot,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1024,190.8583909719694,190.8583909719694,315,0.017578125,0.017578125,0.18638514743356388
pilot,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,1024,192.75294117647059,192.75294117647059,323,0.0166015625,0.0166015625,0.18823529411764706
pilot,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1024,244.65142323845077,244.65142323845077,383,0.013671875,0.013671875,0.23891740550629958
pilot,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1024,210.98108651911468,210.98108651911468,373,0.0166015625,0.0166015625,0.20603621730382293
pilot,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1024,216.20123711340207,216.20123711340207,359,0.013671875,0.013671875,0.2111340206185567
pilot,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1024,219.27561689669594,219.27561689669594,366,0.0126953125,0.01953125,0.21413634462567963
pilot,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1024,222.34435962680237,222.34435962680237,369,0.0185546875,0.0185546875,0.2171331636980492
pilot,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,1,1024,234.4758497316637,234.4758497316637,384,0.017578125,0.017578125,0.22898032200357782
pilot,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,2,1024,242.38927415626443,242.38927415626443,378,0.0126953125,0.0126953125,0.236708275543227
pilot,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,3,1024,227.06279774794282,227.06279774794282,378,0.0126953125,0.0146484375,0.22174101342572541
pilot,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,0,1024,206.98302408211606,206.98302408211606,371,0.01953125,0.0205078125,0.20213185945519146
