stage,physics_tag,method,n_steps,n_replicas,beta,h,M,beta_h,n_pairs,n_wins,win_rate,R_final_median,R_integrated_median,median_gain_pct_F,mean_gain_pct_F,median_gain_pct_intF
pilot,b1_h1_w2_n10_a1.5,fr_estimated,120000,1024,1.0,1.0,100,1.0,4,4,1.0,1.873219363378595,1.4274647539912433,46.59997022570994,45.54880008292294,29.7478456331066
pilot,b1_h1_w2_n10_a1.5,fr_uniform,120000,1024,1.0,1.0,100,1.0,4,4,1.0,1.9834450079550898,1.4128681988523035,49.13776481536691,46.88873175632794,29.212732886636573
pilot,b1_h2_w2_n10_a1.5,fr_estimated,120000,1024,1.0,2.0,100,2.0,4,4,1.0,2.1403579689441625,1.2629926386983001,52.42778309623951,51.73535143737753,20.047029327114394
pilot,b1_h2_w2_n10_a1.5,fr_uniform,120000,1024,1.0,2.0,100,2.0,4,4,1.0,2.131612678320957,1.2935843943156706,53.08439006904979,52.83965628185243,22.673997605714142
pilot,b1_h4_w2_n10_a1.5,fr_estimated,120000,1024,1.0,4.0,100,4.0,4,4,1.0,1.989456225868358,1.1669912051724594,49.59042215900391,50.24540447231061,14.221483981998766
pilot,b1_h4_w2_n10_a1.5,fr_uniform,120000,1024,1.0,4.0,100,4.0,4,4,1.0,1.8865952673114026,1.2321728490944945,46.993387031685266,47.2575257523258,18.57962840234472
pilot,b2_h1_w2_n10_a1.5,fr_estimated,120000,1024,2.0,1.0,100,2.0,4,1,0.25,0.8029178134756774,1.1725833812463988,-26.013807756617897,-24.936864282450443,14.716820792290433
pilot,b2_h1_w2_n10_a1.5,fr_uniform,120000,1024,2.0,1.0,100,2.0,4,1,0.25,0.791184782477435,1.099414588418749,-27.100987474183306,-17.658234961003373,8.862728521290716
pilot,b2_h2_w2_n10_a1.5,fr_estimated,120000,1024,2.0,2.0,100,4.0,4,1,0.25,0.8108441736265,0.9796477050549774,-23.40698549901357,-23.486409183001683,-2.1944258795488003
pilot,b2_h2_w2_n10_a1.5,fr_uniform,120000,1024,2.0,2.0,100,4.0,4,0,0.0,0.8188774556398027,1.0224118658908652,-23.35013804294004,-24.211130063816864,2.139920949616564
pilot,b2_h4_w2_n10_a1.5,fr_estimated,120000,1024,2.0,4.0,100,8.0,4,0,0.0,0.5777747812838181,0.9015047559917627,-73.07901310488701,-73.03883701461572,-11.247905313787117
pilot,b2_h4_w2_n10_a1.5,fr_uniform,120000,1024,2.0,4.0,100,8.0,4,0,0.0,0.5764412399142476,0.9107210836230785,-74.62122027040712,-76.57326945055799,-10.023561707963522
pilot,b4_h1_w2_n10_a1.5,fr_estimated,120000,1024,4.0,1.0,100,4.0,4,0,0.0,0.16126809334611972,0.7646340526915467,-526.5099729858794,-486.7078601645304,-30.78894527383126
pilot,b4_h1_w2_n10_a1.5,fr_uniform,120000,1024,4.0,1.0,100,4.0,4,0,0.0,0.17853211295586296,0.7327579356707583,-460.96852875990623,-484.7024609943871,-36.47113343110074
pilot,b4_h2_w2_n10_a1.5,fr_estimated,120000,1024,4.0,2.0,100,8.0,4,0,0.0,0.29175255435240255,0.7797056086490513,-243.53200493389033,-262.7978492073404,-28.289671662771916
pilot,b4_h2_w2_n10_a1.5,fr_uniform,120000,1024,4.0,2.0,100,8.0,4,0,0.0,0.28617388771218905,0.8041978173025932,-250.18421856098342,-264.27548159079277,-24.347648549969783
pilot,b4_h4_w2_n10_a1.5,fr_estimated,120000,1024,4.0,4.0,100,16.0,4,0,0.0,0.3978961626599895,0.8991914385702473,-151.3425235671815,-152.54783287323443,-11.21343242992451
pilot,b4_h4_w2_n10_a1.5,fr_uniform,120000,1024,4.0,4.0,100,16.0,4,0,0.0,0.3707380799023344,0.8950937200014575,-169.73277061866747,-173.44344969813193,-11.722904228349659
