stage,method,physics_tag,beta,h,M,seed,total_replacement_events,n_fr_applications,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,clones_per_fr_application
pilot,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,2,2463,20001,0.00012025765899205039,0.0001640625,0.1231438428078596,0.1231438428078596
pilot,fr_uniform,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,2396,20001,0.00011698633818309085,0.00016796875,0.11979401029948503,0.11979401029948503
pilot,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,2244,20001,0.00010956483425828708,0.000140625,0.11219439028048597,0.11219439028048597
pilot,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,2174,20001,0.0001061470363981801,0.000146484375,0.10869456527173642,0.10869456527173642
pilot,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,2138,20001,0.00010438931178441078,0.0009765625,0.10689465526723664,0.10689465526723664
pilot,fr_uniform,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,2134,20001,0.00010419400904954753,0.000142578125,0.10669466526673667,0.10669466526673667
pilot,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1960,20001,9.569834008299585e-05,0.0001328125,0.09799510024498775,0.09799510024498775
pilot,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,2000,20001,9.765136743162842e-05,0.000130859375,0.0999950002499875,0.0999950002499875
pilot,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1963,20001,9.58448171341433e-05,0.000119140625,0.09814509274536273,0.09814509274536273
pilot,fr_uniform,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,1885,20001,9.203641380430979e-05,0.000125,0.09424528773561322,0.09424528773561322
pilot,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1640,20001,8.00741212939353e-05,0.00014453125,0.08199590020498974,0.08199590020498974
pilot,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1664,20001,8.124593770311485e-05,0.000140625,0.0831958402079896,0.0831958402079896
pilot,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1690,20001,8.251540547972601e-05,0.0001328125,0.08449577521123944,0.08449577521123944
pilot,fr_uniform,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1685,20001,8.227127706114695e-05,0.00018359375,0.08424578771061447,0.08424578771061447
pilot,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1552,20001,7.577746112694365e-05,0.000125,0.0775961201939903,0.0775961201939903
pilot,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,1,1564,20001,7.636336933153343e-05,0.000181640625,0.07819609019549023,0.07819609019549023
pilot,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,2,1530,20001,7.470329608519574e-05,0.000185546875,0.07649617519124044,0.07649617519124044
pilot,fr_uniform,b2_h2_w2_n10_a1.5,2.0,2.0,100,3,1596,20001,7.792579121043947e-05,0.000146484375,0.07979601019949002,0.07979601019949002
pilot,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,0,1536,20001,7.499625018749062e-05,0.000169921875,0.0767961601919904,0.0767961601919904
pilot,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,1,1477,20001,7.211553484825758e-05,0.000177734375,0.07384630768461577,0.07384630768461577
pilot,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,2,1577,20001,7.6998103219839e-05,0.0001328125,0.07884605769711514,0.07884605769711514
pilot,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,3,1559,20001,7.611924091295435e-05,0.000162109375,0.07794610269486525,0.07794610269486525
pilot,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,0,1504,20001,7.343382830858458e-05,0.000142578125,0.0751962401879906,0.0751962401879906
pilot,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,1,1481,20001,7.231083758312084e-05,0.000146484375,0.07404629768511574,0.07404629768511574
pilot,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,2,1466,20001,7.157845232738364e-05,0.000125,0.07329633518324084,0.07329633518324084
pilot,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,3,1504,20001,7.343382830858458e-05,0.000169921875,0.0751962401879906,0.0751962401879906
pilot,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,0,1548,20001,7.55821583920804e-05,0.0001796875,0.07739613019349033,0.07739613019349033
pilot,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,1,1604,20001,7.8316396680166e-05,0.000154296875,0.08019599020048998,0.08019599020048998
pilot,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,2,1492,20001,7.28479201039948e-05,0.0001328125,0.07459627018649068,0.07459627018649068
pilot,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,3,1595,20001,7.787696552672366e-05,0.0009765625,0.07974601269936503,0.07974601269936503
pilot,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,0,1848,20001,9.022986350682466e-05,0.000208984375,0.09239538023098845,0.09239538023098845
pilot,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,1,1920,20001,9.374531273436329e-05,0.000197265625,0.095995200239988,0.095995200239988
pilot,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,2,1931,20001,9.428239525523723e-05,0.0009765625,0.09654517274136293,0.09654517274136293
pilot,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,3,1789,20001,8.734914816759162e-05,0.000197265625,0.08944552772361382,0.08944552772361382
