step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,chi2,hold_max,n_clones,cooldown_until,row,seed
10000,A4b,0.0,31,True,0.6666621874972589,0.0,66,244.0,False,,8.690030729555625,28.0,66.0,10028.0,0,5200
10000,A4b,0.0,31,True,0.8675370935712141,0.0,62,814.0,False,,8.584796343094988,22.0,62.0,10022.0,1,5201
10000,A4b,0.0,31,True,0.6340245024856132,0.0,67,206.0,False,,8.909469963162664,20.0,67.0,10020.0,2,5202
10000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,9.930204517704517,,,,3,5203
10000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,6.972610469777137,,,,4,5204
10000,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,9.397250740204898,,,,5,5205
10000,A4b,0.0,28,False,0.0,0.0,0,0.0,False,,8.740532879818595,,,,6,5206
10000,A4b,0.16537574994720072,32,True,0.6561109073754545,0.0,68,230.0,False,,8.96813904317301,26.0,68.0,10026.0,7,5207
10000,A4b,0.0,31,True,0.6967580793409793,0.0,63,278.0,False,,7.001379482226258,25.0,63.0,10025.0,8,5208
10000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,13.472851048757612,,,,9,5209
10000,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,9.062380617775503,,,,10,5210
10000,A4b,0.0,27,False,0.0,0.0,0,0.0,False,,8.52694982374934,,,,11,5211
10000,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,7.9993552593451165,,,,12,5212
10000,A4b,0.0,28,False,0.0,0.0,0,0.0,False,,9.85450952760066,,,,13,5213
10000,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,10.55671585757793,,,,14,5214
10000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,9.05929131054131,,,,15,5215
10500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,4.35988027012695,,,,0,5200
10500,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,5.604385521885522,,,,1,5201
10500,A4b,0.0,31,True,0.5499730972169252,0.0,46,130.0,False,,4.437312154926756,18.0,46.0,10518.0,2,5202
10500,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,12.240537777231928,,,,3,5203
10500,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,8.109964967131633,,,,4,5204
10500,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,10.168940157811127,,,,5,5205
10500,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,10.156958011124676,,,,6,5206
10500,A4b,0.17351525868496026,32,True,0.5514353545419803,0.0,47,138.0,False,,5.691781008202032,28.0,47.0,10528.0,7,5207
10500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,4.807903535747774,,,,8,5208
10500,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,11.650029822029824,,,,9,5209
10500,A4b,0.0,31,True,0.6577136077573509,0.0,59,238.0,False,,7.445775841980775,27.0,59.0,10527.0,10,5210
10500,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,10.860432668762977,,,,11,5211
10500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,6.644405697316913,,,,12,5212
10500,A4b,0.0,28,False,0.0,0.0,0,0.0,False,,11.390946751661037,,,,13,5213
10500,A4b,0.0,31,True,0.6125795079659557,0.0,64,192.0,False,,6.951388655675582,19.0,64.0,10519.0,14,5214
10500,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,7.656406126553184,,,,15,5215
11000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,5.079348903784388,,,,0,5200
11000,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,4.216172428586222,,,,1,5201
11000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,5.218520504524263,,,,2,5202
11000,A4b,0.0,30,True,0.8121279559005572,0.0,72,516.0,False,,10.039331818883543,24.0,72.0,11024.0,3,5203
11000,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,8.441389070699415,,,,4,5204
11000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,9.938425293655692,,,,5,5205
11000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,9.69827275853138,,,,6,5206
11000,A4b,0.0,31,True,0.4072284381494713,0.0,39,90.0,False,,4.587428396755183,31.0,39.0,11031.0,7,5207
11000,A4b,0.0,30,True,0.5883349238827789,0.0,51,156.0,False,,5.533694346239105,37.0,51.0,11037.0,8,5208
11000,A4b,0.0,30,True,0.7627022601849551,0.0,76,382.0,False,,10.590738196988196,23.0,76.0,11023.0,9,5209
11000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,6.348109668109669,,,,10,5210
11000,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,8.797456362955456,,,,11,5211
11000,A4b,0.0,31,True,0.6317235030223641,0.0,56,204.0,False,,5.952040119849967,16.0,56.0,11016.0,12,5212
11000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,8.592961991711991,,,,13,5213
11000,A4b,0.0,31,True,0.5042420277553563,0.0,50,134.0,False,,5.5944330978711285,16.0,50.0,11016.0,14,5214
11000,A4b,0.0,30,True,0.6235128433423346,0.0,60,202.0,False,,8.404139564139564,23.0,60.0,11023.0,15,5215
11500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,4.513447075892993,,,,0,5200
11500,A4b,0.0,30,True,0.6159247911520356,0.0,53,182.0,False,,5.8924363044363055,36.0,53.0,11536.0,1,5201
11500,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,7.510305491621281,,,,2,5202
11500,A4b,0.19723816216260348,32,True,0.4569091344570017,0.0,37,88.0,False,,3.7118099669050757,25.0,37.0,11525.0,3,5203
11500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,6.959949124949127,,,,4,5204
11500,A4b,0.0,29,False,0.0,0.0,0,0.0,False,,7.967821567071942,,,,5,5205
