method,ms_per_step,wall_seconds,force_evaluations,aggregate_simulated_ps,peak_cuda_gib,clip_fraction,n_replicas,n_steps,run_id
abf,49.41270285317674,4941.270285317674,1638416384.0,1638400.0,9.393222332000732,0.0,4096,100000,N4096__abf__c7eq__N4096__T100000__ns4__475e98e1abc0
fr_oracle,50.850631159124895,5085.06311591249,1638416384.0,1638400.0,9.393292903900146,0.0,4096,100000,rate045__fr_oracle__c7eq__N4096__T100000__ns4__acbd2c159ff9
