=== sweep CHANNEL  fe=2.56e+07  floor=0.00353 ===
     lift n_cond  anneal  reset   kappa  theta |       I_F   e_F_fin    /fl    chan   cov   ess
 identity      5    None   None    0.03    0.0 |   0.22319   0.12500   35.4  0.1287  1.00  1.00
 identity      5    None   None    0.03    0.3 |   0.18333   0.12652   35.8  0.1127  1.00  1.00
 identity      5    None   None    0.03    0.6 |   0.16249   0.12797   36.2  0.1183  1.00  1.00
 identity      5    None   None   0.125    0.0 |   0.26772   0.18474   52.3  0.2043  1.00  1.00
 identity      5    None   None   0.125    0.3 |   0.22507   0.18440   52.2  0.2231  1.00  1.00
 identity      5    None   None   0.125    0.6 |   0.22940   0.19224   54.4  0.1943  1.00  1.00
 identity      5    None   None     0.5    0.0 |   0.29585   0.24487   69.3  0.3029  1.00  1.00
 identity      5    None   None     0.5    0.3 |   0.27075   0.24611   69.7  0.3020  1.00  1.00
 identity      5    None   None     0.5    0.6 |   0.26620   0.24641   69.8  0.3163  1.00  1.00
 identity      5    None   None     2.0    0.0 |   0.29134   0.24570   69.6  0.4083  1.00  1.00
 identity      5    None   None     2.0    0.3 |   0.27190   0.24661   69.8  0.3874  1.00  1.00
 identity      5    None   None     2.0    0.6 |   0.27614   0.24455   69.3  0.3794  1.00  1.00
 identity      5    None   None     8.0    0.0 |   0.40345   0.33507   94.9  0.4526  1.00  1.00
 identity      5    None   None     8.0    0.3 |   0.40431   0.33079   93.7  0.4382  1.00  1.00
 identity      5    None   None     8.0    0.6 |   0.38777   0.33845   95.8  0.4700  1.00  1.00
   [110s]
 identity     25    None   None    0.03    0.0 |   0.22113   0.12887   36.5  0.1236  0.99  1.00
 identity     25    None   None    0.03    0.3 |   0.11918   0.10498   29.7  0.1322  1.00  1.00
 identity     25    None   None    0.03    0.6 |   0.11609   0.09945   28.2  0.0747  1.00  1.00
 identity     25    None   None   0.125    0.0 |   0.25911   0.18095   51.2  0.1873  1.00  1.00
 identity     25    None   None   0.125    0.3 |   0.21491   0.18314   51.9  0.1827  1.00  1.00
 identity     25    None   None   0.125    0.6 |   0.22418   0.18447   52.2  0.2125  1.00  1.00
 identity     25    None   None     0.5    0.0 |   0.29253   0.24388   69.1  0.3194  1.00  1.00
 identity     25    None   None     0.5    0.3 |   0.27509   0.24234   68.6  0.2931  1.00  1.00
 identity     25    None   None     0.5    0.6 |   0.27144   0.24742   70.1  0.3347  1.00  1.00
 identity     25    None   None     2.0    0.0 |   0.28414   0.24202   68.5  0.4327  1.00  1.00
 identity     25    None   None     2.0    0.3 |   0.27650   0.24430   69.2  0.4011  1.00  1.00
 identity     25    None   None     2.0    0.6 |   0.27873   0.24440   69.2  0.3781  1.00  1.00
 identity     25    None   None     8.0    0.0 |   0.38639   0.32163   91.1  0.4485  0.99  1.00
 identity     25    None   None     8.0    0.3 |   0.37784   0.31926   90.4  0.4196  1.00  1.00
 identity     25    None   None     8.0    0.6 |   0.37452   0.32524   92.1  0.4292  1.00  1.00
   [81s]
   oracle      5    None   None    0.03    0.0 |   0.03388   0.00354    1.0  0.0310  1.00  1.00
   oracle      5    None   None    0.03    0.3 |   0.00483   0.00352    1.0  0.0310  1.00  1.00
   oracle      5    None   None    0.03    0.6 |   0.00412   0.00363    1.0  0.0324  1.00  1.00
   oracle      5    None   None   0.125    0.0 |   0.00797   0.00352    1.0  0.0291  1.00  1.00
   oracle      5    None   None   0.125    0.3 |   0.00374   0.00358    1.0  0.0346  1.00  1.00
   oracle      5    None   None   0.125    0.6 |   0.00377   0.00355    1.0  0.0312  1.00  1.00
   oracle      5    None   None     0.5    0.0 |   0.00372   0.00361    1.0  0.0375  1.00  1.00
   oracle      5    None   None     0.5    0.3 |   0.00374   0.00363    1.0  0.0327  1.00  1.00
   oracle      5    None   None     0.5    0.6 |   0.00378   0.00365    1.0  0.0390  1.00  1.00
   oracle      5    None   None     2.0    0.0 |   0.00363   0.00361    1.0  0.0298  1.00  1.00
   oracle      5    None   None     2.0    0.3 |   0.00371   0.00351    1.0  0.0336  1.00  1.00
   oracle      5    None   None     2.0    0.6 |   0.00365   0.00356    1.0  0.0333  1.00  1.00
   oracle      5    None   None     8.0    0.0 |   0.00366   0.00355    1.0  0.0345  1.00  1.00
   oracle      5    None   None     8.0    0.3 |   0.00364   0.00349    1.0  0.0415  1.00  1.00
   oracle      5    None   None     8.0    0.6 |   0.00370   0.00365    1.0  0.0426  1.00  1.00
   [226s]
   oracle     25    None   None    0.03    0.0 |   0.03114   0.00378    1.1  0.0315  1.00  1.00
   oracle     25    None   None    0.03    0.3 |   0.00832   0.00377    1.1  0.0324  1.00  1.00
   oracle     25    None   None    0.03    0.6 |   0.00591   0.00387    1.1  0.0371  1.00  1.00
   oracle     25    None   None   0.125    0.0 |   0.00891   0.00372    1.1  0.0375  1.00  1.00
   oracle     25    None   None   0.125    0.3 |   0.00424   0.00356    1.0  0.0270  1.00  1.00
   oracle     25    None   None   0.125    0.6 |   0.00434   0.00375    1.1  0.0395  0.99  1.00
