=== sweep CHANNEL_flowjit  fe=2.56e+07  floor=0.00353 ===
     lift n_cond  anneal  reset   kappa  theta |       I_F   e_F_fin    /fl    chan   cov   ess
iden/flow      5   0.005   None   0.125    0.0 |   0.17858   0.06876   19.5  0.0697  1.00  1.00
iden/flow      5   0.005   None   0.125    0.3 |   0.11014   0.04965   14.1  0.0494  1.00  1.00
iden/flow      5   0.005   None   0.125    0.6 |   0.07334   0.03076    8.7  0.0469  1.00  1.00
iden/flow      5   0.005   None     0.5    0.0 |   0.16634   0.05626   15.9  0.0945  1.00  1.00
iden/flow      5   0.005   None     0.5    0.3 |   0.19650   0.13397   37.9  0.2458  1.00  1.00
iden/flow      5   0.005   None     0.5    0.6 |   0.18678   0.11450   32.4  0.1679  1.00  1.00
iden/flow      5   0.005   None     2.0    0.0 |   0.15345   0.07258   20.6  0.1526  1.00  1.00
iden/flow      5   0.005   None     2.0    0.3 |   0.19056   0.11364   32.2  0.2145  1.00  1.00
iden/flow      5   0.005   None     2.0    0.6 |   0.19279   0.13294   37.6  0.2476  1.00  1.00
iden/flow      5   0.005   None     8.0    0.0 |   0.25910   0.21456   60.8  0.2178  0.97  1.00
iden/flow      5   0.005   None     8.0    0.3 |   0.24569   0.20506   58.1  0.2025  0.98  1.00
iden/flow      5   0.005   None     8.0    0.6 |   0.23297   0.19223   54.4  0.1767  0.96  1.00
   [106s]
iden/flow      5    0.01   None   0.125    0.0 |   0.17802   0.07938   22.5  0.0817  1.00  1.00
iden/flow      5    0.01   None   0.125    0.3 |   0.17169   0.09345   26.5  0.1096  1.00  1.00
iden/flow      5    0.01   None   0.125    0.6 |   0.15386   0.10440   29.6  0.0993  1.00  1.00
iden/flow      5    0.01   None     0.5    0.0 |   0.17594   0.07690   21.8  0.1024  1.00  1.00
iden/flow      5    0.01   None     0.5    0.3 |   0.19733   0.13055   37.0  0.1524  1.00  1.00
iden/flow      5    0.01   None     0.5    0.6 |   0.20160   0.14068   39.8  0.2367  1.00  1.00
iden/flow      5    0.01   None     2.0    0.0 |   0.17693   0.10005   28.3  0.1427  1.00  1.00
iden/flow      5    0.01   None     2.0    0.3 |   0.21304   0.12956   36.7  0.1397  1.00  1.00
iden/flow      5    0.01   None     2.0    0.6 |   0.22825   0.14230   40.3  0.1189  1.00  1.00
iden/flow      5    0.01   None     8.0    0.0 |   0.25167   0.21158   59.9  0.2315  0.97  1.00
iden/flow      5    0.01   None     8.0    0.3 |   0.24420   0.20511   58.1  0.2611  0.98  1.00
iden/flow      5    0.01   None     8.0    0.6 |   0.23153   0.19417   55.0  0.1872  1.00  1.00
   [105s]
iden/flow      5    0.02   None   0.125    0.0 |   0.19898   0.11957   33.9  0.1397  1.00  1.00
iden/flow      5    0.02   None   0.125    0.3 |   0.19805   0.14224   40.3  0.1515  1.00  1.00
iden/flow      5    0.02   None   0.125    0.6 |   0.19534   0.13717   38.8  0.1147  1.00  1.00
iden/flow      5    0.02   None     0.5    0.0 |   0.20069   0.11988   33.9  0.1291  1.00  1.00
iden/flow      5    0.02   None     0.5    0.3 |   0.20441   0.13702   38.8  0.1474  1.00  1.00
iden/flow      5    0.02   None     0.5    0.6 |   0.20061   0.14290   40.5  0.1510  1.00  1.00
iden/flow      5    0.02   None     2.0    0.0 |   0.20529   0.12593   35.7  0.1422  1.00  1.00
iden/flow      5    0.02   None     2.0    0.3 |   0.21628   0.14738   41.7  0.1299  1.00  1.00
iden/flow      5    0.02   None     2.0    0.6 |   0.20673   0.14512   41.1  0.1447  1.00  1.00
iden/flow      5    0.02   None     8.0    0.0 |   0.25148   0.21152   59.9  0.2444  0.99  1.00
iden/flow      5    0.02   None     8.0    0.3 |   0.24704   0.19852   56.2  0.1589  1.00  1.00
iden/flow      5    0.02   None     8.0    0.6 |   0.22736   0.17358   49.2  0.1937  1.00  1.00
   [105s]

BEST {'lift': 'identity', 'w_mode': 'flow', 'bw_kde': 0.1, 'n_cond': 5, 'fr_jitter': 0.005, 'anneal': None, 'reset': None, 'kappa': 0.125, 'theta': 0.6, 'I_F': 0.0733411837961781, 'e_F_final': 0.0307602110784836, 'chan': 0.04690738114054343, 'cov': 1.0, 'ess': 1.0}
