seed,T_hit_over_T,coord_occ_2nd_half,struct_occ_2nd_half,longest_coord_deficit_run,longest_struct_deficit_run,A_span_kT,A_abs_max_kT,l2_F_final,l2_F_integrated,l2_Fprime_final,xi_min,xi_max,frac_above_2p80
3000,"[0.0, 0.01, 0.0216]","[0.0, 0.0035485805677728907, 0.9964514194322271]","[0.9558823529411765, 0.04411764705882353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2501, 1617, 0]","[0, 51, 51, 51, 51, 51, 51, 51]",86.74721291511673,47.85643446450433,45.94938057672068,105.47171644755996,111.89838116760117,1.1770013570785522,3.671295166015625,0.9964514194322271
3001,"[0.0, 0.0146, 0.0234]","[0.0, 0.004048380647740903, 0.9959516193522591]","[0.9473039215686274, 0.05269607843137255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2501, 1940, 0]","[0, 42, 51, 51, 51, 51, 51, 51]",92.07774616360184,49.96454355077096,53.53608907002748,92.64804789854293,117.94777124714557,1.172914743423462,3.636349678039551,0.9959516193522591
3002,"[0.0, 0.002, 0.0224]","[0.0, 0.0034486205517792884, 0.9965513794482207]","[0.9534313725490197, 0.04656862745098039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2501, 1821, 0]","[0, 50, 51, 51, 51, 51, 51, 51]",95.02524121773158,52.392676066873825,60.32102417885113,128.9278260607036,138.02056344017885,1.1789370775222778,3.6367242336273193,0.9965513794482207
3003,"[0.0, 0.0, 0.0252]","[0.043107756897241105, 0.005597760895641743, 0.9512944822071171]","[0.8909313725490197, 0.0625, 0.003676470588235294, 0.0, 0.0, 0.014705882352941176, 0.0, 0.028186274509803922]","[816, 1541, 0]","[0, 44, 30, 51, 51, 20, 51, 18]",93.29536140142753,52.0278733474072,58.20539006751441,101.63603838202445,139.11993564434013,1.1763228178024292,3.635000705718994,0.9512944822071171
3004,"[0.0, 0.0128, 0.0228]","[0.0, 0.0025239904038384647, 0.9974760095961616]","[0.9644607843137255, 0.03553921568627451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2501, 1056, 0]","[0, 51, 51, 51, 51, 51, 51, 51]",95.10593707350033,52.42426470065361,59.76696994060344,122.02229327357715,140.5355873309535,1.175598382949829,3.636420249938965,0.9974760095961616
3005,"[0.0, 0.0038, 0.0208]","[0.0, 0.0007746901239504199, 0.9992253098760496]","[0.9620098039215687, 0.03799019607843137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2501, 2275, 0]","[0, 43, 51, 51, 51, 51, 51, 51]",91.44902991250066,49.92215984435561,51.5123277923795,88.247164006449,119.38240797928985,1.1769503355026245,3.648733139038086,0.9992253098760496
3006,"[0.0, 0.0076, 0.0244]","[0.0, 0.00039984006397441024, 0.9996001599360256]","[0.9620098039215687, 0.03799019607843137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2501, 2279, 0]","[0, 51, 51, 51, 51, 51, 51, 51]",107.0633858568452,59.27805928905581,79.21484592182077,110.60944254461101,167.0885312664539,1.1685270071029663,3.6308670043945312,0.9996001599360256
3007,"[0.0, 0.0204, 0.024]","[0.0, 0.0009996001599360256, 0.999000399840064]","[0.9571078431372549, 0.0428921568627451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2501, 1943, 0]","[0, 51, 51, 51, 51, 51, 51, 51]",110.29916752987077,58.28336387900496,83.45457506372723,133.91594483790078,155.94899354047593,1.17076575756073,3.6415176391601562,0.999000399840064
