stage,method,physics_tag,beta,h,M,seed,n_steps,t,l2_f,l2_fp,repl_cumulative,frac_compact,frac_transition,frac_stretched,ancestor_ess,max_ancestor_frac
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,2.8000000000000003,1.5716241738330545,4.571576631547434,0.0,0.2708333333333333,0.3229166666666667,0.40625,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,3.2,1.4956725803787432,4.333914714087505,0.0,0.25,0.34375,0.40625,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,3.6,1.3561898118840918,3.9642285663949286,0.0,0.19791666666666666,0.3541666666666667,0.4479166666666667,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,4.0,1.2660993677653385,3.7446190565838404,0.0,0.20833333333333334,0.3229166666666667,0.46875,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,0.0,1.4929589744133196,8.833710889298077,0.0,1.0,0.0,0.0,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,0.4,3.9488329805882705,11.227040812003525,0.0,0.9166666666666666,0.08333333333333333,0.0,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,0.8,3.30252623694114,9.916003002750783,0.0,0.6770833333333334,0.28125,0.041666666666666664,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,1.2,2.657380462270814,7.494801999285193,0.0,0.4166666666666667,0.4270833333333333,0.15625,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,1.6,2.3320045088668357,6.494502281214176,0.0,0.40625,0.3229166666666667,0.2708333333333333,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,2.0,2.104608998054842,5.7570669039816265,0.0,0.34375,0.28125,0.375,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,2.4,1.8540398832100031,5.08226910072607,0.0,0.3020833333333333,0.2708333333333333,0.4270833333333333,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,2.8000000000000003,1.6233366645972582,4.499416541022771,0.0,0.2604166666666667,0.2708333333333333,0.46875,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,3.2,1.5061906970550876,4.215889460463105,0.0,0.22916666666666666,0.2708333333333333,0.5,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,3.6,1.3715399214941673,3.9619949175574627,0.0,0.20833333333333334,0.2604166666666667,0.53125,nan,nan
smoke,abf,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,4.0,1.2867616023603927,3.7931998393434143,0.0,0.19791666666666666,0.23958333333333334,0.5625,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,0.0,0.3543396435936745,2.1384304588239007,0.0,1.0,0.0,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,0.4,0.46794680235148095,1.5836765414006293,0.0,0.9791666666666666,0.020833333333333332,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,0.8,0.4112194928634878,1.7192846562801618,0.0,0.9583333333333334,0.041666666666666664,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,1.2,2.9674738016892435,17.80001660734685,0.0,0.8541666666666666,0.13541666666666666,0.010416666666666666,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,1.6,2.8182609075777525,17.772239491734595,0.0,0.8125,0.1875,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,2.0,2.8208800560502336,17.767898229576478,0.0,0.7291666666666666,0.2708333333333333,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,2.4,0.8355854188414786,3.874861691697857,0.0,0.75,0.23958333333333334,0.010416666666666666,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,2.8000000000000003,0.5606129544131321,1.981534130002479,0.0,0.6979166666666666,0.28125,0.020833333333333332,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,3.2,0.5444053998567254,1.98135484436516,0.0,0.6666666666666666,0.3020833333333333,0.03125,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,3.6,0.5608271687325526,2.105932018873776,0.0,0.6354166666666666,0.3125,0.052083333333333336,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,4.0,0.4762823638450211,1.458651890561584,0.0,0.6145833333333334,0.2708333333333333,0.11458333333333333,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,0.0,0.35433961937216096,2.1384303812825767,0.0,1.0,0.0,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,0.4,0.43964116745002885,1.5659229556708865,0.0,0.9895833333333334,0.010416666666666666,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,0.8,0.548228322511013,1.7664665194159666,0.0,0.9270833333333334,0.07291666666666667,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,1.2,0.7673632007701303,2.2732834308278043,0.0,0.78125,0.21875,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,1.6,0.6090739294256664,1.8104436801088517,0.0,0.75,0.25,0.0,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,2.0,0.7554070014363907,5.816750357548788,0.0,0.7083333333333334,0.2708333333333333,0.020833333333333332,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,2.4,0.6026690571479124,1.859668089281125,0.0,0.7083333333333334,0.2708333333333333,0.020833333333333332,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,2.8000000000000003,0.531704244825161,1.8603131046328258,0.0,0.7083333333333334,0.23958333333333334,0.052083333333333336,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,3.2,0.4322757663324365,1.3504900373137831,0.0,0.6770833333333334,0.25,0.07291666666666667,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,3.6,0.4418836655935533,1.3178047011758427,0.0,0.625,0.3125,0.0625,nan,nan
smoke,abf,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,2000,4.0,0.38228159620584523,1.1103470238625044,0.0,0.625,0.2708333333333333,0.10416666666666667,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,0.0,1.2649653716887648,8.264097710374513,0.0,1.0,0.0,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,0.4,1.5966869622378412,6.204114164830032,0.0,0.9895833333333334,0.010416666666666666,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,0.8,1.7482249093248903,6.328492070842802,0.0,0.96875,0.03125,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,1.2,1.9094051145715063,7.889448290558661,0.0,0.8958333333333334,0.10416666666666667,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,1.6,1.8679619574505735,7.959843573125946,0.0,0.8645833333333334,0.13541666666666666,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,2.0,1.8780652804458227,7.886259726359752,0.0,0.7395833333333334,0.2604166666666667,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,2.4,1.0615858006342418,3.666385501332738,0.0,0.6875,0.2916666666666667,0.020833333333333332,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,2.8000000000000003,0.6484427372541118,2.6690571744409888,0.0,0.6666666666666666,0.2916666666666667,0.041666666666666664,nan,nan
