stage,physics_tag,method,n_steps,n_replicas,beta,h,M,beta_h,n_pairs,n_wins,win_rate,R_final_median,R_integrated_median,median_gain_pct_F,mean_gain_pct_F,median_gain_pct_intF
smoke,b1_h1_w2_n7_a1.5,fr_estimated,2000,96,1.0,1.0,49,1.0,2,2,1.0,1.1498157899570511,1.0615409898179502,11.728998198128116,11.728998198128116,5.46546442056994
smoke,b1_h1_w2_n7_a1.5,fr_oracle,2000,96,1.0,1.0,49,1.0,2,2,1.0,1.266083244845921,1.0557307673709875,20.457493523734747,20.457493523734747,5.239193423683856
smoke,b1_h1_w2_n7_a1.5,fr_uniform,2000,96,1.0,1.0,49,1.0,2,2,1.0,1.2805323636756132,1.0768522805846987,21.530914453230448,21.530914453230448,6.915243257390899
smoke,b1_h4_w2_n7_a1.5,fr_estimated,2000,96,1.0,4.0,49,4.0,2,2,1.0,1.0416662279330184,1.0181719650276306,3.9825316281051917,3.9825316281051917,1.7777459576489925
smoke,b1_h4_w2_n7_a1.5,fr_oracle,2000,96,1.0,4.0,49,4.0,2,2,1.0,1.151895731906567,1.0223754340893423,11.687955396497713,11.687955396497713,2.0381720627885542
smoke,b1_h4_w2_n7_a1.5,fr_uniform,2000,96,1.0,4.0,49,4.0,2,0,0.0,0.9493440117611545,0.9952957851878796,-5.3613602563107,-5.3613602563107,-0.4963887747208049
smoke,b4_h1_w2_n7_a1.5,fr_estimated,2000,96,4.0,1.0,49,4.0,2,2,1.0,1.186399717513373,1.2308106434249133,15.572369901361295,15.572369901361295,16.681648114358794
smoke,b4_h1_w2_n7_a1.5,fr_oracle,2000,96,4.0,1.0,49,4.0,2,2,1.0,1.1719953361380981,1.305534439916323,14.344900585308451,14.344900585308451,19.866977690204006
smoke,b4_h1_w2_n7_a1.5,fr_uniform,2000,96,4.0,1.0,49,4.0,2,2,1.0,1.2212776590714907,1.241561017994512,18.11015990495477,18.11015990495477,17.636176341166056
smoke,b4_h4_w2_n7_a1.5,fr_estimated,2000,96,4.0,4.0,49,16.0,2,1,0.5,1.0012855786172339,1.1190184571690895,-0.9138934714245712,-0.9138934714245712,10.365577301686933
smoke,b4_h4_w2_n7_a1.5,fr_oracle,2000,96,4.0,4.0,49,16.0,2,1,0.5,0.9423081102824977,1.0778234770584798,-10.940989295018667,-10.940989295018667,4.621521565138125
smoke,b4_h4_w2_n7_a1.5,fr_uniform,2000,96,4.0,4.0,49,16.0,2,0,0.0,0.9647589932311049,1.1188148492012344,-3.654581575101891,-3.654581575101891,10.423032752086048
