run_id,stage,name,method,seed,n_steps,n_replicas,beta,h,w,n_dim,M,a,beta_h,physics_tag,fr_rate,target_ema_rate,max_event_fraction,fr_every,fr_start_steps,score_clip,config_hash,core_version,had_nan,device,cuda_visible_devices,total_replacement_events,l2_f,l2_fp,integrated_l2_f,l2_f_compact,l2_f_transition,l2_f_stretched,l2_fp_compact,l2_fp_transition,l2_fp_stretched,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_fr_application,clones_per_fr_application,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,runtime_seconds,wall_seconds
smoke__abf__b1_h1_w2_n7_a1.5__seed0__N96__T2000__7b3bd509320c,smoke,abf,abf,0,2000,96,1.0,1.0,2.0,7,49,1.5,1.0,b1_h1_w2_n7_a1.5,0.0,0.005,0.02,5,500,2.0,ad426828ddda,wca_phase_v1,False,cuda,4,0,1.085993146769453,3.1053364122485454,7.545997276763209,1.482685904088731,0.5111742932534168,1.2148561443835983,3.289621616347505,3.635219571342108,1.7857459177614812,0.4506449054530165,nan,0.40538985903362595,1025,951,1976,951,0.0,0.0,0,0.0,0.0,nan,nan,96,nan,nan,3.2590570775792003,3.2759716333821416
smoke__abf__b1_h1_w2_n7_a1.5__seed1__N96__T2000__2cd989953e2e,smoke,abf,abf,1,2000,96,1.0,1.0,2.0,7,49,1.5,1.0,b1_h1_w2_n7_a1.5,0.0,0.005,0.02,5,500,2.0,daef983a38f2,wca_phase_v1,False,cuda,4,0,0.9857727952963334,2.766917332787311,7.122527454467154,1.3210497174286198,0.42278874809364253,1.1571494039795425,3.0088560373748865,3.0266240416853205,1.9853033950793668,0.3964282595845558,nan,0.3717684279621984,948,876,1824,876,0.0,0.0,0,0.0,0.0,nan,nan,96,nan,nan,3.113362387754023,3.1156355887651443
smoke__abf__b1_h4_w2_n7_a1.5__seed0__N96__T2000__c0a2cd4a50de,smoke,abf,abf,0,2000,96,1.0,4.0,2.0,7,49,1.5,4.0,b1_h4_w2_n7_a1.5,0.0,0.005,0.02,5,500,2.0,ad426828ddda,wca_phase_v1,False,cuda,4,0,1.2660993677653385,3.7446190565838404,9.88647954077331,1.8100854860903255,0.6356046537135603,1.2853452014683,4.752750261171161,4.159564767327614,0.9652927312086803,0.2800207278201026,nan,0.7023816322439822,1047,984,2031,984,0.0,0.0,0,0.0,0.0,nan,nan,96,nan,nan,3.117203368805349,3.119430120103061
smoke__abf__b1_h4_w2_n7_a1.5__seed1__N96__T2000__40268a633f42,smoke,abf,abf,1,2000,96,1.0,4.0,2.0,7,49,1.5,4.0,b1_h4_w2_n7_a1.5,0.0,0.005,0.02,5,500,2.0,daef983a38f2,wca_phase_v1,False,cuda,4,0,1.2867616023603927,3.7931998393434143,8.83612825658611,1.8493972411825204,0.6459779139347881,1.2933789085615186,4.885227933682929,4.102561896155966,1.110467345171988,0.39747696528422627,nan,0.6302656114043804,923,855,1778,855,0.0,0.0,0,0.0,0.0,nan,nan,96,nan,nan,3.181742250919342,3.183652561157942
smoke__abf__b4_h1_w2_n7_a1.5__seed0__N96__T2000__c417967f387f,smoke,abf,abf,0,2000,96,4.0,1.0,2.0,7,49,1.5,4.0,b4_h1_w2_n7_a1.5,0.0,0.005,0.02,5,500,2.0,ad426828ddda,wca_phase_v1,False,cuda,4,0,0.4762823638450211,1.458651890561584,4.961009202438173,0.539551759156553,0.18224178737243568,0.6652649369249966,0.8400382224623634,1.245137381373426,2.068849454040779,0.38299466817188776,nan,0.6853457819480299,298,276,574,276,0.0,0.0,0,0.0,0.0,nan,nan,96,nan,nan,3.181212571449578,3.1830452708527446
smoke__abf__b4_h1_w2_n7_a1.5__seed1__N96__T2000__6c3704437b2b,smoke,abf,abf,1,2000,96,4.0,1.0,2.0,7,49,1.5,4.0,b4_h1_w2_n7_a1.5,0.0,0.005,0.02,5,500,2.0,daef983a38f2,wca_phase_v1,False,cuda,4,0,0.38228159620584523,1.1103470238625044,2.1986227853125184,0.46007179441952134,0.14707445973758626,0.5098982466612997,0.7921465331608201,1.0994642282260834,1.3645345830578597,0.43597377533813864,nan,0.6420981086468196,296,276,572,276,0.0,0.0,0,0.0,0.0,nan,nan,96,nan,nan,3.188504853285849,3.1902860337868333
smoke__abf__b4_h4_w2_n7_a1.5__seed0__N96__T2000__0f7f92d38123,smoke,abf,abf,0,2000,96,4.0,4.0,2.0,7,49,1.5,16.0,b4_h4_w2_n7_a1.5,0.0,0.005,0.02,5,500,2.0,ad426828ddda,wca_phase_v1,False,cuda,4,0,0.48608812797145445,1.6788058818860327,5.071141752655674,0.6837409673566202,0.2570053596774925,0.4984156135638589,1.8591117034751963,1.6563182605545312,1.5289519438253603,0.4461127881795854,nan,1.3358382821209385,304,277,581,277,0.0,0.0,0,0.0,0.0,nan,nan,96,nan,nan,3.185594791546464,3.187642563134432
smoke__abf__b4_h4_w2_n7_a1.5__seed1__N96__T2000__ae82cf811c56,smoke,abf,abf,1,2000,96,4.0,4.0,2.0,7,49,1.5,16.0,b4_h4_w2_n7_a1.5,0.0,0.005,0.02,5,500,2.0,daef983a38f2,wca_phase_v1,False,cuda,4,0,0.38718769881330894,1.4322122569455258,4.055965043503377,0.5772910179646917,0.2290633684947663,0.3283251571442921,1.8142611152927193,1.2489300452432843,1.2364033280547293,0.48879714471765173,nan,1.2936990189877557,260,240,500,240,0.0,0.0,0,0.0,0.0,nan,nan,96,nan,nan,3.18842248339206,3.189989914186299
smoke__fr_estimated__b1_h1_w2_n7_a1.5__seed0__N96__T2000__5078da917037,smoke,fr_estimated,fr_estimated,0,2000,96,1.0,1.0,2.0,7,49,1.5,1.0,b1_h1_w2_n7_a1.5,0.1,0.005,0.02,5,500,2.0,add21a269b9e,wca_phase_v1,False,cuda,4,6,0.842258170518954,2.540829891337349,6.71091434809792,1.1560142285737938,0.40825130022088757,0.9296530637210056,2.565219034087488,2.9920508030211184,1.6777372977557399,0.3888647481092058,0.452120938466239,0.4052163202102552,1066,996,2062,1012,0.00020764119601328904,0.00078125,301,0.019933554817275746,0.019933554817275746,85.33333333333333,85.33333333333333,90,0.020833333333333332,0.020833333333333332,3.6296834340319037,3.6314188642427325
smoke__fr_estimated__b1_h1_w2_n7_a1.5__seed1__N96__T2000__b0e8aeebfdf1,smoke,fr_estimated,fr_estimated,1,2000,96,1.0,1.0,2.0,7,49,1.5,1.0,b1_h1_w2_n7_a1.5,0.1,0.005,0.02,5,500,2.0,6621574b2f6c,wca_phase_v1,False,cuda,4,6,0.9757722605376966,2.9044328627140907,7.132188399058846,1.2076388658806991,0.467795984377703,1.2250341449684954,3.1470432709319613,3.2840323826262976,1.9411207788988423,0.3430791015895834,0.40733420774037304,0.31479329350237173,1094,1026,2120,1037,0.00020764119601328904,0.00078125,301,0.019933554817275746,0.019933554817275746,83.78181818181818,83.78181818181818,90,0.03125,0.03125,3.484390113502741,3.4860644452273846
