stage,physics_tag,method,n_steps,n_replicas,beta,h,w,n_dim,M,a,beta_h,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,l2_fp_transition_median,l2_fp_transition_q25,l2_fp_transition_q75,marginal_l2_ref_median,marginal_l2_ref_q25,marginal_l2_ref_q75,marginal_l2_uniform_median,marginal_l2_uniform_q25,marginal_l2_uniform_q75,n_barrier_crossings_median,n_barrier_crossings_q25,n_barrier_crossings_q75,n_round_trips_median,n_round_trips_q25,n_round_trips_q75,fr_event_fraction_median,fr_event_fraction_q25,fr_event_fraction_q75,max_fr_event_fraction_median,max_fr_event_fraction_q25,max_fr_event_fraction_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,min_ancestor_ess_median,min_ancestor_ess_q25,min_ancestor_ess_q75,final_max_ancestor_frac_median,final_max_ancestor_frac_q25,final_max_ancestor_frac_q75,total_replacement_events_median,total_replacement_events_q25,total_replacement_events_q75
smoke,b1_h1_w2_n7_a1.5,abf,2000,96,1.0,1.0,2.0,7,49,1.5,1.0,2,1.0358829710328932,1.0108278831646134,1.0609380589011732,2.936126872517928,2.8515221026526194,3.020731642383237,7.3342623656151815,7.2283949100411675,7.4401298211891955,0.46698152067352966,0.4448851343835861,0.4890779069634732,3.3309218065137145,3.1787729240995173,3.4830706889279113,0.38857914349791217,0.3801737857300553,0.39698450126576906,0.4235365825187861,0.409982421051671,0.4370907439859013,1900.0,1862.0,1938.0,913.5,894.75,932.25,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
smoke,b1_h1_w2_n7_a1.5,fr_estimated,2000,96,1.0,1.0,2.0,7,49,1.5,1.0,2,0.9090152155283253,0.8756366930236397,0.942393738033011,2.72263137702572,2.631730634181534,2.8135321198699055,6.921551373578383,6.816232860838151,7.0268698863186145,0.43802364229929525,0.42313747126009144,0.4529098133384991,3.1380415928237078,3.0650461979224133,3.2110369877250027,0.3600048068563135,0.3373990501793426,0.3826105635332844,0.36597192484939456,0.354525513219489,0.3774183364793002,2091.0,2076.5,2105.5,1024.5,1018.25,1030.75,0.00020764119601328904,0.00020764119601328904,0.00020764119601328904,0.00078125,0.00078125,0.00078125,84.55757575757576,84.16969696969697,84.94545454545454,84.55757575757576,84.16969696969697,84.94545454545454,0.026041666666666664,0.0234375,0.028645833333333332,6.0,6.0,6.0
smoke,b1_h1_w2_n7_a1.5,fr_oracle,2000,96,1.0,1.0,2.0,7,49,1.5,1.0,2,0.8273079803511363,0.7728488689987398,0.8817670917035326,2.3788649784576243,2.215672594170942,2.542057362744307,6.945900047715631,6.916695023316198,6.975105072115065,0.41496702648417616,0.404680918319106,0.42525313464924636,2.81121983922679,2.669032062903782,2.9534076155497986,0.4986353400146887,0.48081860875098104,0.5164520712783962,0.5238921618152409,0.5166095346945818,0.5311747889359,1806.5,1775.25,1837.75,959.0,958.5,959.5,0.0005017995570321151,0.00045854097452934666,0.0005450581395348837,0.0012648809523809522,0.0011532738095238095,0.0013764880952380951,68.79144385026737,68.27807486631016,69.30481283422459,68.79144385026737,68.27807486631016,69.30481283422459,0.03645833333333333,0.033854166666666664,0.0390625,14.5,13.25,15.75
smoke,b1_h1_w2_n7_a1.5,fr_uniform,2000,96,1.0,1.0,2.0,7,49,1.5,1.0,2,0.8101239696015788,0.8016298308104723,0.8186181083926853,2.39130599484613,2.3723446693009045,2.410267320391356,6.817465763225227,6.749494097796811,6.885437428653643,0.3384534535699384,0.3281512482520713,0.3487556588878055,2.4391980378080733,2.3770237288457294,2.5013723467704168,0.45875072341244144,0.457018578010653,0.4604828688142299,0.38702774685487523,0.37719281675138416,0.3968626769583663,2138.0,2087.0,2189.0,1027.0,995.0,1059.0,0.00024224806201550387,0.00019033776301218163,0.00029415836101882615,0.0006510416666666667,0.0005859375,0.0007161458333333334,83.8927507447865,82.3674280039722,85.41807348560079,83.8927507447865,82.3674280039722,85.41807348560079,0.03125,0.03125,0.03125,7.0,5.5,8.5
smoke,b1_h4_w2_n7_a1.5,abf,2000,96,1.0,4.0,2.0,7,49,1.5,4.0,2,1.2764304850628656,1.271264926414102,1.2815960437116292,3.7689094479636274,3.756764252273734,3.781054643653521,9.36130389867971,9.09871607763291,9.62389171972651,0.6407912838241743,0.6381979687688673,0.6433845988794812,4.131063331741791,4.116812613948878,4.1453140495347025,0.6663236218241813,0.6482946166142809,0.6843526270340817,0.3387488465521644,0.30938478718613355,0.36811290591819534,1904.5,1841.25,1967.75,919.5,887.25,951.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
smoke,b1_h4_w2_n7_a1.5,fr_estimated,2000,96,1.0,4.0,2.0,7,49,1.5,4.0,2,1.2254625945283752,1.2221665164545747,1.2287586726021755,3.5752592648585586,3.571250688968858,3.579267840748259,9.19924395781294,8.902463257395853,9.496024658230027,0.6149341652448068,0.6121027326692332,0.6177655978203805,4.03030144322946,3.992934026705162,4.067668859753757,0.659621064556295,0.6214002993897945,0.6978418297227954,0.3432991104342984,0.32339781804672924,0.3632004028218675,1956.0,1938.5,1973.5,931.5,924.25,938.75,0.00024224806201550387,0.00020764119601328904,0.0002768549280177187,0.0006510416666666667,0.0005859375,0.0007161458333333334,84.61455525606468,83.45013477088948,85.77897574123989,84.61455525606468,83.45013477088948,85.77897574123989,0.020833333333333332,0.020833333333333332,0.020833333333333332,7.0,6.0,8.0
smoke,b1_h4_w2_n7_a1.5,fr_oracle,2000,96,1.0,4.0,2.0,7,49,1.5,4.0,2,1.12605334422808,1.0571934313681743,1.1949132570879855,3.331770218122583,3.174762766111054,3.488777670134112,9.190662930364368,8.75376343589642,9.627562424832318,0.5744723441233901,0.543861870495858,0.6050828177509223,3.6166304261006075,3.3876294023157145,3.8456314498855004,0.710934125315225,0.7099969970292873,0.7118712536011627,0.5076785991830216,0.4731079206324933,0.5422492777335498,2004.5,1968.75,2040.25,1029.5,1026.25,1032.75,0.0005191029900332226,0.0004498892580287929,0.0005883167220376523,0.0011718750000000002,0.0009765625,0.0013671875000000001,70.4,67.2,73.6,70.4,67.2,73.6,0.03645833333333333,0.033854166666666664,0.0390625,15.0,13.0,17.0
smoke,b1_h4_w2_n7_a1.5,fr_uniform,2000,96,1.0,4.0,2.0,7,49,1.5,4.0,2,1.3446952937743633,1.3396835645335465,1.3497070230151798,3.882359085025304,3.8773711231674692,3.8873470468831384,9.415884876267727,9.079690429745568,9.752079322789886,0.7008819967119602,0.6851068502094886,0.7166571432144316,4.532679251259635,4.440717564410719,4.624640938108552,0.7339473358890285,0.6952869784918383,0.7726076932862187,0.3349564092820596,0.32687426847134615,0.34303855009277306,1896.5,1891.75,1901.25,905.0,904.5,905.5,0.00015573089700996677,0.00014707918050941307,0.0001643826135105205,0.0005208333333333333,0.0005208333333333333,0.0005208333333333333,88.64816870144284,87.79578246392896,89.50055493895671,88.64816870144284,87.79578246392896,89.50055493895671,0.020833333333333332,0.020833333333333332,0.020833333333333332,4.5,4.25,4.75
smoke,b4_h1_w2_n7_a1.5,abf,2000,96,4.0,1.0,2.0,7,49,1.5,4.0,2,0.42928198002543316,0.4057817881156392,0.45278217193522713,1.284499457212044,1.1974232405372742,1.3715756738868141,3.5798159938753455,2.889219389593932,4.270412598156759,0.16465812355501097,0.15586629164629862,0.17344995546372333,1.1723008047997547,1.1358825165129192,1.2087190930865903,0.6637219452974248,0.6529100269721222,0.6745338636227273,0.4094842217550132,0.3962394449634505,0.4227289985465759,573.0,572.5,573.5,276.0,276.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
smoke,b4_h1_w2_n7_a1.5,fr_estimated,2000,96,4.0,1.0,2.0,7,49,1.5,4.0,2,0.3608224747768527,0.34833493705592694,0.3733100124977785,1.0538897934697344,1.0123238633286464,1.0954557236108227,2.8012075448755236,2.4609395223053467,3.1414755674457004,0.1437943295415437,0.14335433926015811,0.14423431982292928,1.0415589130202612,1.0409958316633223,1.0421219943772,0.7044177659257262,0.7031856806017529,0.7056498512496996,0.3375618586563658,0.32507217706327063,0.35005154024946095,571.0,570.0,572.0,324.5,318.75,330.25,0.0003633720930232558,0.0003547203765227021,0.00037202380952380956,0.0009114583333333333,0.0008463541666666667,0.0009765625,75.72413793103448,73.86206896551724,77.58620689655173,75.72413793103448,73.86206896551724,77.58620689655173,0.03125,0.026041666666666664,0.03645833333333333,10.5,10.25,10.75
smoke,b4_h1_w2_n7_a1.5,fr_oracle,2000,96,4.0,1.0,2.0,7,49,1.5,4.0,2,0.3652010892162866,0.356492690727783,0.37390948770479016,1.0495825736109992,1.0301591453072607,1.0690060019147374,2.636117025456468,2.384018213590621,2.8882158373223152,0.15605083362498418,0.15596904083455654,0.15613262641541184,1.1207648135733104,1.118051290596743,1.1234783365498777,0.714047487762629,0.6985468719009678,0.7295481036242903,0.2351759532733198,0.22126807414658434,0.2490838324000553,708.5,672.75,744.25,442.0,418.5,465.5,0.0006402270210409746,0.0006142718715393134,0.0006661821705426358,0.0014322916666666668,0.0012369791666666666,0.0016276041666666667,64.47592954990215,63.79960861056752,65.15225048923679,64.47592954990215,63.79960861056752,65.15225048923679,0.041666666666666664,0.041666666666666664,0.041666666666666664,18.5,17.75,19.25
smoke,b4_h1_w2_n7_a1.5,fr_uniform,2000,96,4.0,1.0,2.0,7,49,1.5,4.0,2,0.3519276355983939,0.3309054745180155,0.37294979667877226,1.0319469529193674,0.9842093455257054,1.0796845603130296,2.779364898480166,2.4297131629880364,3.1290166339722956,0.14558746650811127,0.14058753942863256,0.15058739358758996,1.0458024303132059,1.0036367134778545,1.0879681471485572,0.7235621532846823,0.7053548114184159,0.7417694951509487,0.3504113724616515,0.34608400200821454,0.35473874291508845,599.5,566.75,632.25,319.5,307.25,331.75,0.0003633720930232558,0.0003547203765227021,0.00037202380952380956,0.0009114583333333333,0.0008463541666666667,0.0009765625,73.21664564943254,72.05447667087012,74.37881462799496,73.21664564943254,72.05447667087012,74.37881462799496,0.046875,0.04427083333333333,0.04947916666666667,10.5,10.25,10.75
smoke,b4_h4_w2_n7_a1.5,abf,2000,96,4.0,4.0,2.0,7,49,1.5,16.0,2,0.43663791339238167,0.4119128061028453,0.4613630206819181,1.5555090694157792,1.4938606631806526,1.617157475650906,4.5635533980795255,4.3097592207914515,4.8173475753676,0.24303436408612938,0.23604886629044786,0.25001986188181097,1.452624152898908,1.350777099071096,1.5544712067267195,1.3147686505543472,1.3042338347710514,1.3253034663376428,0.46745496644861856,0.45678387731410197,0.47812605558313515,540.5,520.25,560.75,258.5,249.25,267.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
smoke,b4_h4_w2_n7_a1.5,fr_estimated,2000,96,4.0,4.0,2.0,7,49,1.5,16.0,2,0.43555681012145,0.43299606876806346,0.43811755147483655,1.5808702637986323,1.5621436611651673,1.5995968664320972,4.065525919475271,3.9503719588236157,4.180679880126927,0.23870904670459062,0.22893049460404596,0.24848759880513527,1.3783747286918673,1.3386169480051642,1.4181325093785706,1.273504577151377,1.263851080908847,1.2831580733939072,0.38213937367318584,0.3531477831012308,0.41113096424514095,601.0,583.5,618.5,341.5,309.75,373.25,0.0002595514950166113,0.00021629291251384276,0.00030281007751937984,0.0009114583333333333,0.0008463541666666667,0.0009765625,78.9178519593614,74.90507982583455,82.93062409288824,78.9178519593614,74.90507982583455,82.93062409288824,0.036458333333333336,0.028645833333333332,0.044270833333333336,7.5,6.25,8.75
smoke,b4_h4_w2_n7_a1.5,fr_oracle,2000,96,4.0,4.0,2.0,7,49,1.5,16.0,2,0.4729770557752868,0.4499298929016901,0.4960242186488835,1.5989373732365304,1.567549716283508,1.6303250301895529,4.272732070067299,4.155549617280796,4.389914522853803,0.22636554874372963,0.2202618610718249,0.23246923641563436,1.404810560849245,1.3363795060172996,1.4732416156811903,1.3552481544160195,1.2893564163663216,1.4211398924657175,0.2831771980494491,0.2753683081658642,0.290986087933034,671.5,596.75,746.25,416.5,381.75,451.25,0.0008478682170542636,0.0008219130675526025,0.0008738233665559246,0.0018229166666666667,0.0016927083333333334,0.001953125,50.54327499400623,49.02421481659074,52.06233517142172,50.54327499400623,49.02421481659074,52.06233517142172,0.05729166666666667,0.0546875,0.059895833333333336,24.5,23.75,25.25
smoke,b4_h4_w2_n7_a1.5,fr_uniform,2000,96,4.0,4.0,2.0,7,49,1.5,16.0,2,0.45280590286699585,0.4262469685251857,0.47936483720880596,1.5685749559471476,1.5557002528658306,1.5814496590284643,4.0665876795320735,3.935019778034235,4.198155581029911,0.25898644633235424,0.2582497438493439,0.2597231488153646,1.4671279889848086,1.4088594265542653,1.5253965514153518,1.2792166711168473,1.278868135062472,1.2795652071712227,0.4029462784724632,0.3670361666935212,0.43885639025140527,622.0,597.5,646.5,374.5,327.75,421.25,0.00031146179401993354,0.00029415836101882615,0.000328765227021041,0.0009114583333333333,0.0008463541666666667,0.0009765625,75.62227602905568,74.38256658595641,76.86198547215497,75.62227602905568,74.38256658595641,76.86198547215497,0.041666666666666664,0.041666666666666664,0.041666666666666664,9.0,8.5,9.5
