study,stage,name,beta,h,n_dim,a,opes_barrier,opes_pace,opes_sigma,opes_gamma,n_seeds,n_nan,l2_f_common_mean,l2_f_common_std,l2_f_common_sem,l2_f_common_ci95,l2_fp_common_mean,l2_fp_common_std,l2_fp_common_sem,l2_fp_common_ci95,l2_f_native_mean,l2_f_native_std,l2_f_native_sem,l2_f_native_ci95,l2_fp_native_mean,l2_fp_native_std,l2_fp_native_sem,l2_fp_native_ci95,integrated_l2_f_mean,integrated_l2_f_std,integrated_l2_f_sem,integrated_l2_f_ci95,normalized_anytime_l2_f_mean,normalized_anytime_l2_f_std,normalized_anytime_l2_f_sem,normalized_anytime_l2_f_ci95,tau_abs_mean,tau_abs_std,tau_abs_sem,tau_abs_ci95,tau_rel_mean,tau_rel_std,tau_rel_sem,tau_rel_ci95,marginal_kl_mean,marginal_kl_std,marginal_kl_sem,marginal_kl_ci95,marginal_tv_mean,marginal_tv_std,marginal_tv_sem,marginal_tv_ci95,covered_fraction_mean,covered_fraction_std,covered_fraction_sem,covered_fraction_ci95,n_round_trips_mean,n_round_trips_std,n_round_trips_sem,n_round_trips_ci95,first_passage_step_mean,first_passage_step_std,first_passage_step_sem,first_passage_step_ci95,opes_neff_frac_min_mean,opes_neff_frac_min_std,opes_neff_frac_min_sem,opes_neff_frac_min_ci95,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_sem,runtime_seconds_ci95
opes_closure_meta,pilot_sigma_ref,opes,4.0,None,None,None,8.0,200,0.12,32.0,5,0,0.11688665479912819,0.014783319074748981,0.006611301276841603,0.01295815050260954,1.0218029305644851,0.38323474625422804,0.17138778879286734,0.33592006603401997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.15017461776733,0.22613510422318162,0.10113069302840677,0.19821615833567727
opes_closure_meta,representative,opes,4.0,None,None,None,8.0,200,0.045,32.0,5,0,0.05713594610468521,0.0030381565359145282,0.001358704908118033,0.002663061619911345,0.3106705464724124,0.009532837831172588,0.004263214681796714,0.00835590077632156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.36410875320435,0.12244848516324922,0.05476062731337993,0.10733082953422467
opes_closure_meta,tune_confirm_100k,opes,4.0,None,None,None,6.0,100,0.03,24.0,2,0,0.06506932776557625,0.0027331234389838628,0.0019326101175253863,0.003787915830349757,0.38904869208820536,0.013053160149645785,0.009229978057728544,0.018090756993147945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.65900325775146,2.0049238977892885,1.4176952838897703,2.7786827564239496
opes_closure_meta,tune_confirm_100k,opes,4.0,None,None,None,6.0,100,0.045,24.0,2,0,0.06794869100548029,0.0036894533791903346,0.002608837503297108,0.005113321506462332,0.36680207320893665,0.05141390211628707,0.03635511883368797,0.07125603291402842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.09300148487091,2.5038668884183486,1.7705012559890747,3.4701824617385864
opes_closure_meta,tune_confirm_100k,opes,4.0,None,None,None,6.0,100,0.06,24.0,2,0,0.07084450800053951,0.00010632383410235196,7.518230409552656e-05,0.00014735731602723206,0.3449696037266966,0.006770333746731784,0.004787348903210169,0.009383203850291932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.9932177066803,2.0826329083745225,1.4726438522338865,2.8863819503784174
opes_closure_meta,tune_confirm_100k,opes,4.0,None,None,None,6.0,200,0.03,24.0,2,0,0.061296010701812224,0.00016684007712790505,0.00011797374991082826,0.0002312285498252234,0.34133635108395255,0.009974224773063685,0.007052841974112184,0.01382357026925988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.2109146118164,1.831431959278197,1.295017957687378,2.5382351970672605
opes_closure_meta,tune_confirm_100k,opes,4.0,None,None,None,6.0,200,0.045,24.0,2,0,0.06125384010114056,0.00033019424687890357,0.0002334825910768577,0.0004576258785106411,0.31922700641776697,0.006742620326744291,0.004767752556007142,0.009344795009773999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.2751898765564,1.7729223554762215,1.253645420074463,2.457145023345947
opes_closure_meta,tune_confirm_100k,opes,4.0,None,None,None,6.0,200,0.06,24.0,2,0,0.06443013239545162,0.002602975437079607,0.0018405815828210074,0.0036075399023291744,0.31845150725012694,0.017891383283699117,0.012651118444711285,0.024796192151634117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.21004617214203,1.5697632502983112,1.1099902391433716,2.175580868721008
opes_closure_meta,tune_confirm_100k,opes,4.0,None,None,None,8.0,100,0.03,32.0,2,0,0.058129526954125633,0.002378902069288774,0.001682137784972802,0.003296990058546692,0.34833117228002264,0.006976499184665933,0.004933129882419701,0.009668934569542613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.73769581317902,1.7239047277210815,1.2189847230911255,2.389210057258606
opes_closure_meta,tune_confirm_100k,opes,4.0,None,None,None,8.0,100,0.045,32.0,2,0,0.06060511553409294,0.0033758662736542333,0.0023870979344798693,0.004678711951580544,0.3232020989878496,0.01405142703413392,0.00993585934118407,0.01947428430872078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.88750302791595,1.2924750878476823,0.9139178991317748,1.7912790822982785
