stage,method,name,n_seeds,l2_legacy_pct,l2_fixed_pct,rel_change_pct,nyq_power_frac
control,abf,abf,6,4.518143121807933,4.518143122662607,1.891650174894172e-08,1.89875830404574e-12
control,fr_estimated,fr_estimated,6,4.532840860740784,4.532840861601925,1.899782796954503e-08,1.773424175003401e-12
control,opes,opes,6,6.170386693499949,6.170386735844238,6.862501627227852e-07,5.362024739358159e-09
production,abf,abf,6,5.142996393444559,5.143000425920981,7.840714076452212e-05,4.1005458488944114e-07
production,fr_estimated,fr_active,6,5.3654242387967885,5.365426771766954,4.7209131129446285e-05,3.174190213180342e-07
production,fr_estimated,fr_estimated,6,5.1795386546291295,5.179542141885666,6.732755115287593e-05,3.7958034940665947e-07
production,opes,opes,6,14.156969613877743,14.156967788272858,-1.289544962367868e-05,5.8839859706878046e-08
