molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,final_l2_Fp,integrated_l2_F,integrated_l2_Fp,early_l2_F,mid_l2_F,n_transitions,n_round_trips,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_n_unique_ancestor,fr_score_std,fr_score_absmax,final_frac_T,final_frac_Gp,final_frac_Gm,marginal_l2_uniform,marginal_tv_uniform,marginal_l2_boltzmann,marginal_kl_boltzmann,cell,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_application,final_neff_frac,final_n_kernels,final_l2_F_reweight,cond_tv_weighted,cond_kl_weighted,cond_basin_err_weighted,cond_support_fraction,basin_T_T,basin_T_G+,basin_T_G-,basin_G+_T,basin_G+_G+,basin_G+_G-,basin_G-_T,basin_G-_G+,basin_G-_G-,n_basins_visited
butane,abf,abf,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__abf__trans__b1__s2.3__N96__T1800__ns2__7515bf088ad8,44.59689647145569,0,0.2157061602862219,0.2874738748472746,0.6393408546305676,1.645669278943898,0.18627592017406647,0.18627592017406647,4186,0,0,,,,96,0.0,0.0,0.3229166865348816,0.3541666865348816,0.3229166865348816,0.07717070342696751,0.20877767192472627,0.2685971546133259,1.52321180338213,butane_b1_s2.3_dec_trans,,,,,,,,,,,,,,,,,,,,,
butane,abf,abf,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__abf__trans__b1__s2.3__N96__T1800__ns2__7515bf088ad8,44.59689647145569,1,0.2423341622811936,0.2845334745938176,0.6452413354935331,1.6169927273903997,0.18758207138610386,0.18758207138610386,4222,0,0,,,,96,0.0,0.0,0.375,0.21875,0.40625,0.10221102505817091,0.25967870018927786,0.28185702788386235,1.5477562894527794,butane_b1_s2.3_dec_trans,,,,,,,,,,,,,,,,,,,,,
butane,fr_estimated,fr_estimated,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__fr_estimated__trans__b1__s2.3__N96__T1800__ns2__8ef3f55039b4,44.342366765253246,0,0.21570616028660888,0.28747387484768067,0.6393408546306523,1.645669278943986,0.1862759201740827,0.1862759201740827,4186,0,0,95.99999999999999,95.99999999999999,0.010416666666666666,96,0.3854675434815099,1.6195989979310328,0.3229166865348816,0.3541666865348816,0.3229166865348816,0.07717070342696751,0.20877767192472627,0.2685971546133259,1.52321180338213,butane_b1_s2.3_dec_trans,0.0,0.0,161.0,0.0,,,,,,,,,,,,,,,,,
butane,fr_estimated,fr_estimated,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__fr_estimated__trans__b1__s2.3__N96__T1800__ns2__8ef3f55039b4,44.342366765253246,1,0.24233416227463833,0.28453347458931066,0.6452413354922104,1.6169927273895062,0.187582071386078,0.187582071386078,4222,0,0,95.99999999999999,95.99999999999999,0.010416666666666666,96,0.39335107670434244,1.606709863004986,0.375,0.21875,0.40625,0.10221102505817091,0.25967870018927786,0.28185702788386235,1.5477562894527794,butane_b1_s2.3_dec_trans,0.0,0.0,161.0,0.0,,,,,,,,,,,,,,,,,
butane,fr_oracle,fr_oracle,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__fr_oracle__trans__b1__s2.3__N96__T1800__ns2__d9a98e40075b,43.80278740171343,0,0.21570616028538875,0.2874738748464932,0.6393408546303875,1.6456692789437268,0.1862759201740366,0.1862759201740366,4186,0,0,95.99999999999999,95.99999999999999,0.010416666666666666,96,0.3369792610940558,1.6451120878390604,0.3229166865348816,0.3541666865348816,0.3229166865348816,0.07717070342696751,0.20877767192472627,0.2685971546133259,1.52321180338213,butane_b1_s2.3_dec_trans,0.0,0.0,161.0,0.0,,,,,,,,,,,,,,,,,
butane,fr_oracle,fr_oracle,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__fr_oracle__trans__b1__s2.3__N96__T1800__ns2__d9a98e40075b,43.80278740171343,1,0.24233416229719376,0.28453347460844025,0.6452413354968877,1.6169927273934168,0.18758207138644728,0.18758207138644728,4222,0,0,95.99999999999999,95.99999999999999,0.010416666666666666,96,0.3684831113627401,1.6315699170107378,0.375,0.21875,0.40625,0.10221102505817091,0.25967870018927786,0.28185702788386235,1.5477562894527794,butane_b1_s2.3_dec_trans,0.0,0.0,161.0,0.0,,,,,,,,,,,,,,,,,
butane,fr_uniform,fr_uniform,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__fr_uniform__trans__b1__s2.3__N96__T1800__ns2__6198f67d5069,43.670876236632466,0,0.2157061602872647,0.28747387484823833,0.639340854630795,1.6456692789441063,0.18627592017410863,0.18627592017410863,4186,0,0,95.99999999999999,95.99999999999999,0.010416666666666666,96,0.38711051536340946,1.6287041408470504,0.3229166865348816,0.3541666865348816,0.3229166865348816,0.07717070342696751,0.20877767192472627,0.2685971546133259,1.52321180338213,butane_b1_s2.3_dec_trans,0.0,0.0,161.0,0.0,,,,,,,,,,,,,,,,,
butane,fr_uniform,fr_uniform,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__fr_uniform__trans__b1__s2.3__N96__T1800__ns2__6198f67d5069,43.670876236632466,1,0.24233416227275736,0.2845334745848191,0.6452413354917121,1.6169927273885047,0.18758207138580668,0.18758207138580668,4222,0,0,95.99999999999999,95.99999999999999,0.010416666666666666,96,0.3972500994179669,1.5888738860239662,0.375,0.21875,0.40625,0.10221102505817091,0.25967870018927786,0.28185702788386235,1.5477562894527794,butane_b1_s2.3_dec_trans,0.0,0.0,161.0,0.0,,,,,,,,,,,,,,,,,
butane,opes,opes,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__opes__trans__b1__s2.3__N96__T1800__ns2__75f0c41d21e6,30.735791572369635,0,0.25377755387944956,0.6030746292869451,0.7403047504448844,1.875936845999647,0.39277222050517824,0.39277222050517824,496,0,0,,,,96,,,0.1979166716337204,0.6458333730697632,0.15625,0.2527825845261464,0.5463614247647947,0.2952192370118398,0.7625388026064642,butane_b1_s2.3_dec_trans,,,,,0.5055488728751075,138.0,3.168709165484434,,,,,,,,,,,,,,
butane,opes,opes,trans,1.0,2.3,True,smoke,1800,96,smoke__butane__opes__trans__b1__s2.3__N96__T1800__ns2__75f0c41d21e6,30.735791572369635,1,0.2108621591163103,0.6560638464806425,0.7106747695289183,1.8982750441907204,0.3460013272533154,0.3460013272533154,351,0,0,,,,96,,,0.15625,0.6041666865348816,0.2395833432674408,0.2451801530093053,0.5182900939047845,0.30571107227987543,0.6958761892789381,butane_b1_s2.3_dec_trans,,,,,0.457489037015324,143.0,3.009711464411047,,,,,,,,,,,,,,
pentane,abf,abf,trans,1.0,2.3,False,smoke,1800,96,smoke__pentane__abf__trans__b1__s2.3__N96__T1800__ns2__14d6fce059c5,51.10263262223452,0,0.39314556006831947,0.4615597669644337,0.6787539151052011,1.684688830349763,0.1903260725884902,0.1903260725884902,4671,0,0,,,,96,0.0,0.0,0.3333333432674408,0.34375,0.3229166865348816,0.06086531916103934,0.1642538458629814,0.2824421000314213,1.6645266002999644,pentane_b1_s2.3_full_trans,,,,,,,,0.25485125205488096,0.23119812462812406,0.24975353845904374,1.0,0.34275256730502357,0.021423119622536776,0.0351443241742992,0.2671818623369414,0.0002168331945600888,0.003530044407438246,0.31992436858173745,0.003850957535387177,0.005975922842076048,9.0
pentane,abf,abf,trans,1.0,2.3,False,smoke,1800,96,smoke__pentane__abf__trans__b1__s2.3__N96__T1800__ns2__14d6fce059c5,51.10263262223452,1,0.5041556332183074,0.5598363756252569,0.8264330949712642,1.8126441280285688,0.4691876350644299,0.4691876350644299,4445,0,0,,,,96,0.0,0.0,0.3020833432674408,0.3229166865348816,0.375,0.08102991272654601,0.19624258415333296,0.2933525739882628,1.9132505394590427,pentane_b1_s2.3_full_trans,,,,,,,,0.28962711584836054,0.2854504162159998,0.28427749374791184,1.0,0.3003226477935054,0.01828337496530669,0.006999375520399667,0.307729669719678,0.011526852622814322,0.0041545240077713015,0.34780911740216486,0.001743338884263114,0.0014310990840965862,9.0
pentane,fr_estimated,fr_estimated,trans,1.0,2.3,False,smoke,1800,96,smoke__pentane__fr_estimated__trans__b1__s2.3__N96__T1800__ns2__f25ba8de64da,51.57577240373939,0,0.39009961832169404,0.46237768186221134,0.678144726755928,1.68485241332935,0.19032607258860565,0.19032607258860565,4706,0,1,94.0408163265306,94.0408163265306,0.020833333333333332,95,0.34269187607913104,1.6185412919450903,0.34375,0.3333333432674408,0.3229166865348816,0.0600401751785703,0.16166022007994799,0.28266240183826785,1.681145162250107,pentane_b1_s2.3_full_trans,6.469979296066253e-05,6.510416666666667e-05,161.0,0.006211180124223602,,,,0.2502090466734931,0.22621445615420455,0.2449759819103347,1.0,0.3404975020815987,0.021423119622536776,0.038604981959478216,0.26523036358590063,0.0002168331945600888,0.004284623924507355,0.319915695253955,0.003850957535387177,0.005975922842076048,9.0
