cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
butane_b1_s2.3_dec_trans,fr_estimated,final_l2_F,2,0.22902016128370772,0.2290201612806236,-3.0841301734696458e-12,-6.5552563377480055e-12,3.8699599080871394e-13,-1.2628197549793367e-11,-2.7050483827953168e-11,1.7940887283664336e-12,0.5
butane_b1_s2.3_dec_trans,fr_oracle,final_l2_F,2,0.22902016128370772,0.22902016129129127,7.58351714758021e-12,-8.331391132543331e-13,1.6000173408414753e-11,3.1081434612235157e-11,-3.862379786227873e-12,6.602524901069819e-11,0.5
butane_b1_s2.3_dec_trans,fr_uniform,final_l2_F,2,0.22902016128370772,0.22902016128001101,-3.696709605094384e-12,-8.436223941643561e-12,1.042804731454794e-12,-1.4988991568944726e-11,-3.481235935631126e-11,4.834376218421809e-12,0.5
butane_b1_s2.3_dec_trans,opes,final_l2_F,2,0.22902016128370772,0.23231985649787992,0.0032996952141721853,-0.0314720031648833,0.03807139359322767,0.023313140969986948,-0.12987027032682505,0.17649655226679895,0.5
pentane_b1_s2.3_full_trans,fr_estimated,final_l2_F,2,0.4486505966433134,0.44422249745137343,-0.00442809919194001,-0.005810256637254596,-0.0030459417466254246,-0.009636173257797361,-0.011524728187929744,-0.007747618327664979,1.0
pentane_b1_s2.3_full_trans,fr_oracle,final_l2_F,2,0.4486505966433134,0.44557768145522697,-0.0030729151880864447,-0.0064510047230194045,0.0003051743468465151,-0.007901687534413157,-0.016408692805530783,0.0006053177367044708,0.5
pentane_b1_s2.3_full_trans,fr_uniform,final_l2_F,2,0.4486505966433134,0.44422249745014464,-0.004428099193168777,-0.005810256637927835,-0.0030459417484097195,-0.009636173260734307,-0.011524728189265124,-0.007747618332203488,1.0
pentane_b1_s2.3_full_trans,opes,final_l2_F,2,0.4486505966433134,0.36505091785109006,-0.08359967879222335,-0.11995627806563341,-0.04724307951881329,-0.17905095272973975,-0.23793501482842788,-0.12016689063105165,1.0
butane_b1_s2.3_dec_trans,fr_estimated,integrated_l2_F,2,0.6422910950620504,0.6422910950614313,-6.19004847379756e-13,-1.3227197115384115e-12,8.471001677889944e-14,-9.587326767611917e-13,-2.0499612141659952e-12,1.3249586064361195e-13,0.5
butane_b1_s2.3_dec_trans,fr_oracle,integrated_l2_F,2,0.6422910950620504,0.6422910950636376,1.587230347155355e-12,-1.800781745942004e-13,3.3545388689049105e-12,2.4586139922757443e-12,-2.8166223586361543e-13,5.198890220415104e-12,0.5
butane_b1_s2.3_dec_trans,fr_uniform,integrated_l2_F,2,0.6422910950620504,0.6422910950612536,-7.967515536222436e-13,-1.8209878049901818e-12,2.274846977456946e-13,-1.2331848271061147e-12,-2.8221809497020863e-12,3.55811295489857e-13,0.5
butane_b1_s2.3_dec_trans,opes,integrated_l2_F,2,0.6422910950620504,0.7254897599869014,0.083198664924851,0.06543343403538515,0.10096389581431686,0.12966398546530855,0.10140924090880869,0.15791873002180842,0.0
pentane_b1_s2.3_full_trans,fr_estimated,integrated_l2_F,2,0.7525935050382326,0.7517078851998534,-0.0008856198383792036,-0.0011620513274852584,-0.0006091883492731487,-0.0011518072136118488,-0.0014061045407743067,-0.0008975098864493911,1.0
pentane_b1_s2.3_full_trans,fr_oracle,integrated_l2_F,2,0.7525935050382326,0.7519789220006525,-0.0006145830375801076,-0.0012902009445141527,6.103486935393754e-05,-0.0009134921012703289,-0.0019008375727957052,7.385337025504742e-05,0.5
pentane_b1_s2.3_full_trans,fr_uniform,integrated_l2_F,2,0.7525935050382326,0.7517078851995703,-0.0008856198386623104,-0.001162051327666891,-0.0006091883496577299,-0.0011518072140050378,-0.0014061045409940855,-0.0008975098870159901,1.0
pentane_b1_s2.3_full_trans,opes,integrated_l2_F,2,0.7525935050382326,0.7440032973399764,-0.008590207698256247,-0.12054692411042289,0.1033665087139104,0.0032122658675468457,-0.14586410544777909,0.15228863718287278,0.5
butane_b1_s2.3_dec_trans,fr_estimated,final_l2_Fp,2,0.2860036747205461,0.28600367471849564,-2.050443148604586e-12,-4.506950368465823e-12,4.06064071256651e-13,-7.213632231334877e-12,-1.5839789588552513e-11,1.4125251258827589e-12,0.5
butane_b1_s2.3_dec_trans,fr_oracle,final_l2_Fp,2,0.2860036747205461,0.28600367472746674,6.9206307351521446e-12,-7.813749647311852e-13,1.4622636435035474e-11,2.4336773928766862e-11,-2.7180729558340003e-12,5.1391620813367725e-11,0.5
butane_b1_s2.3_dec_trans,fr_uniform,final_l2_Fp,2,0.2860036747205461,0.2860036747165287,-4.01739752575736e-12,-8.998524148040588e-12,9.637290965258671e-13,-1.4136565966406445e-11,-3.162553777156211e-11,3.3524058387492243e-12,0.5
butane_b1_s2.3_dec_trans,opes,final_l2_Fp,2,0.2860036747205461,0.6295692378837938,0.3435655631632477,0.3156007544396705,0.3715303718868249,1.201797141500226,1.0978415155371555,1.3057527674632965,0.0
pentane_b1_s2.3_full_trans,fr_estimated,final_l2_Fp,2,0.5106980712948452,0.5074379532215939,-0.0032601180732513557,-0.007338151044280372,0.0008179148977776607,-0.005667801945021149,-0.013107671033495654,0.001772067143453356,0.5
pentane_b1_s2.3_full_trans,fr_oracle,final_l2_Fp,2,0.5106980712948452,0.5108897361418675,0.00019166484702223818,6.3152553164747e-05,0.00032017714087972937,0.0003543681075688419,0.00013682421581084932,0.0005719119993268344,0.0
pentane_b1_s2.3_full_trans,fr_uniform,final_l2_Fp,2,0.5106980712948452,0.5074379532202153,-0.003260118074629892,-0.007338151044878449,0.0008179148956186655,-0.005667801947894106,-0.01310767103456396,0.001772067138775749,0.5
