cell,kind,molecule,beta,init_mode,stage,name,method,n_replicas_med,final_l2_F_med,integrated_l2_F_med,final_l2_Fp_med,integrated_l2_Fp_med,early_l2_F_med,mid_l2_F_med,low_support_fraction_med,median_support_med,n_transitions_med,n_round_trips_med,fd_compact_med,fd_intermediate_med,fd_extended_med,total_replacements_med,final_ancestor_ess_med,min_ancestor_ess_med,final_max_ancestor_frac_med,final_frac_compact_med,final_frac_extended_med,dist_cond_tv_weighted_med,dist_cond_kl_weighted_med,dist_cond_basin_err_weighted_med,dist_cond_support_fraction_med,final_quarter_decrease_med,norm_final_l2_F_med,n_seeds
resgate_dist_pentane_b2_trans_g128,dist,pentane,2.0,trans,resgate,abf,abf,768.0,2.182854779812471,63.067061335969086,11.72188525676133,277.42426612756435,4.4492765720786025,3.12718521157478,0.14893617021276595,1946006.7581735048,1639528.0,3068.5,3395.5,937.0,0.0,0.0,,,,0.2311197966337204,0.0644531287252903,0.08786084326887891,0.39059848699406563,0.042619481084032435,0.8333333333333334,0.1493146549598682,0.22535556662244954,2
resgate_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,resgate,abf,abf,768.0,2.1068596055748667,62.1495648222466,12.311642339126742,289.3814372690278,4.481350841000955,3.065305592813144,0.18085106382978722,1546346.4902317887,1546044.0,3347.5,3394.5,795.5,0.0,0.0,,,,0.2005208358168602,0.0683593787252903,0.08691714500410327,0.3585385466468453,0.036928412329424405,0.8333333333333334,0.156127461772375,0.21179147941087506,4
screen_dist_pentane_b1_dispersed_g256,dist,pentane,1.0,dispersed,screen,abf,abf,1024.0,0.6660373865349927,29.915007717872626,6.44100407237286,302.85749552444287,1.0600295427986164,0.6600370024153533,0.0,4543776.162487607,3710302.5,5760.5,0.0,0.0,0.0,0.0,,,,0.095703125,0.46240234375,0.058846107591779814,0.04897239234719057,0.028216964691648867,0.8333333333333334,-0.007021582027039185,0.0676564236117995,8
screen_dist_pentane_b1_trans_g256,dist,pentane,1.0,trans,screen,abf,abf,1024.0,0.7441469502318154,35.761739163413715,6.242512923837793,269.51632076175974,2.00087627029325,0.7376872047306862,0.0,4889828.989396444,4471163.5,9808.0,813.0,74.0,0.0,0.0,,,,0.0986328125,0.375,0.06555383675359444,0.06046237361323004,0.03360645765363666,0.8333333333333334,0.0001391660983029873,0.07559083365610325,8
screen_dist_pentane_b2_dispersed_g256,dist,pentane,2.0,dispersed,screen,abf,abf,1024.0,1.5819038679053803,75.84453399662937,10.868300899868007,490.7387077551305,1.801908154736871,1.861579178153947,0.010638297872340425,3547851.103974702,1812356.5,262.5,0.0,0.0,0.0,0.0,,,,0.04931640625,0.7353515625,0.09474680084771422,0.1984561961633899,0.05732688972819738,0.8333333333333334,0.0703685940084591,0.15902044900521528,8
screen_dist_pentane_b2_trans_g256,dist,pentane,2.0,trans,screen,abf,abf,1024.0,1.4281486134393326,98.39427574560045,10.13026407975734,491.37229536400855,4.456049538354319,2.197657973305054,0.22340425531914893,5555139.800782533,4862822.5,9223.0,3518.0,1050.5,0.0,0.0,,,,0.20849609375,0.10791015625,0.07134164573300028,0.2742127343534819,0.026304596301719718,0.8333333333333334,0.15732155348088472,0.14356424455552458,8
