cell,name,final_l2_F,integrated_l2_F,n_transitions,n_round_trips,final_ancestor_ess,dist_cond_tv_weighted,low_support_fraction
resgate_dist_pentane_b2_trans_g128,abf,2.182854779812471,63.067061335969086,1639528.0,3068.5,,0.08786084326887891,0.14893617021276595
resgate_dist_pentane_b2_trans_g256,abf,2.1068596055748667,62.1495648222466,1546044.0,3347.5,,0.08691714500410327,0.18085106382978722
screen_dist_pentane_b1_dispersed_g256,abf,0.6660373865349927,29.915007717872626,3710302.5,5760.5,,0.058846107591779814,0.0
screen_dist_pentane_b1_trans_g256,abf,0.7441469502318154,35.761739163413715,4471163.5,9808.0,,0.06555383675359444,0.0
screen_dist_pentane_b2_dispersed_g256,abf,1.5819038679053803,75.84453399662937,1812356.5,262.5,,0.09474680084771422,0.010638297872340425
screen_dist_pentane_b2_trans_g256,abf,1.4281486134393326,98.39427574560045,4862822.5,9223.0,,0.07134164573300028,0.22340425531914893
