cell,name,final_l2_F,integrated_l2_F,n_transitions,n_round_trips,final_ancestor_ess,n_basins_visited,basin_occupancy_tv,cond_tv_weighted
screen_joint2d_pentane_b1_dispersed_g48,abf,0.5036196110442273,15.519093832466147,4158557.5,734023.5,,9.0,0.24475682418823136,0.42605784088006926
screen_joint2d_pentane_b1_trans_g48,abf,0.49654698070182246,14.94522462915151,4142035.0,712624.5,,9.0,0.2520464339222258,0.42623633278976586
screen_joint2d_pentane_b2_dispersed_g48,abf,0.7240193090555671,21.230843437126254,1055518.0,250597.5,,9.0,0.3171068946914146,0.34893894749501053
screen_joint2d_pentane_b2_trans_g48,abf,0.7318374337776017,20.859919854091185,1063810.0,270050.5,,9.0,0.21525913313450779,0.3031104755319352
screen_joint2d_pentane_b3_trans_g48,abf,1.0352952647287186,39.391550528118714,117045.0,41332.0,,9.0,0.6432513480455002,0.5722398523293278
