cell,kind,molecule,beta,init_mode,stage,name,method,n_replicas_med,final_l2_F_med,integrated_l2_F_med,final_l2_F_eqw_med,early_l2_F_med,mid_l2_F_med,meanforce_vec_err_med,basin_occupancy_tv_med,n_basins_visited_med,n_transitions_med,n_round_trips_med,total_replacements_med,final_ancestor_ess_med,min_ancestor_ess_med,final_max_ancestor_frac_med,gram_lam_min_min_med,curl_pre_final_med,cond_tv_weighted_med,cond_kl_weighted_med,cond_basin_err_weighted_med,cond_support_fraction_med,final_quarter_decrease_med,norm_final_l2_F_med,n_seeds
screen_joint2d_pentane_b1_dispersed_g48,joint2d,pentane,1.0,dispersed,screen,abf,abf,2048.0,0.5036196110442273,15.519093832466147,0.45261959999824153,0.5721475083023688,0.5179231626610395,1.9619658822868562,0.24475682418823136,9.0,4158557.5,734023.5,0.0,,,,1.5887765800455496,1.929440230659929,0.42605784088006926,0.9620392148623493,0.19279406645685182,1.0,0.0066585478042140425,0.05036778171912238,4
screen_joint2d_pentane_b1_trans_g48,joint2d,pentane,1.0,trans,screen,abf,abf,2048.0,0.49654698070182246,14.94522462915151,0.485369573768947,0.5147461204632732,0.5057280854463089,1.9051454156514014,0.2520464339222258,9.0,4142035.0,712624.5,0.0,,,,1.6095293444790966,1.7313850092207246,0.42623633278976586,0.9972646171358648,0.1914657521342295,1.0,0.005222777140179467,0.04966043694252074,4
screen_joint2d_pentane_b2_dispersed_g48,joint2d,pentane,2.0,dispersed,screen,abf,abf,2048.0,0.7240193090555671,21.230843437126254,0.39442504491216623,0.952709900485498,0.74302247884295,3.212971950508331,0.3171068946914146,9.0,1055518.0,250597.5,0.0,,,,1.9549245572229816,11.189720453125489,0.34893894749501053,0.8717747263526171,0.22024985732485114,1.0,0.0063396204786321155,0.07242399134673205,4
screen_joint2d_pentane_b2_trans_g48,joint2d,pentane,2.0,trans,screen,abf,abf,2048.0,0.7318374337776017,20.859919854091185,0.5113035909662262,0.887511064045488,0.7394723123862279,3.118947942749813,0.21525913313450779,9.0,1063810.0,270050.5,0.0,,,,1.9664272410827814,11.040068823267386,0.3031104755319352,0.8253233351484055,0.12768682861799432,1.0,0.0023822482937496765,0.07320604203258307,4
screen_joint2d_pentane_b3_trans_g48,joint2d,pentane,3.0,trans,screen,abf,abf,2048.0,1.0352952647287186,39.391550528118714,0.43190042396187067,1.8103929574852282,1.0173555669200902,4.465810499414364,0.6432513480455002,9.0,117045.0,41332.0,0.0,,,,2.1884761871518124,8.414991498741504,0.5722398523293278,1.241472079195147,,,-0.005072592918579121,0.10356697388243803,4
