gamma,init,arm,n_seeds,int_l2_f_pct,int_l2_f_ci_lo,int_l2_f_ci_hi,int_l2_f_wins,int_l2_f_verdict,int_l2_f_abf,int_l2_f_arm,int_l2_fp_pct,int_l2_fp_ci_lo,int_l2_fp_ci_hi,int_l2_fp_wins,int_l2_fp_verdict,int_l2_fp_abf,int_l2_fp_arm,integrated_deficit_pct,integrated_deficit_ci_lo,integrated_deficit_ci_hi,integrated_deficit_wins,integrated_deficit_verdict,integrated_deficit_abf,integrated_deficit_arm,T_est_pct,T_est_ci_lo,T_est_ci_hi,T_est_wins,T_est_verdict,T_est_abf,T_est_arm,T_hit_pct,T_hit_ci_lo,T_hit_ci_hi,T_hit_wins,T_hit_verdict,T_hit_abf,T_hit_arm,min_ess_frac,final_ess_frac,max_wmax,repl_fraction,n_die,n_clone,health_ok
0.5,left,sham,16,0.7522971325291548,-3.470786190044705,4.452706611512939,8,equivalent,1.102277313106237,1.0866379939418818,-0.7290685470940277,-7.024671999915243,6.988145285289661,9,equivalent,6.374211875825588,6.325016691473126,0.48493385692945434,-3.8473669819250205,7.787785017090872,7,equivalent,7.343505216835295,7.365676301372789,-0.01753565583352812,-4.545454545454549,3.9708886618998935,8,equivalent,18.0,18.0,0.0,-12.499999999999996,12.504960317460242,7,inconclusive,1.7000000000000002,1.6,0.7257297158287257,0.9151056936150979,0.00244140625,0.00018479003906249998,1827.0,1970.5,True
0.5,left,fr_oracle,16,-14.400793472017233,-16.39846671490572,-4.993140078569229,15,improvement,1.102277313106237,0.94414816110863,-4.630329685735271,-10.592648118512315,-1.3289773091043886,13,improvement,6.374211875825588,6.0255146360803025,-76.88599031644483,-77.74688166486378,-74.62647666875044,16,improvement,7.343505216835295,1.700640690256323,-67.7615862398471,-68.47826086956522,-65.90909090909092,16,improvement,18.0,5.800000000000001,0.0,-9.999999999999998,12.698412698412696,5,inconclusive,1.7000000000000002,1.7000000000000002,0.628071268321529,0.9163312796383105,0.00537109375,0.00018479003906249998,1827.0,1970.5,True
0.5,left,fr_estimated,16,-10.535217336621631,-15.416737572766035,-5.938654067557752,15,improvement,1.102277313106237,0.9666958529745219,-11.855965996636426,-17.376881736248208,-8.68753954520634,14,improvement,6.374211875825588,5.526196476991862,-52.78402810655438,-53.89890635821105,-50.702351892157274,16,improvement,7.343505216835295,3.542834713024436,-63.47732727043071,-64.8936170212766,-61.460674157303366,16,improvement,18.0,6.6000000000000005,-11.805555555555554,-22.222222222222218,0.0,9,inconclusive,1.7000000000000002,1.6,0.6781531309277107,0.8626790227464195,0.0048828125,0.00026799316406250003,2971.0,2521.0,True
0.5,one_right,sham,16,2.194160371659821,-3.0115432811590517,14.333681138314233,7,inconclusive,0.9244283694997824,0.9551831144253331,16.492146462132567,-7.744506753170251,26.632295428224165,6,inconclusive,4.536398259655743,5.665847896317418,-2.521319207812463,-9.854452833682254,6.195489155219724,10,equivalent,9.625180488893804,9.307242706162246,1.0638297872340388,-2.2222222222222143,4.3956043956043995,7,equivalent,18.1,18.3,-100.0,-100.0,-100.0,1,improvement,0.0,0.0,0.7236763574051017,0.9167412712623098,0.00244140625,0.000186669921875,1817.5,1988.5,True
0.5,one_right,fr_oracle,16,-8.4088109923063,-11.117650865113774,-3.971519958341272,13,improvement,0.9244283694997824,0.8395844330164101,-0.46689505604327375,-10.76442171235579,8.28434256042094,8,inconclusive,4.536398259655743,4.893025662522431,-62.6976695932631,-66.12290090790427,-61.497782232024385,16,improvement,9.625180488893804,3.5189353311823712,-67.4053724053724,-68.5042735042735,-66.66666666666667,16,improvement,18.1,5.800000000000001,-100.0,-100.0,-100.0,1,improvement,0.0,0.0,0.6263055513990723,0.9146942423081833,0.005126953125,0.000186669921875,1817.5,1988.5,True
0.5,one_right,fr_estimated,16,-6.001821499464664,-13.318717951571376,4.645877148768288,11,inconclusive,0.9244283694997824,0.8486649039327236,-6.3973825092762375,-17.333651180500514,5.1188418066237364,11,inconclusive,4.536398259655743,4.5108451258496025,-42.829072184668675,-47.338702747103824,-40.82891896371224,16,improvement,9.625180488893804,5.347970725967346,-63.48484848484848,-64.8936170212766,-62.98534798534797,16,improvement,18.1,6.5,-100.0,-100.0,-100.0,1,improvement,0.0,0.0,0.6804094854323796,0.8681646324808441,0.00439453125,0.0002661865234375,2943.0,2508.5,True
1.5,left,sham,16,4.62494409582218,-1.4094426249594005,9.500893439158766,7,equivalent,1.0693291458092498,1.118917970049139,6.05011401025892,-4.273717405786398,9.751572048597586,5,equivalent,6.226793502127461,6.447670723567084,-2.8493111885907236,-4.838687855317677,1.5885904090221932,10,equivalent,7.706762596000249,7.482619268083838,0.0,-4.39560439560438,3.448275862068953,5,equivalent,18.5,18.200000000000003,0.0,-11.111111111111109,12.499999999999996,6,inconclusive,1.8,1.8,0.6093468269087767,0.8169138143909983,0.003173828125,0.0003872314453125,3685.0,4234.5,True
1.5,left,fr_oracle,16,-12.798915594788866,-20.65585853851564,-8.049639601665605,16,improvement,1.0693291458092498,0.9101334264417427,-7.57354260050006,-13.627784986112733,-1.7794483782070383,12,improvement,6.226793502127461,5.7887971797960205,-88.31293214647883,-88.96509824868522,-87.46641386639679,16,improvement,7.706762596000249,0.8885624734656261,-79.44664031620553,-80.0,-78.72134163220007,16,improvement,18.5,3.8000000000000003,-11.111111111111109,-22.222222222222218,0.0,10,inconclusive,1.8,1.6,0.32690248416018153,0.8165889990028693,0.012451171875,0.0003872314453125,3685.0,4234.5,True
1.5,left,fr_estimated,16,-14.178885861428192,-17.716852990483844,-10.606609286057434,14,improvement,1.0693291458092498,0.9190068566332072,-17.8629220124253,-23.249965888601565,-12.892234963976398,16,improvement,6.226793502127461,5.106116645625937,-58.32196344513714,-64.30271583767774,-55.17667413331826,16,improvement,7.706762596000249,3.1208469524910027,-76.88259109311741,-77.41935483870968,-76.0615020697812,16,improvement,18.5,4.4,-24.747474747474747,-29.999999999999993,0.0,11,inconclusive,1.8,1.4000000000000001,0.39986143029309446,0.7420293751466998,0.01220703125,0.0005521728515625001,6162.0,5161.5,True
1.5,one_right,sham,16,2.979254746855286,-5.079967376594062,13.600347737830974,7,inconclusive,0.9109193972928522,0.9566333465931545,6.45147322070863,-14.098654659811439,25.933835729636954,7,inconclusive,5.193947003141986,5.5399755232736325,3.2694077349117703,-7.819607035629783,14.135007276751791,7,inconclusive,9.114453987969803,9.048053998158208,1.1779379157427896,-1.6702586206896592,3.5714285714285796,6,equivalent,17.700000000000003,17.9,-100.0,-100.0,-99.99999999999999,4,improvement,0.0,0.0,0.5995334655352378,0.8098073870608233,0.0029296875,0.0003927734375,3750.0,4294.0,True
