gamma,init,arm,n_seeds,int_l2_f_pct,int_l2_f_ci_lo,int_l2_f_ci_hi,int_l2_f_wins,int_l2_f_verdict,int_l2_f_abf,int_l2_f_arm,int_l2_fp_pct,int_l2_fp_ci_lo,int_l2_fp_ci_hi,int_l2_fp_wins,int_l2_fp_verdict,int_l2_fp_abf,int_l2_fp_arm,integrated_deficit_pct,integrated_deficit_ci_lo,integrated_deficit_ci_hi,integrated_deficit_wins,integrated_deficit_verdict,integrated_deficit_abf,integrated_deficit_arm,T_est_pct,T_est_ci_lo,T_est_ci_hi,T_est_wins,T_est_verdict,T_est_abf,T_est_arm,T_hit_pct,T_hit_ci_lo,T_hit_ci_hi,T_hit_wins,T_hit_verdict,T_hit_abf,T_hit_arm,min_ess_frac,final_ess_frac,max_wmax,repl_fraction,n_die,n_clone,health_ok
1.5,one_right,fr_oracle,16,-13.19817799060284,-20.953025006458585,-7.844452932479067,14,improvement,0.9109193972928522,0.7707714274747337,-11.97812094438138,-25.4771573504086,5.380222025718256,11,inconclusive,5.193947003141986,4.5573646351008374,-73.43065808774051,-74.45923171841861,-70.99673747123366,16,improvement,9.114453987969803,2.454811750932221,-78.53038815117466,-79.7752808988764,-78.16091954022988,16,improvement,17.700000000000003,3.7,-100.0,-100.0,14.285714285714281,3,inconclusive,0.0,0.0,0.26598615662957537,0.8088467614533965,0.01513671875,0.0003927734375,3750.0,4294.0,False
1.5,one_right,fr_estimated,16,-6.502566316195786,-14.61741241306348,-1.2545771117787172,16,improvement,0.9109193972928522,0.831752367844268,-21.072475485186246,-29.602713168726762,-1.1513014109301272,12,improvement,5.193947003141986,4.319348675328284,-53.91199007344481,-58.488797152542304,-47.31920504051688,16,improvement,9.114453987969803,4.318135793477502,-75.84312239484653,-76.24022482893452,-74.9967712772827,16,improvement,17.700000000000003,4.2,-75.0,-100.0,-25.000000000000007,4,improvement,0.0,0.0,0.37000914212120717,0.7515621633268692,0.01220703125,0.0005547363281249999,6130.0,5184.5,True
5.0,left,sham,16,-1.1338811904828288,-11.07503914158229,6.406651934564256,9,inconclusive,1.0638571918187965,1.0715936501588263,4.338956950399317,-3.1956988829478483,10.67711720800148,6,inconclusive,6.192394482031357,6.516006169708372,-4.09513832171013,-6.015530218944284,0.1962755477358458,11,equivalent,7.597760586690363,7.324023751590702,-2.7420948616600787,-6.741573033707861,2.3809523809523725,9,equivalent,17.1,17.1,11.805555555555554,-5.5555555555555545,28.571428571428562,4,inconclusive,1.6,1.6,0.47805830659785187,0.6303478590375142,0.00390625,0.0009409423828125,8516.0,10751.0,True
5.0,left,fr_oracle,16,-23.560068558511897,-27.681103732350536,-19.805800156538794,16,improvement,1.0638571918187965,0.8193525432141928,-15.074789653784144,-16.895009113764594,-10.345870265618302,16,improvement,6.192394482031357,5.338105924536356,-94.4917397790984,-94.86147436984959,-93.67703880566818,16,improvement,7.597760586690363,0.4257387924891405,-85.96443228454172,-86.81318681318682,-85.71428571428571,16,improvement,17.1,2.4,-25.000000000000007,-30.952380952380956,0.0,11,inconclusive,1.6,1.2,0.10088541191246983,0.6270667483159829,0.039794921875,0.0009409423828125,8516.0,10751.0,False
5.0,left,fr_estimated,16,-18.984227311242563,-26.567664595758682,-15.955159502310725,16,improvement,1.0638571918187965,0.8612016136297809,-25.94835022925721,-29.2383146877077,-21.99248426284509,16,improvement,6.192394482031357,4.682767337324311,-65.93580071465087,-67.8013233156698,-63.745947136722265,16,improvement,7.597760586690363,2.6812852188414142,-84.30735930735929,-85.1063829787234,-83.33333333333333,16,improvement,17.1,2.8000000000000003,-23.611111111111114,-37.5,-8.333333333333332,12,improvement,1.6,1.2,0.08417971587799677,0.6179863346979211,0.043701171875,0.0010837646484375,12012.0,10218.5,False
5.0,one_right,sham,16,2.3010539654664948,-7.109716201171655,6.50950379958683,7,equivalent,0.9496009636708667,0.9315870237661592,-8.254385205359824,-16.90421248012075,11.510725187902057,10,inconclusive,5.465287624452608,5.407616793703772,-8.64112434089607,-13.532623783336907,2.5187398149680993,11,inconclusive,9.330547063033983,8.677243658686482,0.0,-2.2988505747126555,10.000000000000004,7,inconclusive,17.9,17.8,nan,nan,nan,0,undetermined,0.0,0.0,0.4471616573218774,0.6374120633779132,0.00390625,0.0009663818359375,8761.5,11016.0,True
5.0,one_right,fr_oracle,16,-19.811437191765734,-27.282614376073006,-10.737746562405077,14,improvement,0.9496009636708667,0.7450977673666708,-15.953271908947412,-25.34517185980874,-9.76815343702308,13,improvement,5.465287624452608,4.521246121235235,-81.87965462779853,-84.56429425371779,-79.87500190502837,16,improvement,9.330547063033983,1.650605656369068,-87.70911360799002,-87.91208791208791,-86.41975308641976,16,improvement,17.9,2.2,nan,nan,nan,0,undetermined,0.0,0.0,0.11906809061008952,0.6226844867266585,0.030029296875,0.0009663818359375,8761.5,11016.0,False
5.0,one_right,fr_estimated,16,-21.371003194723542,-25.609131250593556,-16.15055842823159,14,improvement,0.9496009636708667,0.7468957228629116,-27.72550322712439,-33.995334942445,-22.123531586880564,15,improvement,5.465287624452608,3.8330626689088345,-58.379596030641835,-61.429987328187856,-56.750327534452076,16,improvement,9.330547063033983,3.8144631573399566,-85.71428571428572,-86.20689655172414,-85.05747126436782,16,improvement,17.9,2.6,nan,nan,nan,0,undetermined,0.0,0.0,0.09790901755514289,0.612257592624767,0.03955078125,0.0010706542968750002,11827.5,10107.0,False
15.0,left,sham,16,-4.017447592696764,-7.444427703951728,1.721759910450187,11,equivalent,1.1341613994513051,1.0873361428428856,-2.448960375256596,-7.401723348948358,3.510972491229544,11,equivalent,6.428105691513718,6.24332804377172,-2.4733300363334676,-6.668705539363817,3.5264965325344075,10,equivalent,7.712290081385024,7.563649860786118,-1.156107992515376,-3.8530465949820845,7.142857142857135,10,equivalent,17.9,18.2,11.250000000000004,0.0,31.249999999999996,3,inconclusive,1.6,2.0,0.4115068385197262,0.4321610116662214,0.00537109375,0.00218271484375,18205.5,26456.5,True
15.0,left,fr_oracle,16,-33.51143058713414,-36.08595270346696,-28.640257264647765,16,improvement,1.1341613994513051,0.7523094163294515,-20.127750938261336,-23.37778305398825,-17.766302281733363,16,improvement,6.428105691513718,5.081306726817891,-97.49155701688932,-97.71358204122171,-96.78358664347412,16,improvement,7.712290081385024,0.1924910898266819,-90.96016343207354,-91.48936170212765,-90.80459770114943,16,improvement,17.9,1.6,-30.952380952380956,-37.5,-25.000000000000007,16,improvement,1.6,1.2,0.016935322184848306,0.4204477061893993,0.133544921875,0.00218271484375,18205.5,26456.5,False
15.0,left,fr_estimated,16,-30.161932342327557,-31.779129831995977,-25.2954104292891,16,improvement,1.1341613994513051,0.7870137524307451,-33.58456336056936,-35.2451347705161,-30.56915870090519,16,improvement,6.428105691513718,4.300016579984057,-68.07796806029336,-71.11895525614428,-65.88327757960764,16,improvement,7.712290081385024,2.4115961556727736,-89.44829292429489,-89.77272727272727,-88.88888888888889,16,improvement,17.9,1.9,-30.952380952380956,-37.5,-25.000000000000007,16,improvement,1.6,1.2,0.034274460972228964,0.4614714732279217,0.100830078125,0.0019999755859375,21930.0,18990.0,False
15.0,one_right,sham,16,3.3750266601701475,-8.24486849569394,11.700831889036767,7,inconclusive,0.9349264434914977,0.9389282010861397,0.11766308274759399,-14.895856024745502,13.422628483569184,8,inconclusive,5.344067108725886,4.938548632049542,-0.13887194399834893,-7.163876625568717,4.051573399986203,9,equivalent,9.526859400528723,9.223514299793585,0.08752188047011811,-6.587009803921566,10.204081632653061,8,inconclusive,18.6,18.1,-60.0,-100.0,-19.999999999999996,2,improvement,0.0,0.0,0.3520907540096774,0.4385451841629695,0.005859375,0.0021919189453125,18288.0,26570.5,True
15.0,one_right,fr_oracle,16,-25.815655759887584,-32.687200464512145,-21.12744770113477,16,improvement,0.9349264434914977,0.6636311833770195,-11.939535934571223,-22.018541091668517,-4.425926611592702,12,improvement,5.344067108725886,4.607370568500904,-89.1879645120928,-89.96804390270441,-88.26734211207949,16,improvement,9.526859400528723,1.0174206365830916,-92.85714285714286,-93.54838709677419,-92.4731182795699,16,improvement,18.6,1.3,-100.0,-100.0,-100.0,2,improvement,0.0,0.0,0.0033642203470128844,0.4153479916755094,0.35595703125,0.0021919189453125,18288.0,26570.5,False
15.0,one_right,fr_estimated,16,-26.04752391954637,-28.34394100452826,-21.567031907616244,16,improvement,0.9349264434914977,0.6875142847875394,-30.34217175257199,-34.15683777297856,-24.41144166686666,16,improvement,5.344067108725886,3.7240315939563158,-65.49306258271628,-68.71225729105313,-60.15787544482965,16,improvement,9.526859400528723,3.3376228788330486,-91.06117353308363,-91.57894736842104,-90.1098901098901,16,improvement,18.6,1.6,-100.0,-100.0,-100.0,2,improvement,0.0,0.0,0.015011454261900146,0.46609021945766227,0.16162109375,0.0020023193359375,22053.0,19007.0,False
