stage,physics_tag,n_steps,n_replicas,method,beta,h,M,beta_h,n_seeds,n_wins,win_rate,median_gain_pct_F,q25_gain_pct_F,q75_gain_pct_F,R_final_median,abf_final_l2_f_median,abf_final_l2_fp_median,abf_neff_transition_ratio_median,abf_neff_transition_min_ratio_median,abf_transition_mf_err_median,abf_marginal_tv_ref_median,abf_barrier_crossings_median,fr_final_l2_f_median,fr_event_fraction_median,fr_max_event_fraction_median,fr_final_ess_median,fr_ess_fraction_median,fr_max_anc_frac_median,fr_barrier_crossings_median,fr_transition_mf_err_median,crossing_ratio_fr_over_abf,regime
production,b1_h1_w2_n10_a1.5,120000,1024,fr_estimated,1.0,1.0,100,1.0,4,4,1.0,49.86585996225365,45.03476896210529,54.06956261963688,2.0053282333661713,0.10058660895784502,0.35085222489503554,0.9866937925516408,0.8388838455824148,0.42411385431334453,0.20176491442939734,1555470.5,0.05034550802157437,0.00011159110013249337,0.0001513671875,170.96999250638225,0.16696288330701392,0.01806640625,1579374.0,0.30934491112553586,1.015367375980451,starved
production,b1_h1_w2_n10_a1.5,120000,1024,fr_oracle,1.0,1.0,100,1.0,4,4,1.0,49.37474303615244,46.932980372247435,50.50096222897631,1.9761693231624708,0.10058660895784502,0.35085222489503554,0.9866937925516408,0.8388838455824148,0.42411385431334453,0.20176491442939734,1555470.5,0.05214535171849303,8.776416647917603e-05,0.0001181640625,195.78209455007692,0.1911934517090595,0.01904296875,1573050.0,0.32277305843880333,1.0113017251050405,starved
production,b1_h1_w2_n10_a1.5,120000,1024,fr_uniform,1.0,1.0,100,1.0,4,4,1.0,48.49088013460302,45.59741641083578,52.134685311122965,1.9438163861249116,0.10058660895784502,0.35085222489503554,0.9866937925516408,0.8388838455824148,0.42411385431334453,0.20176491442939734,1555470.5,0.0518456744728405,0.0001123723110719464,0.000154296875,179.701614270385,0.17548985768592285,0.0166015625,1586460.0,0.3201434904122145,1.0199229107848717,starved
production,b1_h2_w2_n10_a1.5,120000,1024,fr_estimated,1.0,2.0,100,2.0,4,4,1.0,47.960380859067826,47.63414298060269,48.702594729017406,1.9216757767264956,0.09181023541365235,0.3340198871572159,0.9863664788768556,0.8407533141579001,0.42040783181479824,0.2985242357808007,1558930.0,0.04744002515559946,0.00010534141261686916,0.00014160156250000002,166.18422469735526,0.162289281931011,0.0224609375,1583807.5,0.34768215596690766,1.015958060977722,starved
production,b1_h2_w2_n10_a1.5,120000,1024,fr_oracle,1.0,2.0,100,2.0,4,4,1.0,47.67528893327771,45.75223765582607,50.25134494482707,1.912797813921891,0.09181023541365235,0.3340198871572159,0.9863664788768556,0.8407533141579001,0.42040783181479824,0.2985242357808007,1558930.0,0.048022445147203226,9.008338645567722e-05,0.0001240234375,208.5967992805011,0.20370781179736436,0.0146484375,1572143.5,0.3434443197262493,1.0084760059784597,starved
production,b1_h2_w2_n10_a1.5,120000,1024,fr_uniform,1.0,2.0,100,2.0,4,4,1.0,56.08412358818979,54.252510976071875,57.60886248833152,2.279458509634721,0.09181023541365235,0.3340198871572159,0.9863664788768556,0.8407533141579001,0.42040783181479824,0.2985242357808007,1558930.0,0.040868286544850134,0.00010727002712364382,0.000142578125,179.80082997700464,0.1755867480244186,0.015625,1583643.5,0.32946259749272455,1.0158528606159354,starved
production,b1_h4_w2_n10_a1.5,120000,1024,fr_estimated,1.0,4.0,100,4.0,4,4,1.0,51.27007532460806,45.47669075701022,57.020293492606136,2.0637777771586916,0.09543206643553212,0.35335442307073994,0.9884386201916603,0.8421789852901278,0.39359030453611266,0.46136512588976303,1564284.0,0.046514086415676316,9.452652367381632e-05,0.0001240234375,190.70354098416163,0.18623392674234535,0.017578125,1584019.5,0.29867548286857926,1.012616315195962,starved
production,b1_h4_w2_n10_a1.5,120000,1024,fr_oracle,1.0,4.0,100,4.0,4,4,1.0,44.78893187495922,37.300385488484494,49.347770500036816,1.8223053216816096,0.09543206643553212,0.35335442307073994,0.9884386201916603,0.8421789852901278,0.39359030453611266,0.46136512588976303,1564284.0,0.053022450446503507,8.388252462376882e-05,0.000123046875,219.0589709959396,0.21392477636322227,0.013671875,1577683.5,0.31391723938455285,1.0085658997982463,starved
production,b1_h4_w2_n10_a1.5,120000,1024,fr_uniform,1.0,4.0,100,4.0,4,4,1.0,51.52667401050354,48.37305664755755,53.91515744173021,2.06429590585334,0.09543206643553212,0.35335442307073994,0.9884386201916603,0.8421789852901278,0.39359030453611266,0.46136512588976303,1564284.0,0.04626559404620419,9.457534935753213e-05,0.000140625,194.7129738768277,0.19014938855158955,0.015625,1589970.0,0.2917028692764199,1.0164202919674432,starved
production,b1_h6_w2_n10_a1.5,120000,1024,fr_estimated,1.0,6.0,100,6.0,4,4,1.0,46.82797246539407,41.819914929682625,48.26937739480657,1.8812727329263401,0.09596696852678943,0.3499021621533619,0.9904308158890605,0.850345646913136,0.38892656791512836,0.5260330700455754,1630360.0,0.05101317626893092,7.404414935503225e-05,0.00011425781249999999,238.13943666212555,0.23255804361535698,0.01513671875,1637053.0,0.276477959857663,1.0041052282931378,starved
