run_id,stage,method,physics_tag,beta,h,w,n_dim,M,a,beta_h,seed,n_steps,n_replicas,final_l2_f,final_l2_fp,integrated_l2_f,integrated_l2_fp,l2_f_transition,l2_fp_transition,neff_transition_mean,neff_transition_min,neff_compact,neff_stretched,neff_median_eval,neff_transition_ratio,neff_transition_min_ratio,transition_window_mean_force_error,marginal_l2_uniform,marginal_l2_ref,marginal_tv_ref,marginal_kl_ref,marginal_tv_uniform,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,total_replacement_events,score_std,score_max,score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,ess_fraction,had_nan
production__abf__b1_h4_w2_n10_a1.5__seed2__N1024__T120000__9bf0625fd6be,production,abf,b1_h4_w2_n10_a1.5,1.0,4.0,2.0,10,100,1.5,4.0,2,120000,1024,0.09596504669783451,0.3614259960428922,49.187651789960576,195.7974669725681,0.04389650127053365,0.41220759005704605,74201636.64285715,63250412.0,60590817.9,89860469.4,75091312.0,0.988152086660267,0.8423133158200778,0.41220759005704605,0.12289059139028781,0.7536991266722206,0.4457159566685033,0.8114832593135072,0.07161645603897947,783634,783032,1566666,783032,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h4_w2_n10_a1.5__seed3__N1024__T120000__14d2bf19bc11,production,abf,b1_h4_w2_n10_a1.5,1.0,4.0,2.0,10,100,1.5,4.0,3,120000,1024,0.0960965197221633,0.35622564612523505,49.30920721701041,202.81331803257837,0.04594909766432796,0.39364902891433085,74376790.71428572,62559632.0,59807479.8,90171636.2,75271596.0,0.9881123115057334,0.8311187130933161,0.39364902891433085,0.12552292322767505,0.7745405536842157,0.4599294926295422,0.8577238360236659,0.0751647590766344,785616,785020,1570636,785020,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h6_w2_n10_a1.5__seed0__N1024__T120000__087dbf682224,production,abf,b1_h6_w2_n10_a1.5,1.0,6.0,2.0,10,100,1.5,6.0,0,120000,1024,0.08642483279193833,0.3323572598461781,53.97435228128607,205.1952924282233,0.036698620688989686,0.34410339738110896,78181874.85714285,67562624.0,64659779.5,96165252.4,78839248.0,0.9916618542219333,0.8569668751787181,0.34410339738110896,0.15106810728236986,0.9463458513216891,0.5258433674392646,1.5087597770512287,0.08903294001094468,814338,813734,1628072,813734,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h6_w2_n10_a1.5__seed1__N1024__T120000__f3cd18297c52,production,abf,b1_h6_w2_n10_a1.5,1.0,6.0,2.0,10,100,1.5,6.0,1,120000,1024,0.0944299883366071,0.3496607624769877,51.885068234061436,210.83095049732742,0.04180419289600345,0.3906553372584799,78155806.21428572,67013156.0,64888131.6,96106171.8,78963576.0,0.989770349487284,0.848659083018226,0.3906553372584799,0.08004288791114272,0.9444692052737031,0.5262227726518862,1.515155882046566,0.047588903224286064,816608,816040,1632648,816040,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h6_w2_n10_a1.5__seed2__N1024__T120000__c0b8010ffec6,production,abf,b1_h6_w2_n10_a1.5,1.0,6.0,2.0,10,100,1.5,6.0,2,120000,1024,0.09924512969886726,0.35632692576202957,55.052461559903904,211.45255763736236,0.04397660475593731,0.392558195171101,77953143.07142857,67015612.0,64180041.1,97049907.2,78653848.0,0.9910912822908368,0.8520322108080459,0.392558195171101,0.09259980821029633,0.9347280056962872,0.520597416996634,1.5241692510002633,0.047912218169092226,813129,812545,1625674,812545,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h6_w2_n10_a1.5__seed3__N1024__T120000__5c2971a237e3,production,abf,b1_h6_w2_n10_a1.5,1.0,6.0,2.0,10,100,1.5,6.0,3,120000,1024,0.09750394871697178,0.3501435618297361,53.49759919777305,203.0959483249241,0.044509653232827864,0.38719779857177683,78409979.07142857,66401816.0,63379196.7,97384310.2,79246924.0,0.9894387707897478,0.8379103269673912,0.38719779857177683,0.13844705626341142,0.9951651095951793,0.5589903076609487,1.6611578998255354,0.08564156087879893,817644,817034,1634678,817034,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h1_w2_n10_a1.5__seed0__N1024__T120000__325f6f8cbd43,production,abf,b2_h1_w2_n10_a1.5,2.0,1.0,2.0,10,100,1.5,2.0,0,120000,1024,0.010397653294637816,0.07173710110919172,12.642946826135141,54.98337711056526,0.004460052223538986,0.04262863107448892,72732029.28571428,63806556.0,61694906.4,85918933.2,72689348.0,1.0005871738691932,0.8777978858745575,0.04262863107448892,0.07799581140465031,0.5621119882917718,0.3364117381845801,0.33102689079279934,0.03503727349322702,502403,501840,1004243,501840,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h1_w2_n10_a1.5__seed1__N1024__T120000__0d9d4bbdfbde,production,abf,b2_h1_w2_n10_a1.5,2.0,1.0,2.0,10,100,1.5,2.0,1,120000,1024,0.012789227074392739,0.0765595535582263,13.054727800240439,61.92314906190106,0.006449483371266444,0.056971645232584196,73376031.14285715,65228544.0,63126348.8,84257809.8,73408972.0,0.9995512693306364,0.8885636485959781,0.056971645232584196,0.09337302879973566,0.5023841443416253,0.30403522907414615,0.2571741183818681,0.05252424938182798,508750,508176,1016926,508176,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h1_w2_n10_a1.5__seed2__N1024__T120000__ead96b3960fe,production,abf,b2_h1_w2_n10_a1.5,2.0,1.0,2.0,10,100,1.5,2.0,2,120000,1024,0.01364225016584844,0.075910103415966,13.587611392709999,66.13046655811527,0.0062052089640265385,0.05295654512334254,73735874.07142857,63998952.0,61104216.9,86135433.8,73651860.0,1.0011406917819667,0.8689387070469096,0.05295654512334254,0.1011397623032084,0.5502919644181928,0.3331076587910411,0.32854984002242155,0.05873978635728483,511139,510573,1021712,510573,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h1_w2_n10_a1.5__seed3__N1024__T120000__94d150d843c2,production,abf,b2_h1_w2_n10_a1.5,2.0,1.0,2.0,10,100,1.5,2.0,3,120000,1024,0.013190709803829845,0.07927819668802348,13.580710290894837,61.211187485030365,0.0072372274693066965,0.05876311601303407,73473145.35714285,64496260.0,61952456.0,85705892.8,73630452.0,0.9978635654327214,0.8759454580015344,0.05876311601303407,0.11692655341987232,0.5135707991180555,0.3073017857442966,0.2727466182978007,0.0702226160038201,509200,508615,1017815,508615,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
