seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct,min_ess_uni,wmax_uni
700,28.7627,16.9633,-41.023,0.20285,0.04589,-77.380,0.2615,0.0137
701,24.7613,15.9257,-35.683,0.14597,0.03890,-73.349,0.2948,0.0117
702,22.4860,14.2818,-36.486,0.15333,0.05802,-62.160,0.2175,0.0273
703,22.8461,16.5164,-27.706,0.14041,0.04674,-66.713,0.2812,0.0146
704,24.0550,16.4450,-31.636,0.16542,0.04059,-75.464,0.2541,0.0146
705,24.5099,15.3419,-37.405,0.17593,0.04007,-77.225,0.2150,0.0244
706,20.8575,13.0750,-37.313,0.15712,0.03826,-75.651,0.2477,0.0195
707,22.4926,14.6375,-34.923,0.14662,0.04047,-72.394,0.2521,0.0156
708,25.0124,16.8304,-32.712,0.17589,0.04602,-73.839,0.2654,0.0186
709,21.1102,13.0398,-38.230,0.17801,0.03532,-80.157,0.2667,0.0127
710,24.3363,17.0524,-29.930,0.16372,0.05180,-68.359,0.2598,0.0186
711,23.8721,15.4294,-35.366,0.15809,0.03492,-77.910,0.2657,0.0176
712,25.1368,16.9335,-32.635,0.16386,0.04052,-75.272,0.2754,0.0137
713,26.2145,15.5266,-40.771,0.20417,0.03625,-82.245,0.2533,0.0156
714,20.2063,13.2776,-34.290,0.19100,0.04978,-73.939,0.1887,0.0361
715,23.1654,15.3581,-33.702,0.16374,0.04224,-74.201,0.2353,0.0195
