seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct,min_ess_uni,wmax_uni
760,27.2847,24.6952,-9.491,0.09539,0.08871,-7.004,0.4083,0.0088
761,27.7712,23.9095,-13.905,0.08689,0.06959,-19.912,0.4357,0.0098
762,24.3475,20.9140,-14.102,0.10494,0.09524,-9.242,0.4000,0.0098
763,23.0723,19.2650,-16.502,0.11010,0.08314,-24.490,0.4256,0.0078
764,18.8716,16.3876,-13.163,0.03969,0.03717,-6.359,0.4402,0.0078
765,23.8484,21.7032,-8.995,0.08079,0.08299,2.721,0.3801,0.0127
766,20.1466,15.9379,-20.891,0.08692,0.06500,-25.221,0.4200,0.0088
767,27.3594,25.5694,-6.543,0.06877,0.06372,-7.342,0.4391,0.0068
768,24.8521,19.8610,-20.083,0.12249,0.08890,-27.427,0.4169,0.0088
769,22.9867,20.9791,-8.734,0.09184,0.08771,-4.495,0.4527,0.0088
770,20.9030,17.3918,-16.797,0.06926,0.05410,-21.894,0.4317,0.0088
771,22.3873,18.8231,-15.921,0.06481,0.05220,-19.444,0.3945,0.0078
772,22.3507,18.0430,-19.273,0.09061,0.06786,-25.110,0.3954,0.0088
773,21.5077,17.6182,-18.084,0.09075,0.06314,-30.425,0.4093,0.0127
774,20.8672,17.9523,-13.969,0.05345,0.05499,2.881,0.4214,0.0098
775,26.0878,22.0248,-15.574,0.07275,0.05333,-26.698,0.4139,0.0088
