seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct,min_ess_uni,wmax_uni
720,25.8482,18.5327,-28.302,0.10974,0.04399,-59.912,0.3131,0.0117
721,27.9064,20.1205,-27.900,0.19112,0.10976,-42.570,0.3105,0.0186
722,23.3041,17.6324,-24.338,0.13915,0.09991,-28.199,0.3450,0.0117
723,25.2029,17.2218,-31.667,0.14955,0.06242,-58.263,0.3455,0.0117
724,23.6985,16.1575,-31.821,0.12934,0.06491,-49.813,0.3360,0.0127
725,25.2934,16.7680,-33.706,0.12404,0.04353,-64.903,0.2778,0.0137
726,25.7060,17.2734,-32.804,0.15242,0.05176,-66.042,0.3066,0.0176
727,24.0442,16.8789,-29.801,0.11652,0.06161,-47.120,0.3031,0.0146
728,22.1821,14.1375,-36.266,0.12492,0.04785,-61.693,0.3232,0.0156
729,23.7735,17.4196,-26.727,0.12030,0.07319,-39.159,0.3533,0.0088
730,26.4389,17.9748,-32.014,0.15092,0.06311,-58.181,0.3249,0.0127
731,23.1383,14.0503,-39.277,0.12362,0.03317,-73.171,0.3053,0.0176
732,23.0727,15.3556,-33.447,0.12875,0.05403,-58.036,0.3186,0.0117
733,26.2758,17.6675,-32.761,0.14631,0.08773,-40.039,0.3040,0.0205
734,27.9447,20.0672,-28.190,0.15104,0.08574,-43.235,0.3200,0.0127
735,25.0383,16.1580,-35.467,0.15505,0.07041,-54.587,0.3338,0.0127
