seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct,min_ess_uni,wmax_uni
740,26.2669,20.1716,-23.205,0.10016,0.05129,-48.792,0.3850,0.0098
741,22.5795,17.8566,-20.917,0.09917,0.06004,-39.454,0.4063,0.0088
742,24.4211,19.1889,-21.425,0.10238,0.07492,-26.822,0.4129,0.0088
743,25.6752,20.1140,-21.660,0.12975,0.09648,-25.645,0.3716,0.0107
744,22.9128,18.9533,-17.281,0.07329,0.05756,-21.462,0.3858,0.0107
745,21.6823,17.7530,-18.122,0.04558,0.06061,32.969,0.3502,0.0127
746,22.5943,16.9873,-24.816,0.07446,0.04371,-41.298,0.3529,0.0107
747,26.6205,20.5828,-22.681,0.09526,0.06802,-28.603,0.4031,0.0098
748,20.2524,15.4505,-23.711,0.06287,0.04078,-35.146,0.3773,0.0098
749,23.1654,16.8640,-27.202,0.10144,0.04043,-60.141,0.3882,0.0088
750,24.1972,20.3049,-16.086,0.07067,0.06105,-13.616,0.4163,0.0088
751,20.8455,16.5777,-20.473,0.08422,0.05699,-32.334,0.3691,0.0146
752,24.6535,20.3902,-17.293,0.11917,0.08934,-25.035,0.3858,0.0117
753,21.9736,16.3243,-25.710,0.09432,0.06461,-31.492,0.3787,0.0117
754,23.7698,19.4595,-18.134,0.07311,0.06910,-5.484,0.3726,0.0098
755,22.8270,18.0008,-21.143,0.09969,0.07203,-27.740,0.3894,0.0098
