seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct,min_ess_uni,wmax_uni
600,19.7415,19.6541,-0.443,0.09082,0.10548,16.144,0.4723,0.0088
601,23.8759,22.7842,-4.572,0.10478,0.10523,0.424,0.4867,0.0078
602,24.8333,24.0136,-3.301,0.09302,0.08938,-3.912,0.4900,0.0088
603,22.4446,23.5646,4.990,0.08462,0.11839,39.900,0.4571,0.0068
604,24.9799,24.2491,-2.926,0.10924,0.10461,-4.244,0.5029,0.0068
605,22.2429,21.7393,-2.264,0.11032,0.11241,1.892,0.4976,0.0068
606,27.2591,27.2651,0.022,0.12426,0.14424,16.081,0.4638,0.0059
607,23.0051,23.3301,1.413,0.06706,0.07142,6.490,0.4613,0.0088
608,20.0335,19.0211,-5.054,0.08573,0.08120,-5.289,0.4821,0.0098
609,17.3671,16.7477,-3.566,0.06308,0.06501,3.069,0.4839,0.0068
610,22.0833,22.2513,0.761,0.10181,0.11344,11.417,0.4900,0.0059
611,28.9693,29.1466,0.612,0.08029,0.10152,26.434,0.4697,0.0068
612,20.2356,20.6863,2.227,0.07238,0.09481,30.984,0.4693,0.0068
613,19.5101,19.5359,0.132,0.05635,0.06107,8.383,0.4966,0.0068
614,23.8283,23.7193,-0.458,0.09181,0.09655,5.159,0.4971,0.0068
615,22.7388,23.0847,1.521,0.06981,0.08721,24.919,0.4776,0.0068
