init,seed,ot_matched_vs_fr_uniform_dI_0.0175,ot_matched_vs_fr_uniform_dF_0.0175,fr_uniform_vs_abf_dI_0.0175,fr_uniform_vs_abf_dF_0.0175,ot_matched_vs_abf_dI_0.0175,ot_matched_vs_abf_dF_0.0175,ot_full_vs_abf_dI_0.0175,ot_full_vs_abf_dF_0.0175,ot_full_vs_ot_matched_dI_0.0175,ot_full_vs_ot_matched_dF_0.0175,ot_full_vs_fr_uniform_dI_0.0175,ot_full_vs_fr_uniform_dF_0.0175,ot_matched_vs_fr_uniform_dI_0.07,ot_matched_vs_fr_uniform_dF_0.07,fr_uniform_vs_abf_dI_0.07,fr_uniform_vs_abf_dF_0.07,ot_matched_vs_abf_dI_0.07,ot_matched_vs_abf_dF_0.07,ot_full_vs_abf_dI_0.07,ot_full_vs_abf_dF_0.07,ot_full_vs_ot_matched_dI_0.07,ot_full_vs_ot_matched_dF_0.07,ot_full_vs_fr_uniform_dI_0.07,ot_full_vs_fr_uniform_dF_0.07,ot_matched_vs_fr_uniform_dI_raw,ot_matched_vs_fr_uniform_dF_raw,fr_uniform_vs_abf_dI_raw,fr_uniform_vs_abf_dF_raw,ot_matched_vs_abf_dI_raw,ot_matched_vs_abf_dF_raw,ot_full_vs_abf_dI_raw,ot_full_vs_abf_dF_raw,ot_full_vs_ot_matched_dI_raw,ot_full_vs_ot_matched_dF_raw,ot_full_vs_fr_uniform_dI_raw,ot_full_vs_fr_uniform_dF_raw,dIFp_ot_matched_vs_fr,min_ess_frac_fr,wmax_fr,dfrozen_ot_matched_vs_fr
left,500,50.729,161.494,-37.492,-65.588,-5.782,-10.015,109.304,94.287,122.148,115.909,234.842,464.588,22.913,3.125,-21.138,18.667,-3.069,22.375,93.513,45.957,99.639,19.270,145.382,22.997,51.210,180.625,-38.447,-68.667,-6.926,-12.072,102.922,92.311,118.022,118.714,229.672,513.767,22.067,0.4116,0.0112,19.689
left,501,43.023,128.302,-22.275,-44.123,11.165,27.567,145.862,120.318,121.169,72.707,216.323,294.293,24.976,15.362,-6.059,10.603,17.404,27.594,123.491,37.632,90.361,7.867,137.905,24.438,44.460,132.329,-26.194,-46.646,6.620,23.958,137.580,120.300,122.828,77.722,221.896,312.900,11.816,0.4272,0.0093,67.457
left,502,65.112,247.943,-32.660,-64.960,11.187,21.918,178.405,143.813,150.393,99.980,313.429,595.818,30.286,12.265,-16.373,11.903,8.954,25.628,146.659,56.648,126.388,24.692,194.953,39.986,65.589,252.647,-33.518,-66.262,10.087,18.976,172.001,140.978,147.079,102.544,309.135,614.264,11.430,0.4710,0.0078,52.604
left,503,51.856,199.687,-25.167,-65.764,13.639,2.600,149.990,81.378,119.986,76.782,234.063,429.793,22.369,11.949,-2.030,15.977,19.885,29.835,131.159,38.242,92.818,6.475,135.949,19.198,48.669,228.639,-25.497,-69.852,10.763,-0.922,148.011,79.982,123.910,81.657,232.886,496.996,-4.182,0.4031,0.0093,80.649
left,504,39.805,159.895,-31.327,-57.475,-3.992,10.521,143.639,166.807,153.771,141.408,254.783,527.410,13.360,7.207,-12.516,20.935,-0.827,29.651,120.894,57.676,122.737,21.615,152.496,30.380,39.409,183.009,-33.924,-63.042,-7.884,4.596,129.943,159.338,149.623,147.944,247.998,601.704,-6.608,0.4448,0.0103,55.552
left,505,59.433,249.626,-33.025,-65.858,6.781,19.370,148.947,136.056,133.139,97.751,271.701,591.389,32.114,10.845,-19.642,6.746,6.164,18.323,119.441,38.609,106.699,17.145,173.078,29.850,56.139,286.965,-32.380,-69.631,5.581,17.517,143.772,136.903,130.885,101.591,260.502,680.088,1.310,0.3514,0.0161,80.326
left,506,65.439,217.284,-32.250,-64.628,12.085,12.231,164.653,122.402,136.118,98.165,290.631,528.745,32.910,12.712,-13.918,9.083,14.412,22.950,146.392,41.126,115.356,14.783,186.229,29.374,61.164,224.671,-33.730,-66.360,6.803,9.221,149.312,121.157,133.431,102.487,276.207,557.415,-1.834,0.4322,0.0093,66.848
left,507,86.574,296.768,-47.151,-75.731,-1.397,-3.709,127.497,104.158,130.720,112.021,330.463,741.232,36.326,6.345,-23.512,4.187,4.273,10.797,117.309,28.935,108.404,16.371,184.109,23.754,88.035,356.469,-48.115,-79.135,-2.438,-4.756,123.212,106.005,128.791,116.293,330.206,887.307,23.061,0.3326,0.0176,49.071
left,508,46.253,128.270,-31.459,-55.099,0.243,2.496,122.826,116.160,122.287,110.896,225.101,381.411,23.123,8.634,-12.659,14.004,7.537,23.847,114.955,45.013,99.890,17.090,146.112,27.201,46.321,137.617,-33.420,-57.961,-2.579,-0.108,113.550,114.971,119.204,115.203,220.742,411.360,2.154,0.4378,0.0107,41.998
left,509,57.629,199.203,-32.283,-69.751,6.741,-9.494,153.441,106.997,137.435,128.710,274.266,584.308,31.873,5.926,-19.284,3.252,6.443,9.371,121.444,29.551,108.039,18.452,174.348,25.472,57.147,233.625,-32.620,-73.237,5.886,-10.713,150.103,107.759,136.199,132.687,271.180,676.303,11.558,0.3507,0.0161,29.154
