sweep,method,target_mode,seed,beta,m,H,omega_out,omega_in,s,phi,B0,gamma,N,dt,n_steps,fr_every,target_ema_rate,score_clip,max_event_fraction,ess_window_steps,final_l2_f,final_l2_fp,int_l2_f,int_l2_fp,final_ess,final_cross,final_occ,final_denom0,n_die,n_clone,repl_fraction,n_fr_apply,score_std,delta_f_energetic,delta_f_entropic
main,abf,none,0,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03568357074215772,0.09172261497935942,1.8312232702388438,5.790822247469993,512.0,115945.0,0.0703125,9240113.299542356,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,1,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03690788200051863,0.08911942665032904,2.1493982093347492,6.359996044624348,512.0,110651.0,0.080078125,8804635.109803842,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,10,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03738830403774485,0.0942146590048363,2.068065023061947,6.9874131122063865,512.0,111319.0,0.072265625,8843803.397225112,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,11,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.037988622593795714,0.09999372007952063,2.1733828274151112,6.66415014773698,512.0,110468.0,0.09375,8855896.551949177,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,12,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03488765776727244,0.09212105386716724,2.048643491299587,6.586811032351835,512.0,111496.0,0.068359375,8861460.914067429,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,13,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.036340813437573415,0.08886533878013922,1.9818886188877682,6.104077582016224,512.0,111733.0,0.1015625,8950461.710853763,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,14,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.034344376377659185,0.09577607024034088,2.033196056255079,6.717054987901999,512.0,112750.0,0.10546875,8934769.834199604,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,15,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.0362302013203153,0.09117425861241801,2.093038925154808,6.9967239576855995,512.0,111761.0,0.076171875,8968352.558080098,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,16,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03536690280059031,0.0939811619602317,1.9889074572394354,6.606107884398076,512.0,113788.0,0.08203125,9116749.546500785,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,17,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03657652959660427,0.09600423830409585,2.0260463547394325,6.731543407215408,512.0,112734.0,0.078125,8990398.833785312,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,18,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03538634170962433,0.09266978493884095,2.0679413406533684,6.5848710825084495,512.0,111325.0,0.083984375,8829529.411314081,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,19,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03706983170978976,0.09730839316961903,2.1947969479654903,7.089197015083803,512.0,113313.0,0.072265625,8947047.174527153,0.0,0.0,0.0,0.0,0.0,1.5,0.5
