phi,method,x_center,med_emp_var,ref_var,med_emp_sqnorm,ref_sqnorm,med_abs_err,med_count
0.0,abf,-1.0,0.26547158138036836,0.25,0.5062436902804657,0.5,0.028684829604877005,14.5
0.0,abf,-0.5,0.2796414840354796,0.25,0.5512272384026342,0.5,0.04572915894593435,13.0
0.0,abf,0.0,0.24305232462857407,0.25,0.4833067766999063,0.5,0.0384354259680057,12.0
0.0,abf,0.5,0.2413640487149703,0.25,0.4687741743942886,0.5,0.032488215980797264,11.5
0.0,abf,1.0,0.23454735927989756,0.25,0.46897534926302537,0.5,0.03785019937712242,17.0
0.0,fr_estimated,-1.0,0.27240593036860794,0.25,0.5278751490964282,0.5,0.0678742118162702,15.0
0.0,fr_estimated,-0.5,0.2440901923321812,0.25,0.5230374747867139,0.5,0.04659370298237217,12.5
0.0,fr_estimated,0.0,0.2206623074723651,0.25,0.43985808941797144,0.5,0.05708781801311458,13.0
0.0,fr_estimated,0.5,0.2489131889493348,0.25,0.487832195916829,0.5,0.05861113521420436,13.0
0.0,fr_estimated,1.0,0.24386734255207415,0.25,0.4839958747096279,0.5,0.0632707711221065,12.0
0.0,fr_oracle,-1.0,0.2576238355484748,0.25,0.5197126320525616,0.5,0.06357587298802081,15.0
0.0,fr_oracle,-0.5,0.2487303147547137,0.25,0.47968878504236734,0.5,0.043473486842034045,11.0
0.0,fr_oracle,0.0,0.25877443068155437,0.25,0.5013269693545347,0.5,0.03868003971097807,11.5
0.0,fr_oracle,0.5,0.26566098457275295,0.25,0.5277717927120638,0.5,0.06999238055264462,12.0
0.0,fr_oracle,1.0,0.2296677535224526,0.25,0.4959637350475786,0.5,0.03465137012134563,14.0
0.0,fr_uniform,-1.0,0.21940360383433374,0.25,0.4656264557439106,0.5,0.04404700733109476,13.5
0.0,fr_uniform,-0.5,0.26624452786208563,0.25,0.5309226041405196,0.5,0.07259719071696029,13.5
0.0,fr_uniform,0.0,0.2571378278481279,0.25,0.4996960833446581,0.5,0.053025733293227045,13.0
0.0,fr_uniform,0.5,0.22358384805187265,0.25,0.46799447580602316,0.5,0.059840467096015815,12.0
0.0,fr_uniform,1.0,0.24044234205623877,0.25,0.47934205822803777,0.5,0.06747879750104561,13.0
0.25,abf,-1.0,0.2745389599493145,0.24971203933423083,0.5412446732323373,0.49942407866846167,0.05590074970365863,14.0
0.25,abf,-0.5,0.16054354877901625,0.1645640752231394,0.3259590502520736,0.3291281504462788,0.0256788817641498,11.0
0.25,abf,0.0,0.03378276924114977,0.033833820809153176,0.06609862395532605,0.06766764161830635,0.006539036732054228,10.0
0.25,abf,0.5,0.1716499141102435,0.1645640752231394,0.33829408083975515,0.3291281504462788,0.03590644736261543,13.5
0.25,abf,1.0,0.2527821194007902,0.24971203933423083,0.4971063208050197,0.49942407866846167,0.04492826793335439,15.0
0.25,fr_estimated,-1.0,0.2678713112819461,0.24971203933423083,0.5632728086983003,0.49942407866846167,0.04992958232518563,12.5
0.25,fr_estimated,-0.5,0.13557167302622547,0.1645640752231394,0.2628861546677058,0.3291281504462788,0.028992402196913916,14.0
0.25,fr_estimated,0.0,0.03232558281303052,0.033833820809153176,0.06347163716297494,0.06766764161830635,0.006021005598146044,12.5
0.25,fr_estimated,0.5,0.15595084645851903,0.1645640752231394,0.33339506870326524,0.3291281504462788,0.0356610141148289,13.0
0.25,fr_estimated,1.0,0.25705843533699496,0.24971203933423083,0.5190373010432392,0.49942407866846167,0.03900056797966123,13.0
0.25,fr_oracle,-1.0,0.2127997318287654,0.24971203933423083,0.4262973846930659,0.49942407866846167,0.04024608807368389,14.5
0.25,fr_oracle,-0.5,0.1812666281525135,0.1645640752231394,0.3588298256950142,0.3291281504462788,0.03592969436140789,12.0
0.25,fr_oracle,0.0,0.03456886759311975,0.033833820809153176,0.06428978003126994,0.06766764161830635,0.006622244082384135,10.0
0.25,fr_oracle,0.5,0.16068476021685052,0.1645640752231394,0.3183368437463723,0.3291281504462788,0.047198611516942754,12.0
0.25,fr_oracle,1.0,0.23811097297470263,0.24971203933423083,0.47049444818316505,0.49942407866846167,0.04300382403703466,14.0
0.25,fr_uniform,-1.0,0.2252472249707465,0.24971203933423083,0.49468005677346427,0.49942407866846167,0.0730868718455144,14.0
0.25,fr_uniform,-0.5,0.12934496482874663,0.1645640752231394,0.2596652089873367,0.3291281504462788,0.04482506285472711,13.0
0.25,fr_uniform,0.0,0.03088387041249858,0.033833820809153176,0.058703395657972515,0.06766764161830635,0.0071239994925589335,12.0
0.25,fr_uniform,0.5,0.14500327427645343,0.1645640752231394,0.31062727543634533,0.3291281504462788,0.02562685415711373,12.0
0.25,fr_uniform,1.0,0.20968314256913573,0.24971203933423083,0.42686214282908136,0.49942407866846167,0.04794953593770246,13.0
0.5,abf,-1.0,0.2553417927813776,0.2489317906738873,0.5226818374693838,0.4978635813477746,0.06168140049235965,11.5
0.5,abf,-0.5,0.06587378777533591,0.07190159133256235,0.1408233844161039,0.1438031826651247,0.02123970837768073,10.0
0.5,abf,0.0,0.005438136491310596,0.004578909722183545,0.010182871241613014,0.00915781944436709,0.0013617116555030375,11.5
0.5,abf,0.5,0.05808099132174609,0.07190159133256235,0.11495444817854929,0.1438031826651247,0.018380876121116555,12.0
0.5,abf,1.0,0.20886028913758367,0.2489317906738873,0.4466749764840511,0.4978635813477746,0.04766409281255794,14.0
0.5,fr_estimated,-1.0,0.24538457329268487,0.2489317906738873,0.49770190122838087,0.4978635813477746,0.05256539906066199,12.0
0.5,fr_estimated,-0.5,0.06670892489113246,0.07190159133256235,0.1321631603255734,0.1438031826651247,0.014337910881918131,14.5
0.5,fr_estimated,0.0,0.004600917523895682,0.004578909722183545,0.009296763214091373,0.00915781944436709,0.0011420867695641997,14.5
0.5,fr_estimated,0.5,0.06845763863517931,0.07190159133256235,0.1350229867089049,0.1438031826651247,0.013481413851617836,12.0
