phi,gamma,method,seed,final_l2_f,final_l2_fp,int_l2_f,final_ess,repl_fraction,score_std
0.9,1.0,abf,3,0.02769280628408473,0.13484097445113652,2.7721893464913276,512.0,0.0,0.0
0.9,1.0,abf,4,0.029124945746492395,0.13641041662952053,2.6887531336660766,512.0,0.0,0.0
0.9,1.0,abf,5,0.03388151616333303,0.13718113206156626,3.015674380322936,512.0,0.0,0.0
0.9,1.0,abf,6,0.02812476647237913,0.13419847859268091,2.7537643749409355,512.0,0.0,0.0
0.9,1.0,abf,7,0.02778680438505404,0.13463635629094242,3.0019755251212645,512.0,0.0,0.0
0.9,1.0,abf,8,0.029906490226367544,0.13205848014474678,2.9966377837478557,512.0,0.0,0.0
0.9,1.0,abf,9,0.034283236517034,0.14004287513877667,2.9006977391833324,512.0,0.0,0.0
0.9,30.0,abf,0,0.03131839876378759,0.1396882896499462,3.011267257416023,512.0,0.0,0.0
0.9,30.0,abf,1,0.03010518388417424,0.1370903023005563,2.7499026944200526,512.0,0.0,0.0
0.9,30.0,abf,10,0.03100849183180373,0.1373008575145901,2.8410136518807034,512.0,0.0,0.0
0.9,30.0,abf,11,0.036244019250786234,0.142735818028402,3.2519191202236035,512.0,0.0,0.0
0.9,30.0,abf,12,0.026663734204138773,0.13417518672424855,2.610070691929943,512.0,0.0,0.0
0.9,30.0,abf,13,0.026989225314747727,0.13777551694822007,2.725529472456596,512.0,0.0,0.0
0.9,30.0,abf,14,0.031516936405587254,0.1356206159186934,3.0379938304175966,512.0,0.0,0.0
0.9,30.0,abf,15,0.028388901009215484,0.13593604546290344,2.535291077375752,512.0,0.0,0.0
0.9,30.0,abf,16,0.03517178787777071,0.14068630410771352,3.2834810277227002,512.0,0.0,0.0
0.9,30.0,abf,17,0.03286208008670167,0.14012392369852608,3.1211423570592483,512.0,0.0,0.0
0.9,30.0,abf,18,0.0302563648906685,0.13974347689817743,2.8780902985516037,512.0,0.0,0.0
0.9,30.0,abf,19,0.030989560428818178,0.13759268106754766,3.025258571384945,512.0,0.0,0.0
0.9,30.0,abf,2,0.03520114540134343,0.14176251997810274,3.3445906105820393,512.0,0.0,0.0
0.9,30.0,abf,3,0.03484464310775688,0.13818934205275787,3.1785515207501795,512.0,0.0,0.0
0.9,30.0,abf,4,0.031249330830598644,0.1380335532344533,2.9091560148135827,512.0,0.0,0.0
0.9,30.0,abf,5,0.02844514929849603,0.13383017167073463,2.752695525789072,512.0,0.0,0.0
0.9,30.0,abf,6,0.02788519461290729,0.13518893377153593,2.7228216621419388,512.0,0.0,0.0
0.9,30.0,abf,7,0.029352594317532933,0.13577210786950863,2.82813765415132,512.0,0.0,0.0
0.9,30.0,abf,8,0.034327825502426614,0.13760736727849773,3.120071673868641,512.0,0.0,0.0
0.9,30.0,abf,9,0.03210724419275008,0.13782087832011358,2.88413142633544,512.0,0.0,0.0
0.9,50.0,abf,0,0.03098902763575383,0.13649382066977836,2.7687260987567255,512.0,0.0,0.0
0.9,50.0,abf,1,0.03135199786619459,0.13557070983919936,3.0101893499503127,512.0,0.0,0.0
0.9,50.0,abf,10,0.02913124021279092,0.13403674984673813,2.67411008307632,512.0,0.0,0.0
0.9,50.0,abf,11,0.0306507098833752,0.13473755779833302,2.787761228272213,512.0,0.0,0.0
0.9,50.0,abf,12,0.03272748869960328,0.1431118993976289,2.933137952544373,512.0,0.0,0.0
0.9,50.0,abf,13,0.025598339125591372,0.13396012495789966,2.686266430662137,512.0,0.0,0.0
0.9,50.0,abf,14,0.032984541641672506,0.13962711841549774,3.143408402399322,512.0,0.0,0.0
0.9,50.0,abf,15,0.03015152056587796,0.13594498882411601,2.9507205848157945,512.0,0.0,0.0
0.9,50.0,abf,16,0.03356982795916742,0.1359837073492037,3.132054405421771,512.0,0.0,0.0
0.9,50.0,abf,17,0.03459420976357292,0.1393227387525836,2.9312245185463133,512.0,0.0,0.0
0.9,50.0,abf,18,0.03095729977901667,0.1381034486143678,2.9601143090517006,512.0,0.0,0.0
0.9,50.0,abf,19,0.03425586376939722,0.13438974885416166,3.12388563214222,512.0,0.0,0.0
0.9,50.0,abf,2,0.030590545628225385,0.1317583781207123,2.600305559471317,512.0,0.0,0.0
0.9,50.0,abf,3,0.03162164788899902,0.13898940245362387,3.0162857271219594,512.0,0.0,0.0
0.9,50.0,abf,4,0.03400396108318939,0.13665009939055436,2.9506464559507743,512.0,0.0,0.0
0.9,50.0,abf,5,0.0296950546948782,0.13374722609061382,2.6763090272829864,512.0,0.0,0.0
0.9,50.0,abf,6,0.030974269723819885,0.13423270085326902,3.053356833110659,512.0,0.0,0.0
0.9,50.0,abf,7,0.03396157147188378,0.13967635222284625,2.992996475758158,512.0,0.0,0.0
0.9,50.0,abf,8,0.029432552683208123,0.13784981882448702,2.493054737892318,512.0,0.0,0.0
0.9,50.0,abf,9,0.028786131601727258,0.13683198672890395,3.1779371739360127,512.0,0.0,0.0
0.9,5.0,abf,0,0.03231783706526391,0.13474279277701742,2.996189809470372,512.0,0.0,0.0
0.9,5.0,abf,1,0.03255022512419137,0.14117918015005584,3.1002347489881177,512.0,0.0,0.0
0.9,5.0,abf,10,0.03061842069948694,0.13504396881371505,2.893220154037569,512.0,0.0,0.0
0.9,5.0,abf,11,0.031249555582620756,0.13327325531349404,2.8446835251964666,512.0,0.0,0.0
0.9,5.0,abf,12,0.029160049330548696,0.14081745369685797,2.4065936408358066,512.0,0.0,0.0
0.9,5.0,abf,13,0.03733296577830436,0.140912970464711,3.4102156488228936,512.0,0.0,0.0
0.9,5.0,abf,14,0.03162034282089682,0.13376121919464848,2.849435803886643,512.0,0.0,0.0
0.9,5.0,abf,15,0.030196570975475068,0.1368111771536935,3.0845594390211826,512.0,0.0,0.0
0.9,5.0,abf,16,0.02805909652811845,0.1346354069397144,2.9982564598273123,512.0,0.0,0.0
0.9,5.0,abf,17,0.030344610398061918,0.13519464415279936,2.6554024617336633,512.0,0.0,0.0
