init,arm,n_seeds,gamma,int_l2_f_pct,int_l2_f_ci95,int_l2_f_ci90,int_l2_f_wins,int_l2_f_abf,int_l2_f_arm,int_l2_fp_pct,int_l2_fp_ci95,int_l2_fp_ci90,int_l2_fp_wins,int_l2_fp_abf,int_l2_fp_arm,integrated_deficit_pct,integrated_deficit_ci95,integrated_deficit_ci90,integrated_deficit_wins,integrated_deficit_abf,integrated_deficit_arm,T_est_pct,T_est_ci95,T_est_ci90,T_est_wins,T_est_abf,T_est_arm,T_hit_pct,T_hit_ci95,T_hit_ci90,T_hit_wins,T_hit_abf,T_hit_arm,frozen_l2_f_kT_pct,frozen_l2_f_kT_ci95,frozen_l2_f_kT_ci90,frozen_l2_f_kT_wins,frozen_l2_f_kT_abf,frozen_l2_f_kT_arm,min_ess_frac,max_wmax,n_die,n_clone,health_ok
left,fr_estimated,32,1.5,-12.124675075563442,"[-14.502281749543446, -8.406762469911834]","[-14.13835874682195, -9.676995410157872]",31,1.0692692678841351,0.9370313638306799,-15.327544686940552,"[-19.24230149812739, -13.836927524582041]","[-18.068084735395015, -13.889094827418877]",32,6.126271166863186,5.1573752396102766,-61.36930086179514,"[-62.59802291452049, -59.74927804397619]","[-62.24387418569093, -59.915958218624375]",32,7.646062911646554,2.979595913271917,-75.13440860215053,"[-75.98026973026973, -74.4186046511628]","[-75.82417582417582, -74.4186046511628]",32,17.6,4.4,-12.499999999999996,"[-21.111111111111107, 0.0]","[-19.999999999999996, 0.0]",19,1.7000000000000002,1.4000000000000001,-12.398310313527016,"[-16.93496551638031, -7.484565038017897]","[-16.44627839275915, -7.690629701961547]",26,0.07077752930164308,0.06248735611662274,0.39861226607446343,0.01171875,6165.0,5185.0,True
left,sham_practical,32,1.5,0.35179901868528063,"[-2.319783851623977, 2.843583966118426]","[-1.6566338852763611, 2.617493654615985]",16,1.0692692678841351,1.0666854373646726,2.7147302564055247,"[-1.6054094256336535, 7.240209663384076]","[-0.9948214086887537, 6.088420413913113]",12,6.126271166863186,6.336920863902742,-1.688654395117101,"[-4.711632000984236, 2.9896090414726126]","[-3.737176806614202, 2.376463116594012]",17,7.646062911646554,7.506756335340029,1.1507936507936467,"[-2.040816326530623, 4.651162790697679]","[-1.0869565217391457, 4.545454545454549]",13,17.6,17.8,0.0,"[-11.111111111111109, 11.805555555555554]","[-11.111111111111109, 11.111111111111109]",14,1.7000000000000002,1.6,-4.381516682535718,"[-12.202336990276404, -1.3539571540870141]","[-11.931312211034667, -1.3784201637991724]",22,0.07077752930164308,0.06960829372007343,0.6118913005132467,0.0029296875,6165.0,5185.0,True
left,fr_oracle,32,0.5,-12.091416434436075,"[-13.364299798579541, -8.874257029677906]","[-13.132071004593252, -9.909052920582981]",29,1.0692692678841351,0.9601648488949748,-3.2725538189295387,"[-5.810754674224754, -1.5915700283539516]","[-5.598348262083921, -2.1442781312252386]",23,6.126271166863186,5.91087677546225,-76.3851289214471,"[-77.304148903669, -75.20510864934222]","[-76.97332043245738, -75.40594552157938]",32,7.646062911646554,1.8387795105639153,-67.05426356589146,"[-68.18181818181817, -65.67927170868347]","[-68.18181818181817, -65.88235294117646]",32,17.6,5.800000000000001,0.0,"[-11.805555555555554, 0.0]","[-11.111111111111109, 0.0]",15,1.7000000000000002,1.6,-10.060143047074545,"[-17.19133901339589, -6.178033134455339]","[-15.987234354644624, -6.208583695711655]",25,0.07077752930164308,0.06210927439634628,0.6257261596711138,0.0048828125,1817.5,1953.5,True
left,sham_oracle,32,0.5,-1.775669768275793,"[-5.6645528326704815, 2.332944542008546]","[-5.625557650385077, 1.0453855674699652]",18,1.0692692678841351,1.0649970915558877,-2.5827330399257393,"[-7.095829882964784, 3.73640876690751]","[-6.658976636461009, 3.668375204519721]",20,6.126271166863186,6.047367131159414,2.225240198708373,"[-2.333373342934781, 5.335454244061427]","[-1.019513191570486, 5.081804759054374]",13,7.646062911646554,7.752305731564017,3.8060417166147174,"[0.5187747035573103, 6.385281385281383]","[2.1739130434782528, 6.097560975609755]",11,17.6,18.3,0.0,"[-11.111111111111109, 18.253968253968253]","[-11.111111111111109, 14.285714285714281]",12,1.7000000000000002,1.7000000000000002,-1.499882954328106,"[-8.63754638650714, 5.81130291019347]","[-8.347271806291557, 4.802648445549334]",17,0.07077752930164308,0.06903310196874618,0.7249558430518717,0.00244140625,1817.5,1953.5,True
one_right,fr_estimated,32,1.5,-10.746926873930086,"[-16.24248356788153, -8.081053344435245]","[-14.806957292275484, -8.113976204954435]",29,0.9621027566664719,0.8089979270421802,-21.76816819789472,"[-27.360329069622445, -16.900574992478766]","[-26.82107832538404, -17.638163870305473]",28,5.472388757035159,4.201904506753155,-51.11623418785779,"[-52.926918677715804, -45.87036008543619]","[-52.2330779297916, -46.5741174901563]",32,9.134714361504466,4.510416161724701,-75.86206896551724,"[-76.50011953143677, -75.14044943820224]","[-76.40151515151516, -75.28089887640449]",32,17.8,4.2,-100.0,"[-100.0, -99.99999999999999]","[-100.0, -99.99999999999999]",6,0.0,0.0,-4.39557643370685,"[-11.266155877142031, -1.6686728092113803]","[-10.434057345084877, -1.8007483908741149]",22,0.0681517520046062,0.061846387272207856,0.3946835333218053,0.01220703125,6172.5,5165.0,True
one_right,sham_practical,32,1.5,-0.9380979690742667,"[-6.290874589340193, 6.963451669433018]","[-5.524051027168439, 6.108443803655905]",17,0.9621027566664719,0.9335653514097686,-4.712081838012114,"[-7.8705081390752305, 8.309498492997925]","[-7.041009513922843, 6.475951838379096]",18,5.472388757035159,5.284270358105676,0.5369803086198294,"[-2.041229691211075, 2.863416688655674]","[-1.0148837370405253, 1.8080257187676112]",15,9.134714361504466,9.279135718351027,1.7446524064171165,"[-1.1235955056179734, 5.747126436781609]","[0.0, 5.681818181818182]",11,17.8,17.8,-99.99999999999999,"[-100.0, -2.8409090909090953]","[-100.0, -18.181818181818187]",5,0.0,0.0,1.9924099479853943,"[-2.2282526554751447, 9.71200929497056]","[-1.968485325050244, 7.8988703446679]",15,0.0681517520046062,0.06965264798972623,0.6102511649051029,0.00341796875,6172.5,5165.0,True
one_right,fr_oracle,32,0.5,-9.741132398839342,"[-14.956713695617498, -5.428557607371878]","[-13.215813024985081, -5.612814475154401]",25,0.9621027566664719,0.8483146054946351,-5.399485018610967,"[-17.041528182818244, -0.24400785130911998]","[-15.291938305517986, -1.090536372248216]",22,5.472388757035159,4.899944952873197,-64.54447773041427,"[-66.17428264974373, -60.86811569302694]","[-65.966080013169, -60.93389258318085]",32,9.134714361504466,3.261851243463794,-67.41573033707864,"[-68.18181818181817, -66.66666666666667]","[-68.18181818181817, -66.66666666666667]",32,17.8,5.800000000000001,-100.0,"[-100.0, -49.99999999999999]","[-100.0, -50.0]",5,0.0,0.0,-4.479312886780296,"[-6.4195361884667195, 5.359803016141376]","[-6.058625629516507, 4.9099052338659925]",19,0.0681517520046062,0.06931475539687262,0.6187311178247734,0.00537109375,1823.5,2000.5,True
one_right,sham_oracle,32,0.5,-0.11565521639305196,"[-3.141463184865314, 2.4368155306775003]","[-2.4296418986383768, 2.365858157418099]",16,0.9621027566664719,0.9330518886037601,-6.528173783329947,"[-18.240231201110852, 1.2734043504918455]","[-17.637857729745235, 0.370363275306426]",20,5.472388757035159,4.987272298403273,5.371524180169931,"[0.1676403598075653, 8.675074337102272]","[1.675946141802263, 8.000523524883343]",10,9.134714361504466,9.458421332296144,3.409531189461447,"[2.247191011235947, 6.818181818181814]","[2.247191011235947, 6.25]",8,17.8,18.3,-100.0,"[-100.0, -99.99999999999999]","[-100.0, -99.99999999999999]",6,0.0,0.0,2.0828663638997083,"[-6.9258099487560605, 10.81887808778041]","[-6.4994589087266315, 10.327849102942123]",16,0.0681517520046062,0.0723159557631795,0.7211267605633803,0.00244140625,1823.5,2000.5,True
