cell,seed,j,C,a,V_fib,V_prev,pi_star,pi_prev
K2,8000,0,22165.0,5.758094411151144e-32,0.5168789192220147,0.002055976714209611,0.00390625,0.00390625
K2,8000,1,25785.0,5.640582280311324e-32,0.5377427198030863,0.0016110588015577393,0.00390625,0.00390625
K2,8000,2,28578.0,3.6156014672276936e-06,0.6920344578296912,0.002793003440849036,0.00390625,0.00390625
K2,8000,3,34986.0,7.272868562147565e-05,0.7088911767972913,0.006123380237788304,0.00390625,0.00390625
K2,8000,4,47787.0,0.000178412345205,0.5598396588451994,0.01064123028005094,0.00390625,0.00390625
K2,8000,5,73879.0,0.0002490952182237,0.33736284893040885,0.010350488002124653,0.00390625,0.00390625
K2,8000,6,106483.0,0.0003528906944432,0.1859618673386763,0.004564170133468926,0.00390625,0.00390625
K2,8000,7,139940.0,0.0003948425611381,0.12336277111934936,0.0018577889955842465,0.00390625,0.00390625
K2,8000,8,154363.0,0.0004941982548528,0.12925717912868628,0.0011782406894484503,0.00390625,0.00390625
K2,8000,9,161813.0,0.0005099707143646,0.18301956665844135,0.0010495546767829037,0.00390625,0.00390625
K2,8000,10,152262.0,0.0006023350264339,0.1544808592587631,0.0012267790439238952,0.00390625,0.00390625
K2,8000,11,129621.0,0.0005944796779032,0.1546780448018341,0.002892344134704605,0.00390625,0.00390625
K2,8000,12,93027.0,0.0006773010091865,0.49797591805530356,0.04197772343476869,0.00390625,0.00390625
K2,8000,13,63462.0,0.0006483694517539,2.994503180984033,0.16142437984433933,0.1313677082346215,0.7037693420806526
K2,8000,14,64643.0,0.0007190962031104,4.744560662619415,0.07609653637218647,0.2030260956687236,0.00390625
K2,8000,15,60789.0,0.0006716400359167,0.19849504925142153,0.004620523604157207,0.00390625,0.00390625
K2,8000,16,62011.0,0.0007277206082059,0.1602200514325657,0.004691300987465188,0.00390625,0.00390625
K2,8000,17,59692.0,0.0006642914303916,12.532958507742114,0.07560160144239197,0.3783588635768405,0.00390625
K2,8000,18,62726.0,0.0007031742244727,3.9855390587446764,0.12023271463081592,0.17787233251981432,0.1790431579193474
K2,8000,19,92656.0,0.0006263236351786,0.07581983116297146,0.016659212894437163,0.00390625,0.00390625
