cell,kind,molecule,beta,init_mode,stage,name,method,n_replicas_med,final_l2_F_med,integrated_l2_F_med,final_l2_Fp_med,integrated_l2_Fp_med,early_l2_F_med,mid_l2_F_med,low_support_fraction_med,median_support_med,n_transitions_med,n_round_trips_med,fd_compact_med,fd_intermediate_med,fd_extended_med,total_replacements_med,final_ancestor_ess_med,min_ancestor_ess_med,final_max_ancestor_frac_med,final_frac_compact_med,final_frac_extended_med,dist_cond_tv_weighted_med,dist_cond_kl_weighted_med,dist_cond_basin_err_weighted_med,dist_cond_support_fraction_med,final_quarter_decrease_med,norm_final_l2_F_med,n_seeds
screen_dist_pentane_b1.2_trans_g256,dist,pentane,1.2,trans,screen,abf,abf,1024.0,0.8604114560275622,48.12446180683919,6.981960421356373,320.2956450200005,2.6241114867584825,0.8943198927577961,0.051630434782608696,5491993.6498503145,4553002.5,10774.0,1262.5,92.0,0.0,0.0,,,,0.09619140625,0.27783203125,0.08293139513400379,0.11521406028581194,0.0536918514923592,0.8333333333333334,0.018118197095196624,0.08744826187645768,8
screen_dist_pentane_b1.4_trans_g256,dist,pentane,1.4,trans,screen,abf,abf,1024.0,1.0602570575857717,63.29443943801915,8.544092001719813,389.966197945951,3.1177864475944492,1.232910442321724,0.15053763440860216,6044465.690267174,4915846.5,12279.0,1759.5,147.0,0.0,0.0,,,,0.1484375,0.21142578125,0.09361241019849831,0.224151855706609,0.06298516979906435,0.8333333333333334,-0.0003128725869674776,0.10787280431021526,8
screen_dist_pentane_b1.6_trans_g256,dist,pentane,1.6,trans,screen,abf,abf,1024.0,1.162564455052538,76.1854257034814,9.06182017742345,425.41746261292224,3.627096279617084,1.6038885115992139,0.1989247311827957,5975079.063945783,5011576.5,11707.5,2528.0,436.0,0.0,0.0,,,,0.177734375,0.14599609375,0.08720209765133932,0.29017413792861696,0.05312813523557498,0.8333333333333334,0.07607462198027518,0.1203827117522165,8
screen_dist_pentane_b1.8_trans_g256,dist,pentane,1.8,trans,screen,abf,abf,1024.0,1.2806852602580123,87.6268148940279,9.648818762951713,461.5677138805422,4.089969453698121,1.9183995807701733,0.22192513368983957,5746072.919278324,4943620.5,10419.0,3338.5,653.0,0.0,0.0,,,,0.1953125,0.1201171875,0.07663506759096747,0.30517680148454146,0.035345386499463005,0.8333333333333334,0.1333442669980977,0.13040855000387236,8
