seed,arm,e_F_final,e_F_full_final,e_Fprime_final,e_F_integrated,ancestor_ess_final,n_replacements,gamma_final,tau_final
5200,A0,0.01780857845408846,0.016623045248110355,0.07823045548879162,11.402070070538786,256.0,0,,
5201,A0,0.061124866231345706,0.06025119485053406,0.11444051038650441,13.40730502984997,256.0,0,,
5202,A0,0.022081513214929138,0.02159563542418944,0.07390107380663735,10.018655942597638,256.0,0,,
5203,A0,0.0456354740713716,0.04656525113661982,0.10335894893184158,16.913480371881096,256.0,0,,
5204,A0,0.02996521864919099,0.029619156786909736,0.1372522740305442,12.359706196241868,256.0,0,,
5205,A0,0.06232851584076456,0.05899357442933644,0.15092432057817312,15.348318207337298,256.0,0,,
5206,A0,0.04417730643874802,0.04197345167807614,0.10716570740266958,14.36155647915943,256.0,0,,
5207,A0,0.03494543386210179,0.0329354324019681,0.09189367772111397,13.075164808024676,256.0,0,,
5208,A0,0.0422689467550219,0.04238168842486664,0.08819822717585776,11.138446061055301,256.0,0,,
5209,A0,0.029524355647331624,0.028824558712242505,0.0733084772511091,11.693257669033567,256.0,0,,
5210,A0,0.013823309892148975,0.012783690057882493,0.09131099321154791,8.86671741193259,256.0,0,,
5211,A0,0.025504305206694267,0.025489250298507165,0.06637747409479212,14.165676760972842,256.0,0,,
5212,A0,0.01757163187424504,0.016728816256317388,0.10202549755451723,15.248340099185183,256.0,0,,
5213,A0,0.0283764412475806,0.027250299101573987,0.07325700887284725,9.560212741738438,256.0,0,,
5214,A0,0.031406498626483856,0.030825903268815888,0.09511639628135665,12.746799116762862,256.0,0,,
5215,A0,0.03414923561949338,0.03449011941660768,0.10880938389888707,15.253532608019288,256.0,0,,
5216,A0,0.04943241398495673,0.04774697277264264,0.10972647878027428,14.421477887674834,256.0,0,,
5217,A0,0.05362784884134968,0.05548677148257422,0.1158055035208464,22.015354196238473,256.0,0,,
5218,A0,0.054353040207267056,0.05524001392230347,0.10906066940102259,15.563604998946062,256.0,0,,
5219,A0,0.0151894837115711,0.01408482469195918,0.08825129515417642,10.752089867574803,256.0,0,,
5220,A0,0.04270461186969264,0.03973453917567817,0.11603041144725554,13.147722522617984,256.0,0,,
5221,A0,0.02607671049286238,0.025214302256588758,0.08490130751959984,10.308331817293661,256.0,0,,
5222,A0,0.04893288672351231,0.050469360543703726,0.0894939726565787,18.56022444839268,256.0,0,,
5223,A0,0.040521521841457644,0.03796704060799642,0.11140181459319261,13.808926656979889,256.0,0,,
5224,A0,0.013699612031499367,0.01318151986507042,0.06749393489683544,7.634051368953061,256.0,0,,
5225,A0,0.029172503146844903,0.029023340159141056,0.08811408960887196,10.6175903716451,256.0,0,,
5226,A0,0.03321087597401481,0.03296625225612744,0.0824213811040241,13.348672537947792,256.0,0,,
5227,A0,0.027343076854281667,0.027194990553196026,0.0816939366759247,10.706586392930836,256.0,0,,
5228,A0,0.02067311874280932,0.02047395807660333,0.09851710714850398,12.307903272992462,256.0,0,,
5229,A0,0.03272097711894303,0.03253942068129514,0.08958773945721496,14.92218323844246,256.0,0,,
5230,A0,0.03371879996225161,0.031242262157789358,0.09506334510700355,10.61738947949045,256.0,0,,
5231,A0,0.023134441281785385,0.022794981945852128,0.07615400761327569,10.890569216339719,256.0,0,,
