seed,arm,e_F_final,e_F_full_final,e_Fprime_final,e_F_integrated,ancestor_ess_final,n_replacements,gamma_final,tau_final
5200,A2,0.017808452524665872,0.0166229674453788,0.07823013742507329,11.402066371925388,256.0,0,"[0.0016076963927369042, 0.001488182599673989, 0.00198466010459094, 0.0026402370195730976, 0.0034870446074365354, 0.002727187233387263, 0.001874893879793625, 0.0012717026247445495, 0.0009077728419246121, 0.0007535902588029947, 0.0008887235055959975, 0.0013760652941575175, 0.00840626568224571, 0.04598095638365582, 0.052673784079482235, 0.0046051428270455705, 0.005181095313153089, 0.054733552824321095, 0.04610049466581569, 0.009260201288911226, 0.0015473851405838463, 0.0010584045633259501, 0.0007947949240600515, 0.0008620487461189492, 0.001119107785528314, 0.001699839856608628, 0.0027044056095132368, 0.0036492011237541826, 0.003282422369754027, 0.001701986393983434, 0.002010726363206895, 0.00159990145022895]","[0.010705460358746659, 0.008341174490407012, 0.011778118527796476, 0.013569120522417233, 0.019098244852394343, 0.01693501933201463, 0.01404204096838566, 0.011914158953056133, 0.0106587016414037, 0.006277548810280123, 0.007995632669051008, 0.008692545090224551, 0.024390699451392352, 0.022031332081372052, 0.02183675063387288, 0.018615275678669673, 0.022829873944513097, 0.02301545614919125, 0.020943990174387, 0.01903116317379215, 0.007734364967417631, 0.012836063245361217, 0.01139369644704164, 0.008971217187085653, 0.009610399883608263, 0.012861168870651609, 0.016341667690610465, 0.018889638451714204, 0.017033949401741584, 0.00868279255011043, 0.01319534763016791, 0.011296723884024598]"
5201,A2,0.061125175747432446,0.060251547576125025,0.11444095565272461,13.407314341988885,256.0,0,"[0.0016173977073173904, 0.0017624666952642993, 0.0022832459098717194, 0.002673510837091886, 0.002739227030454425, 0.0027965929897085045, 0.0014564000795806678, 0.0011331776734216834, 0.0007868681314641757, 0.0006896532111740693, 0.0008789626548210948, 0.0014679446290330328, 0.007033605305448928, 0.03895183074807174, 0.052106310803586964, 0.004435376567310063, 0.002450161053866987, 0.04712389659001322, 0.0752065051913772, 0.00821817259823195, 0.0015011777961242137, 0.0008817745324809135, 0.0007455043413496075, 0.00082584719417077, 0.0011274819891448574, 0.0020771916087326857, 0.0028749865352227146, 0.0030679621713818506, 0.00380960110113507, 0.0021784626642511965, 0.0012662279747735774, 0.0015105357700431646]","[0.01137681834276978, 0.01207549845068261, 0.014404943196208494, 0.013326376897314758, 0.013917196566840475, 0.01921242423118537, 0.010180863707294558, 0.012080869144964531, 0.007956411670116442, 0.004602202493898659, 0.010087990161988207, 0.010790593879101296, 0.02090077298026907, 0.018950701661156522, 0.021034695734655825, 0.01918049568476309, 0.012600963430413009, 0.021574659772407686, 0.028251969531615434, 0.019611183105842034, 0.011939244069217734, 0.009610907135620692, 0.009950336236256265, 0.009819302963288624, 0.01108952420662572, 0.017265809977448875, 0.01737842601399074, 0.01576836857736566, 0.020754208649719642, 0.012671734783887887, 0.01283996619775695, 0.010051029261619016]"
5202,A2,0.022081741194967915,0.02159592598925539,0.07390085402209207,10.018661032931405,256.0,0,"[0.0017783443540280316, 0.0016250782503447266, 0.0023803553473896954, 0.003808531618330258, 0.004129847447812821, 0.0031783276962536267, 0.0016357536288724326, 0.0012405016190169325, 0.0009059789305177147, 0.0008400015587667758, 0.0010138144401003674, 0.0015147057271654807, 0.00838960327179608, 0.04652992668114007, 0.05067797365350374, 0.004710766356718526, 0.004526312339449143, 0.061248413329040144, 0.07709989488432285, 0.008893810664401303, 0.0017169100479155896, 0.0009915605671621083, 0.0008389247932056136, 0.0009554167486533088, 0.0012717201600576577, 0.001616086950187767, 0.002133532454592371, 0.0035212854309787716, 0.003053853966613159, 0.0022266028723504886, 0.0017998466349864071, 0.0016653759900441087]","[0.012188340022728759, 0.008304832309758614, 0.014076667294780493, 0.020056680788795203, 0.022397377047205864, 0.019912599196644266, 0.011894029226780917, 0.012082637326498082, 0.00980611092018008, 0.011245233714416936, 0.011587921732144938, 0.008994845360700261, 0.02059657114239203, 0.02191292610083129, 0.020186738959568157, 0.0192036941050757, 0.02040301645748029, 0.025286662323108815, 0.03516318603393597, 0.024657672162978785, 0.013138238290358747, 0.011549789851375454, 0.01151389852077231, 0.01173503179960133, 0.012905537956720755, 0.011719341536307094, 0.011988347004390368, 0.01850073862080208, 0.01557904951406169, 0.012526721467282245, 0.01176561493182009, 0.011131431297713741]"
5203,A2,0.04563562388774638,0.046565424331831244,0.10335893225151319,16.913483167592023,256.0,0,"[0.0016131668069864426, 0.0010223993760626927, 0.0017703501742359277, 0.0020735049509704056, 0.003584470045796802, 0.002477450395631649, 0.0016071569368291865, 0.001176197329435174, 0.0009201607968564954, 0.0007322271382043269, 0.0009192093660283167, 0.00251547602865789, 0.009816535868928122, 0.0484893349108188, 0.04298238534902681, 0.004264899883072328, 0.0055887735290416195, 0.06422361365376035, 0.04280305306182406, 0.006460601607517522, 0.0016559866179175135, 0.0009271356331575502, 0.0007566636026647697, 0.0008555104004099418, 0.0011701169503381388, 0.0018416311938234432, 0.0026891277962092595, 0.0025310523207489237, 0.002956564506944559, 0.0016099224249618888, 0.0016059845595066842, 0.0016060229246637546]","[0.011997999385567606, 0.008729725165234983, 0.00985533655639503, 0.009713227712425547, 0.019633906769094316, 0.015155729817654423, 0.012109330057838427, 0.012306685980874449, 0.01394817500732495, 0.007622986622231761, 0.009959714593805244, 0.019389947290040923, 0.016782474214611435, 0.0189155283470577, 0.018129678547256386, 0.01859335208032691, 0.02140701980032662, 0.024650113063706312, 0.023746582553173617, 0.020486914801386712, 0.011948513621213137, 0.010068733782153264, 0.009619332493639509, 0.009765504485164224, 0.010857164536200066, 0.014259388905073197, 0.016600464480748593, 0.012056107569815611, 0.013949933226567202, 0.008083137795638793, 0.010890288045616741, 0.011336392404063709]"
5204,A2,0.029965345362983255,0.029619301327044104,0.13725240974617467,12.35971001940067,256.0,0,"[0.001400415195624882, 0.001526590085788147, 0.001912698026814835, 0.0030475838300532366, 0.003535595049316801, 0.0027912134891495593, 0.0016874860613940146, 0.0010162933773600823, 0.000819570220211804, 0.0007978097185326008, 0.0009700372482718418, 0.0020747910320141776, 0.010988373525670045, 0.03176607692122517, 0.06349438339690344, 0.006751467281247968, 0.005520942790168048, 0.0556136708735277, 0.03583290126611506, 0.010663122107437785, 0.0014803500798686439, 0.0010143017822377282, 0.0007952413133279042, 0.0009207813260174534, 0.0011857405806378475, 0.0019322536655009136, 0.0025036331623812295, 0.003419771769369453, 0.0022968441864410784, 0.0018748970351225372, 0.0016450703851620381, 0.0013332037559541563]","[0.008661846945530722, 0.009301137784002413, 0.010387868247633983, 0.015460485036807744, 0.01766385751148956, 0.016536962738176748, 0.012256097263999732, 0.007154390171222863, 0.006678220474430861, 0.011516835247662303, 0.010772517892254672, 0.012597816645305472, 0.021941058712128165, 0.017281432104115466, 0.027587908092225027, 0.023254666324739583, 0.019680111662460104, 0.02302861002043968, 0.01708798305094457, 0.02322976587603545, 0.00902531663152633, 0.012597735239225668, 0.010836527663636878, 0.012752199970989603, 0.011124124747330138, 0.015893582496997346, 0.015140536235462038, 0.01821190013080265, 0.010452117657119868, 0.0105095776653483, 0.008105904124674672, 0.00789247503888108]"
5205,A2,0.062328764486191145,0.058993832515005416,0.1509246959550504,15.348325130343978,256.0,0,"[0.0017162543367873504, 0.00112244032605053, 0.0025807223341850344, 0.0029474297305488216, 0.0036992677328788076, 0.0026835060704315417, 0.0015961729251128863, 0.0009947934582122562, 0.0008572241176769168, 0.0007929850204528479, 0.0010048565043986935, 0.0011909776982540188, 0.009808639045056862, 0.06138374398765267, 0.05049795118945128, 0.0029923364879939065, 0.0033735541620941553, 0.045168469153911775, 0.07038567729199201, 0.011860021672070939, 0.0018091983719399753, 0.001034689900479226, 0.0007956617868582214, 0.0009109350068599274, 0.0011760110155797877, 0.0014409556990410224, 0.0024087195204733286, 0.002842618511826561, 0.0029772944901859115, 0.0022633326481292515, 0.0016829909565849364, 0.0016455661599388558]","[0.012875933573763215, 0.009920010800862111, 0.015407052027979441, 0.01524939012300177, 0.020280349907914004, 0.017057168455900648, 0.01156210288803127, 0.00750002921004311, 0.009325375879746219, 0.011090431800632232, 0.011735727339818819, 0.006086798500618027, 0.02172155321314966, 0.0245220620762272, 0.022152039003660747, 0.01494542114527378, 0.018420404694213896, 0.020910617520751695, 0.023785085673933684, 0.020793677374214625, 0.011317789444216464, 0.014167108836485016, 0.012227929468971159, 0.012360891897110853, 0.010948493825772074, 0.009424144207655723, 0.013867740746118604, 0.013645904642821562, 0.014508794033186593, 0.012450796132913536, 0.011240777304190262, 0.010706694941931008]"
5206,A2,0.04417719254566592,0.041973298122418554,0.10716572655909326,14.361550050636893,256.0,0,"[0.0013807246372898748, 0.001160999974626875, 0.002064052760649182, 0.0026829451736913685, 0.0025907237598942127, 0.00262760303505063, 0.001511457008830569, 0.0010439480320892508, 0.0007301001280553556, 0.0006659246494862975, 0.0009175711592920098, 0.0022809015019440216, 0.009698542750550288, 0.05512731456620734, 0.03893916014687372, 0.0033786530747251134, 0.0033456670519443556, 0.0591068015282653, 0.04215495413379334, 0.00592573615914462, 0.0012437891901599858, 0.0008905044403704383, 0.0006890762431641082, 0.0008645999186993219, 0.001184501615933163, 0.0017185763705295585, 0.0022745486329984765, 0.002425139087224612, 0.0022223734399614177, 0.002258462277232788, 0.0015901421388409835, 0.0016921414160207915]","[0.009236139831425284, 0.011836470508511263, 0.012377657097303194, 0.013537380577654913, 0.012862581088006695, 0.017074043073580476, 0.011504698232459311, 0.00975908815881298, 0.005953555918435589, 0.004832681969462459, 0.009819844126280852, 0.015493034719866806, 0.01764455891807625, 0.020775750216207672, 0.018072971457316334, 0.019432962956941552, 0.015437763027320889, 0.02538202753413883, 0.018184530459230772, 0.016979317117650425, 0.008457600476406377, 0.01060780287883171, 0.006936036722123674, 0.012775778436100184, 0.013037498794711807, 0.013455309293083835, 0.013226168062791033, 0.01115087784624928, 0.00978036514872547, 0.013596944590682697, 0.009842394199713866, 0.011660659294625363]"
5207,A2,0.03494473125551943,0.03293472814560505,0.0918922598731936,13.075125657018255,256.0,0,"[0.001723654304799096, 0.0020818389206215594, 0.0018729737396729423, 0.0031617484328433105, 0.0034523638936728974, 0.0026304717335186487, 0.0016896758103758821, 0.0011409064956069454, 0.0008026281193275828, 0.0007715416292657305, 0.0009956423545874828, 0.0015814940115790777, 0.011709287459473658, 0.06295715851444864, 0.06522203916548497, 0.0029326787369861615, 0.003851434093815581, 0.046031048280463595, 0.0598633213015218, 0.009408221590830093, 0.0012994840244753738, 0.0009478058960715738, 0.00077090795233818, 0.0008402003942198515, 0.0010476639880646474, 0.0013247831048526044, 0.0023949955796442124, 0.004054829418514427, 0.0027630058543505853, 0.001998021256236328, 0.001905388535273261, 0.0017247921544590525]","[0.012621018305737863, 0.011814939556949889, 0.010455393421569372, 0.016268869789723497, 0.019162357373474156, 0.016451785019338003, 0.012709389864300187, 0.009955005622789509, 0.006319674115205813, 0.0089956319557439, 0.01169125325596476, 0.009678960253679173, 0.028434632104507418, 0.027952796413293814, 0.027729259521564086, 0.013873598940288561, 0.02004990838365637, 0.020464194961287086, 0.023113781877306738, 0.01996350771352979, 0.006686126024208414, 0.011077519812653735, 0.00975752259253671, 0.00877195164254368, 0.00889357772888741, 0.008297154147344008, 0.014629743404659874, 0.02153881780185954, 0.013634137194917373, 0.011786743687721757, 0.011386267376309068, 0.01328263305485079]"
5208,A2,0.04226913271010129,0.04238189382482346,0.08819850239704088,11.138458493507631,256.0,0,"[0.0017566860567675823, 0.00150507762461973, 0.0021442874270714233, 0.002627001536198821, 0.0028320682644208603, 0.0029310463866078214, 0.0016747523891931875, 0.0011706885671500934, 0.0008620230901166348, 0.0007442476607564419, 0.0008985194151652014, 0.0015690171548613705, 0.004851960108993044, 0.04749615281106355, 0.06734800355056204, 0.004579679949180455, 0.005308457475373799, 0.046292453821484114, 0.041663845235948356, 0.007401509006592465, 0.002016237810376524, 0.0009300030259617223, 0.0007940195717651992, 0.0008088735247187221, 0.0011231913833157144, 0.001837129495540532, 0.002487032535363908, 0.002554430801590491, 0.002693407187148581, 0.0019162889354799473, 0.001078237793227254, 0.0016964750870928809]","[0.013217849344980026, 0.009309257105852812, 0.013185826639400057, 0.013809129742213188, 0.015073783680846666, 0.018542700769055624, 0.011743382495791696, 0.01121297617604855, 0.010940041452726508, 0.009112137547264561, 0.010238066301611696, 0.01188126270434151, 0.014455509198283888, 0.02574570333281128, 0.026849853989140006, 0.01819408369082832, 0.028043061914972887, 0.01917351712269759, 0.018287102248456272, 0.01778148087152054, 0.01608216487099043, 0.010829397897753328, 0.013251182195746312, 0.00783430053486633, 0.009894280357702538, 0.012975719031628124, 0.01402659728033908, 0.011721010471188025, 0.013854650332118166, 0.011056856819412257, 0.009451357852817387, 0.012544422359174173]"
5209,A2,0.029525026137497336,0.028825257271645057,0.0733086710075962,11.693281529895431,256.0,0,"[0.0015991758637640492, 0.0011980556740700788, 0.002222338317220679, 0.0026928453852864396, 0.002934620918623658, 0.0023826144724597032, 0.0020063993380001334, 0.0010021756376834673, 0.0008140841358172833, 0.0007501858565971671, 0.0009827112423561727, 0.0014994625716279165, 0.0070205047408237915, 0.03971283953896539, 0.07127717561118592, 0.00395906749107066, 0.0044362111144685785, 0.03760088715522325, 0.030894639370531995, 0.010871946082951058, 0.0014425830965560237, 0.0009071419764451001, 0.0007403633245449431, 0.0008037543050661572, 0.0009639387600968705, 0.0014802437568169884, 0.002467327046195608, 0.0034399548285452483, 0.003496960637873831, 0.0013321024449347058, 0.0015334465516238162, 0.0017190812314243921]","[0.011172988788834267, 0.010601026459634679, 0.011996109495650989, 0.012891093944795222, 0.014450301873400167, 0.012810635111333521, 0.015293200505105103, 0.007883839092488475, 0.00867062416405953, 0.011346452757599657, 0.013515340913127106, 0.01039764532796886, 0.022621246873614564, 0.019378691715898455, 0.028366449417234218, 0.01693848661939556, 0.020256695093009355, 0.01574771595054586, 0.013561273750355022, 0.02545173001509751, 0.009657399325234541, 0.01139397143521075, 0.010480394286189543, 0.008658762683507805, 0.007582513341911823, 0.010494553113085295, 0.01476700480757925, 0.018492605658015058, 0.018361865165804705, 0.005754963466002611, 0.007990083473963117, 0.013221672412951864]"
5210,A2,0.013823467421856719,0.012783781742044026,0.09131114230879118,8.866734325728496,256.0,0,"[0.0017031482739886577, 0.0015293492163240526, 0.001959227191971301, 0.002998112505738104, 0.003267907832050901, 0.0031854093493401212, 0.0020070883134750243, 0.001210457989734166, 0.000854052393985744, 0.0008029558426153945, 0.001014581996271771, 0.0019154103663069286, 0.006186046284781613, 0.03470938094804935, 0.0548497507118367, 0.0054038934564368795, 0.004349526715727391, 0.07923255767910539, 0.04459297053056484, 0.00789587621760383, 0.0018949344854120934, 0.0010218103109540491, 0.0008203000030649437, 0.0009127178251211703, 0.0012280442796141918, 0.0016170841632937739, 0.002591408959193256, 0.002497797135252752, 0.002515133439275883, 0.002428304347618525, 0.0020375056848342525, 0.0018335477506599123]","[0.012288523137875249, 0.009196824919405754, 0.011599245087817114, 0.016481754502219094, 0.017155173320840742, 0.019326812939954755, 0.01454938675409009, 0.010912745966849382, 0.0074473561962254435, 0.00937227575138929, 0.011952312808345997, 0.015318325571912822, 0.01854633897212441, 0.018837355120181073, 0.021783681200028902, 0.021647759486382076, 0.01626969373655419, 0.03180659591139354, 0.022823013632590015, 0.02053883572997388, 0.016307515465328663, 0.012861378641264725, 0.011633056464608016, 0.011197730831408974, 0.012211468114606083, 0.011765018636538718, 0.016343296693396597, 0.012063264331423136, 0.012389434956576042, 0.014645435123177057, 0.011935050165526276, 0.013869124727117519]"
5211,A2,0.025504522765214924,0.02548949415593939,0.06637794697189908,14.165685180338901,256.0,0,"[0.001654990314725571, 0.0019703190202634163, 0.0017227079053365548, 0.00383746436918559, 0.0029659758382702328, 0.0028555507010182644, 0.0021144578372500476, 0.0011279792634906155, 0.000883294715949002, 0.0008125318955559838, 0.0009999969959496333, 0.0015487629811700787, 0.004131480466833048, 0.03157290064521599, 0.05473772223745669, 0.004778413867573905, 0.003939595256183131, 0.0561904316303937, 0.05582619114663044, 0.009844756161962728, 0.0018441703269264122, 0.0008683835001818408, 0.0007779938143348852, 0.000849213756495177, 0.0011788715246685145, 0.0017200902329143988, 0.002556083333846599, 0.0033074415791198688, 0.0034646863727310472, 0.001640107221086878, 0.001282107849082534, 0.0020051316458383106]","[0.010754062033674114, 0.013187379513775067, 0.008852926591329309, 0.02050766989694723, 0.014604039013734017, 0.017517411428630617, 0.017422310147109904, 0.009694053556061892, 0.009946522284305629, 0.012361824494758006, 0.011886607179451555, 0.011156201598716971, 0.01537310442438802, 0.018278360113462903, 0.02211179526735221, 0.01935234422266551, 0.016943108639470458, 0.024471339567459963, 0.026461210991951728, 0.021139953677161847, 0.011358707357497255, 0.007124138613016335, 0.009985574659055314, 0.008804800892982736, 0.011367384782074939, 0.012785190760198252, 0.014555843045596385, 0.01573870020007764, 0.016945936173595074, 0.007872208191998057, 0.011887394384370956, 0.015955024647889324]"
